"r","gs_nonparam_delta","gs_nonparam_delta.s","gs_nonparam_R.s","gs_param_delta","gs_param_delta.s","gs_param_R.s","cc_nonparam_delta","cc_nonparam_delta.s","cc_nonparam_R.s","cc_param_delta","cc_param_delta.s","cc_param_R.s","ipw_nonparam_delta","ipw_nonparam_delta.s","ipw_nonparam_R.s","ipw_param_delta","ipw_param_delta.s","ipw_param_R.s","smle_param_delta","smle_param_delta.s","smle_param_R.s","mle_param_delta","mle_param_delta.s","mle_param_R.s"
1,11.3827960465687,6.16382599699969,0.45849631568706,11.3827960465687,6.08363881068458,0.465540910528877,11.6669234968981,6.14330598524478,0.473442507197538,11.6669234968981,6.05409395070531,0.481089084683299,11.3633518387837,6.13779422366305,0.459860584205933,11.9142584343091,6.0714005792906,0.490408856517078,11.3827960465685,6.01538431840251,0.471537195800329,11.3827960465685,5.96859003088388,0.47564816179912
2,11.9323038201842,5.88500075047755,0.506800963237066,11.9323038201842,5.85081750153252,0.509665728454258,12.2960936630985,5.8764048931205,0.522091726516688,12.2960936630985,5.86045396810352,0.523388961675594,11.9723841121982,5.85742946096233,0.510754966924723,12.5831416303425,5.8809417709208,0.532633268885749,11.9323038201841,5.82367002913529,0.511940852588396,11.9323038201841,5.76473750253033,0.516879758561041
3,12.5404154253868,5.8821113110546,0.530947651132284,12.5404154253868,5.9489898117387,0.525614614034589,12.6411417253778,5.83785353121187,0.538186213078203,12.6411417253778,5.89882484049896,0.533362969212129,12.7056531354382,5.80358659916193,0.543227999592185,12.9035535886236,5.90442583085411,0.542418622102694,12.5404154253866,5.84947960535243,0.533549774315223,12.5404154253866,5.82402319803034,0.535579723599881
4,12.5113728293298,6.01294748663808,0.519401462280606,12.5113728293298,6.08137479649277,0.513932253522453,12.8718164544015,6.03160879712793,0.531409664013236,12.8718164544015,6.13168796678144,0.523634602116724,12.4086389419594,6.03258521963393,0.513839894298564,13.0772540237718,6.15062761443836,0.529669791283572,12.5113728293299,6.06022828100406,0.515622436988104,12.5113728293297,6.02340805645989,0.518565377386919
5,11.2013852417637,5.98029893271977,0.466110770798012,11.2013852417637,5.94040336305632,0.469672434717462,11.6240621074205,6.01049315363049,0.482926613942165,11.6240621074205,6.00418750759137,0.483469078872311,11.1387055140855,6.0097121230979,0.460465839993856,11.9385615342526,6.0165713568401,0.496038836875103,11.2013852417637,5.95568113926607,0.468308516248448,11.2013852417639,5.89495167110365,0.473730119635151
6,11.8769473138301,5.93132767855194,0.50060166793489,11.8769473138301,5.96668266612475,0.497624893967758,12.3820667793842,6.04492117167152,0.511800309320239,12.3820667793842,6.12806927555905,0.505085105358815,11.7770432308823,6.06716598087589,0.484831136140665,12.5673490947729,6.13449860965117,0.511870119673633,11.8769473138302,6.05116878339876,0.490511440060662,11.8769473138298,5.98302217638735,0.496249160807461
7,12.0776726715827,6.09446055000627,0.495394459203568,12.0776726715827,6.02525034893173,0.501124884506233,12.4133781354331,6.06360799461599,0.511526360636044,12.4133781354331,6.02454494097191,0.514673211816914,12.1096728626929,6.0424733404166,0.501020926912727,12.6979939242342,6.05509731727187,0.523145360330052,12.0776726715822,5.95394357889275,0.507028900286235,12.0776726715827,5.8989679321187,0.511580741379234
8,11.919084452602,5.9994094293102,0.49665517908127,11.919084452602,6.08330556346403,0.489616372158854,12.115160508098,6.08021182322798,0.498131962910119,12.115160508098,6.18671410338479,0.489341135905753,12.0113019458061,6.05266359204469,0.496085968086246,12.3626686923946,6.20929463086223,0.497738329372027,11.919084452602,6.15047386638747,0.48398101457828,11.919084452602,6.10655062000492,0.487666133729605
9,11.6914839347063,5.98213168993416,0.488334267630806,11.6914839347063,5.94271394889725,0.491705759329982,11.9621332793451,5.98725439538123,0.499482721387216,11.9621332793451,5.94329166254942,0.503157879639107,11.9017506525654,5.96145972454233,0.499110685598395,12.2255219097437,5.95206747197413,0.51314410002976,11.691483934706,5.91893000996005,0.493740055324391,11.6914839347061,5.87951464217149,0.497111344034081
10,12.0876506290241,5.99953407005056,0.503664173115256,12.0876506290241,6.07797186024908,0.497175088295896,12.3009151417439,5.96903473246031,0.514748726929751,12.3009151417439,6.08022335433975,0.505709674095209,12.3186237003129,5.9236959604685,0.519126803076384,12.564045253347,6.0915081658275,0.515163465030918,12.087650629024,6.04035920548726,0.500286747948889,12.0876506290239,5.99281822404427,0.504219768756817
