"r","gs_nonparam_delta","gs_nonparam_delta.s","gs_nonparam_R.s","gs_nonparam_var_R.s","gs_nonparam_normci_lb_R.s","gs_nonparam_normci_ub_R.s","gs_nonparam_quantci_lb_R.s","gs_nonparam_quantci_ub_R.s","gs_param_delta","gs_param_delta.s","gs_param_R.s","gs_param_var_R.s","gs_param_normci_lb_R.s","gs_param_normci_ub_R.s","gs_param_quantci_lb_R.s","gs_param_quantci_ub_R.s","cc_nonparam_delta","cc_nonparam_delta.s","cc_nonparam_R.s","cc_nonparam_var_R.s","cc_nonparam_normci_lb_R.s","cc_nonparam_normci_ub_R.s","cc_nonparam_quantci_lb_R.s","cc_nonparam_quantci_ub_R.s","cc_param_delta","cc_param_delta.s","cc_param_R.s","cc_param_var_R.s","cc_param_normci_lb_R.s","cc_param_normci_ub_R.s","cc_param_quantci_lb_R.s","cc_param_quantci_ub_R.s","ipw_nonparam_delta","ipw_nonparam_delta.s","ipw_nonparam_R.s","ipw_nonparam_var_R.s","ipw_nonparam_normci_lb_R.s","ipw_nonparam_normci_ub_R.s","ipw_nonparam_quantci_lb_R.s","ipw_nonparam_quantci_ub_R.s","ipw_param_delta","ipw_param_delta.s","ipw_param_R.s","ipw_param_var_R.s","ipw_param_normci_lb_R.s","ipw_param_normci_ub_R.s","ipw_param_quantci_lb_R.s","ipw_param_quantci_ub_R.s"
1,12.4949040073064,5.95863112217305,0.523115094066451,0.000350835774248482,0.486403097248613,0.559827090884289,0.485356998234817,0.557177759485163,12.4949040073064,5.98197234437935,0.521247034720605,0.00033261971800159,0.485500819414997,0.556993250026213,0.484282137679228,0.554565085190365,12.531962689137,5.82079682536751,0.535523926318969,0.000530901872570035,0.490362962714712,0.580684889923226,0.489534426841708,0.576200513427362,12.531962689137,5.94653918180516,0.525490194208783,0.00058679766246142,0.478011336807706,0.57296905160986,0.477073387258238,0.570518743103472,12.5319626891374,5.82079682536754,0.535523926318983,0.00056700878473329,0.488852511647566,0.582195340990401,0.485273886330371,0.580434338124076,12.531962689137,4.37176665823777,0.651150680329799,0.00711700613276637,0.485800473920387,0.816500886739212,0.477119304685807,0.805401318549995
2,11.7736488654416,5.72171297447254,0.514023813699159,0.000385312763865984,0.475550218680398,0.552497408717919,0.47279129763019,0.549590492709531,11.7736488654416,5.71877066485727,0.514273720049254,0.000394198981873242,0.475359008065684,0.553188432032825,0.473287637973291,0.549101428352399,11.6299409426187,5.97910797080021,0.485886643767092,0.000752489469946426,0.432120822395646,0.539652465138537,0.424956481308254,0.529622485060363,11.6299409426187,5.90188713630361,0.492526474087607,0.000672723191882057,0.441690134585887,0.543362813589327,0.439070890066549,0.543976499558941,11.6299409426195,5.97910797080022,0.485886643767126,0.000686203494061914,0.434543490934559,0.537229796599692,0.432163963270284,0.530841257857276,11.6299409426187,2.9692921407966,0.744685535769539,0.0075941489247753,0.573882483954248,0.915488587584829,0.553897525508438,0.907059521115918
3,11.5119171150523,6.12069425914247,0.468316684530378,0.000511073734855992,0.424007082187063,0.512626286873694,0.422062356120901,0.508652533379437,11.5119171150523,5.96391968117725,0.481935144114336,0.000402308968626827,0.442622167454246,0.521248120774427,0.442106960372999,0.521875126701497,11.6574458732373,6.01218518099622,0.484262226359657,0.000866557487503478,0.426565023273257,0.541959429446058,0.424243176325887,0.537364461387568,11.6574458732373,5.88797257067459,0.494917442920156,0.000698983936461399,0.443098366410533,0.546736519429778,0.440284231553483,0.541181573100196,11.6574458732377,6.01218518099631,0.484262226359667,0.000804317469912737,0.428675663303324,0.539848789416009,0.424873070040326,0.534652104622634,11.6574458732373,5.36350343146057,0.539907498625074,0.00761789129125453,0.368837655623792,0.710977341626357,0.365277522379918,0.703945396317791
4,12.2050423651225,6.28825089535768,0.484782542555757,0.0003878127890441,0.446184335208889,0.523380749902625,0.444128386893038,0.518928913242173,12.2050423651225,6.31435303262294,0.482643907024278,0.000345195995468558,0.446228183274886,0.51905963077367,0.446749030514633,0.520693915805136,12.555637684224,6.4475179588136,0.486484229557308,0.000528378430901973,0.441430721590081,0.531537737524536,0.437359626570407,0.529188029884371,12.555637684224,6.43398156209908,0.48756234259744,0.000487188092751958,0.444300560651755,0.530824124543124,0.442314113602571,0.529271523796081,12.5556376842254,6.44751795881366,0.486484229557359,0.000568061723917098,0.439769500417612,0.533198958697106,0.437368521836636,0.53101601156631,12.555637684224,4.05559893778763,0.676989808101629,0.00546071734779451,0.532152341390535,0.821827274812723,0.525999050623967,0.813799662879329
5,12.296735979974,5.98153220742028,0.513567485130886,0.000321143195813729,0.478443366621832,0.548691603639939,0.477754489905779,0.548869330896589,12.296735979974,5.97618568165406,0.514002277402179,0.0002833616822898,0.481008910816083,0.546995643988275,0.474680784173843,0.543575782739702,12.3568586585022,6.02320124846154,0.512562098918463,0.000564373675363054,0.465999260610702,0.559124937226224,0.45773794658454,0.55681609553029,12.3568586585022,5.96147967427422,0.517557023267206,0.000479274624766225,0.474648033550575,0.560466012983837,0.472421251718593,0.558739317823084,12.3568586585034,6.02320124846148,0.512562098918514,0.000553071158727178,0.466467867572646,0.558656330264381,0.467231313294029,0.560177595064314,12.3568586585022,3.27891715350385,0.734648000424625,0.00620114081701467,0.580303248124317,0.888992752724933,0.57392040250235,0.889658514873452
6,12.3714686506586,5.91715139720994,0.52170986612047,0.000374684115810849,0.483770618641125,0.559649113599814,0.483021996942155,0.559915753248605,12.3714686506586,5.97122486353295,0.517339045820154,0.000355312693776979,0.480393555643224,0.554284535997084,0.475673190927457,0.551513782089291,12.17207276344,6.10523865090498,0.498422432271139,0.000646700562850604,0.448579028673001,0.548265835869277,0.444474777403778,0.543372305650297,12.17207276344,6.12141718893864,0.497093280010214,0.00048734920476235,0.45382434536866,0.540362214651768,0.448159021275716,0.534551409300839,12.1720727634407,6.10523865090491,0.498422432271172,0.000622300097507955,0.449528382995349,0.547316481546994,0.446595476725939,0.546941335088959,12.17207276344,4.09401697121044,0.663654904897775,0.0071850259135662,0.497516421849579,0.829793387945972,0.493641136597669,0.824795837163117
7,12.5790408314221,5.85445026003189,0.534586910203229,0.000312337849153027,0.49994766827581,0.569226152130649,0.49948359218878,0.567176418635288,12.5790408314221,5.95873878784769,0.526296252019237,0.000280968421971236,0.493442511138712,0.559149992899763,0.490694771520889,0.55611780472895,12.4733551984445,5.90190128985265,0.526839315007348,0.000535995163231713,0.481462239087111,0.572216390927585,0.477300944453115,0.56866885281025,12.4733551984445,5.90622706854234,0.526492513475532,0.000516927361053962,0.481929881706023,0.571055145245042,0.478709716453369,0.569104530962215,12.4733551984446,5.90190128985259,0.526839315007358,0.000591686487957049,0.479163086002373,0.574515544012344,0.48138604260494,0.571387992762582,12.4733551984445,3.20187030929519,0.743303204442178,0.0072974062174633,0.57587048444693,0.910735924437426,0.569355729521903,0.900788798106047
8,11.8996957364401,5.6824078863221,0.522474522695483,0.000443125621923235,0.481215446249441,0.563733599141525,0.477584286691876,0.561023348118751,11.8996957364401,5.8363887215756,0.509534625855771,0.000371273951631222,0.471768423867929,0.547300827843613,0.473945649939196,0.547799382365721,11.4699757330963,5.68963373076292,0.503954161442064,0.000716060588453476,0.451505916889907,0.556402405994221,0.443594483259219,0.551720984588521,11.4699757330963,5.82878875107113,0.491822050307193,0.000648766735765178,0.441899086732145,0.54174501388224,0.439736992049585,0.539001491856037,11.4699757330973,5.68963373076291,0.503954161442108,0.000673501100308786,0.45308843794439,0.554819884939825,0.448258804194338,0.550954707664626,11.4699757330963,3.44360086555929,0.699772611059422,0.0073857296830227,0.531329685561495,0.868215536557348,0.529547992642288,0.866457659857627
9,11.8601047916421,5.94698893208845,0.498571974146522,0.000407603281868535,0.45900116713395,0.538142781159093,0.458579359569077,0.535327259109175,11.8601047916421,5.96760717171738,0.4968335207356,0.000418102327801989,0.456756321451167,0.536910720020032,0.456113863836466,0.534701635567407,12.3225122548591,5.88495116912325,0.522422778130925,0.000549362051055128,0.476483369609119,0.568362186652731,0.471094996889997,0.563851628106598,12.3225122548591,5.97553610501774,0.515071603790744,0.000493024536088598,0.471551458365459,0.558591749216029,0.469393178973769,0.556018452514704,12.3225122548598,5.88495116912326,0.52242277813095,0.000600351277471042,0.474398727202975,0.570446829058925,0.473533240572142,0.564615884253109,12.3225122548591,4.27400338029418,0.653154868755856,0.00630047841315038,0.497578784887035,0.808730952624678,0.502860051367568,0.799326770583446
10,11.9163949241545,5.85561385544313,0.508608610849761,0.000395103618558385,0.469649272289489,0.547567949410032,0.469775557547453,0.546026097916642,11.9163949241545,5.82971382586651,0.510782089468208,0.000366701279633063,0.47324917543481,0.548315003501605,0.471841600044195,0.544969018047795,11.9897100271334,6.03679758620477,0.496501785902817,0.000545153226155912,0.450738693419894,0.54226487838574,0.451438424535567,0.539247909641031,11.9897100271334,5.92138699009555,0.506127589683562,0.000548302077681737,0.460232521739151,0.552022657627974,0.457904255195212,0.548845730625841,11.9897100271336,6.03679758620476,0.496501785902825,0.000508144188944181,0.45231936047995,0.540684211325701,0.451595561706354,0.538264507001109,11.9897100271334,4.88988530406763,0.592159835975889,0.00866199215662267,0.409742980754444,0.774576691197334,0.411565696215293,0.750685161263053
