"r","gs_nonparam_delta","gs_nonparam_delta.s","gs_nonparam_R.s","gs_param_delta","gs_param_delta.s","gs_param_R.s","cc_nonparam_delta","cc_nonparam_delta.s","cc_nonparam_R.s","cc_param_delta","cc_param_delta.s","cc_param_R.s","ipw_nonparam_delta","ipw_nonparam_delta.s","ipw_nonparam_R.s","ipw_param_delta","ipw_param_delta.s","ipw_param_R.s","smle_param_delta","smle_param_delta.s","smle_param_R.s","mle_param_delta","mle_param_delta.s","mle_param_R.s"
1,12.1074885584846,5.92909537421278,0.510295190817435,12.1074885584846,5.99642241037693,0.504734414456679,12.0409812135115,5.6034657431492,0.534633794058129,12.0409812135115,5.59554994435458,0.535291198853823,13.6012718442391,5.6202089784,0.586787982567933,NA,NA,NA,12.1074885584846,5.69118268182139,0.529945235601056,12.0670177818946,5.49480759560763,0.544642454753647
2,11.6044707530573,6.00777977816144,0.482287481608875,11.6044707530573,6.01775953120846,0.481427489519672,11.8245974368288,6.08709438794037,0.485217621956285,11.8245974368288,6.13778834829589,0.480930460331854,13.3446978680041,6.22725114001298,0.533353905677868,NA,NA,NA,11.6044707530572,6.1248825324228,0.472196305823841,11.6044707530575,5.94932695226624,0.487324576978338
3,11.4600214845383,5.85413068368228,0.489169309884751,11.4600214845383,5.81348143278319,0.492716358287229,11.0380508579155,5.78393315706477,0.476000497595368,11.0380508579155,5.77021053083867,0.477243708593644,12.3327914460704,5.84340521194557,0.526189570504134,NA,NA,NA,11.4176567481974,5.72023925988604,0.499000593025433,11.381725905564,5.64478615964918,0.504048313367861
4,12.3459562840527,6.18344283405002,0.499152378982809,12.3459562840527,6.15778226004023,0.501230838797456,11.4547795347933,6.41165150422878,0.440264084982719,11.4547795347933,6.39719651905918,0.441526002344436,13.1771654519637,6.50205125618321,0.506566774175681,NA,NA,NA,12.2966241993999,6.2571776273628,0.491146714260961,12.2966241993998,6.2852640614019,0.488862637462019
5,11.9734389797003,5.75377491083152,0.519455110550408,11.9734389797003,5.72843348001278,0.521571581086709,11.9311817073886,5.96763147205608,0.499828967623506,11.9311817073886,5.92712733845629,0.50322378086105,13.1621811959899,6.00803371705076,0.543538139493079,NA,NA,NA,11.9734389797006,6.12134687922212,0.488756163571712,11.9336029241096,5.85723040433542,0.509181724783051
6,12.5951859447607,6.13933518166738,0.512564942781079,12.5951859447607,6.0962572375642,0.515985133978899,12.367062561144,5.86885731115719,0.525444519897836,12.367062561144,5.84448427628034,0.527415322160407,13.9397577584211,5.87839266243005,0.578300228432674,NA,NA,NA,12.5951859447607,5.8475391794945,0.535732207119423,12.5905431323301,5.70081752012216,0.547214329024176
7,11.7725945130003,6.2580913817864,0.46841867568991,11.7725945130003,6.14721813695208,0.477836586475157,11.4282558777125,6.44155035612822,0.436348781033983,11.4282558777125,6.31833122889366,0.447130752364785,12.9698710713687,6.35392797521027,0.510100914631546,NA,NA,NA,11.7725945130005,6.27215630374488,0.467223958421525,11.7371856572762,6.2197565114533,0.470081100097665
8,12.2542034819202,6.07515555020471,0.50423905077405,12.2542034819202,6.10687089128632,0.501650931429664,12.0153807369853,5.93888733685011,0.505726246479296,12.0153807369853,5.94834573918029,0.504939055250219,13.6164584305807,6.03642069073707,0.556682031417208,NA,NA,NA,12.2542034819202,5.90533103974942,0.518097520702823,12.218709087823,5.75979123012329,0.528608858045126
9,12.0702578048163,5.708446414681,0.527065079554208,12.0702578048163,5.6870156365851,0.528840582484009,12.2460766395051,5.53126425021909,0.548323564105784,12.2460766395051,5.5310250293856,0.548343098593484,14.0182286468201,5.63078929430216,0.59832376570777,NA,NA,NA,12.0702578048162,5.49114444636641,0.545068172100238,12.0401114120971,5.38345257570686,0.552873524883006
10,11.9494951078252,6.05409858233134,0.493359466010678,11.9494951078252,6.00422962720735,0.497532776654686,11.9796605817426,6.04613829374298,0.495299699646125,11.9796605817426,5.92726015229983,0.505223030998628,13.9128983804832,6.04696966789148,0.565369522401309,NA,NA,NA,11.9494951078249,5.95759060981197,0.501435788202403,11.9883735376621,5.82127582554399,0.514423219525472
