"r","gs_nonparam","gs_param","cc_nonparam","cc_param","ipw_nonparam_Yonly","ipw_param_Yonly","ipw_nonparam_Zonly","ipw_param_Zonly","ipw_nonparam_YZ","ipw_param_YZ"
1,0.508634166010264,0.497861434176213,0.537375253172005,0.531698334086123,0.621117752948235,0.492220965380861,0.537375253173022,0.53169833408611,0.504163944300828,0.49826130721098
2,0.51557805862182,0.519102869516805,0.548103100507202,0.552505521434197,0.639022142512932,0.522292514758002,0.548103100508028,0.552505521434202,0.520920691918433,0.526468169226334
3,0.512453356521313,0.515822313296572,0.556403330789234,0.553731280348902,0.627779688441852,0.514155119448134,0.556403330790225,0.553731280348903,0.521182928552409,0.517393083316034
4,0.526928067689802,0.526632649389647,0.530543094574921,0.544179448536096,0.655757983919202,0.505710129216106,0.530543094575422,0.544179448536089,0.508586455562259,0.522064563009058
5,0.486577235662164,0.495865044291983,0.513724659220981,0.524224547171027,0.548143270475659,0.479758244080994,0.513724659222117,0.52422454717103,0.481971583928507,0.492587404931755
6,0.513694164390176,0.515010622246112,0.542083287958245,0.53921218228126,0.625203719721583,0.505852164977804,0.542083287958896,0.539212182281257,0.521939856832477,0.520653850023546
7,0.467082413880947,0.468345140175671,0.502658852632605,0.5007740369345,0.647783749838446,0.461105098650085,0.502658852633351,0.500774036934494,0.479685642865488,0.477228785802614
8,0.48822408775461,0.494920698481624,0.524474763668918,0.525426230401732,0.642231340242948,0.482993860569797,0.524474763669583,0.52542623040173,0.496816806937946,0.496983652887588
9,0.495882191781084,0.500232840624248,0.530017709079102,0.537917542843711,0.653917463003646,0.501869145989634,0.530017709080193,0.537917542843722,0.509431856633443,0.517473880576318
10,0.482758566695687,0.482288883165577,0.505364265128497,0.50480654575509,0.612439014642661,0.464863704206152,0.505364265129209,0.504806545755087,0.473118638905738,0.471591496237273
11,0.50229066154009,0.501672900848128,0.495062116523034,0.496821600174713,0.644181614013415,0.457087895705973,0.495062116523586,0.496821600174717,0.490654115829401,0.492327183099803
12,0.511420072497347,0.515232660743223,0.540380424742233,0.547607462042794,0.600832760703766,0.512387961021852,0.540380424743079,0.547607462042795,0.503435870287237,0.510658935852372
13,0.511897955295186,0.515902907615392,0.515057874368746,0.521157710897853,0.567109776565182,0.488513650484921,0.51505787436981,0.521157710897854,0.493765560148207,0.501651786611576
14,0.488368844989651,0.500025990024632,0.519350007275972,0.524428324749324,0.592784049935681,0.484410450153578,0.519350007277077,0.524428324749313,0.483920075394823,0.490058711197987
15,0.508622585526015,0.512771816727085,0.524903258074933,0.529134889202464,0.625306250022794,0.492955870756889,0.524903258075819,0.529134889202454,0.50595026917569,0.511187101257929
16,0.525026912029037,0.524518813847789,0.556995627236367,0.554371081381014,0.634865171239998,0.517735409384643,0.556995627237271,0.554371081381014,0.5312858116718,0.528285772689756
17,0.497204608427216,0.496916820408091,0.529691300529401,0.529189174179344,0.638265634470319,0.484113606890218,0.529691300530258,0.52918917417935,0.496036306724688,0.494401113068861
18,0.494067909300089,0.489398158490005,0.516447120161694,0.515430526794453,0.625578800948043,0.47523621464812,0.516447120162613,0.515430526794461,0.494707388616413,0.493429522750059
19,0.49243933171223,0.490049517061108,0.544256969416393,0.538456522135471,0.593343778547478,0.49735773727315,0.544256969417253,0.538456522135465,0.500798032608859,0.493310237552305
20,0.512796962565142,0.510048682922547,0.540351862468636,0.542752395212639,0.618140098967909,0.50853645267502,0.540351862469555,0.542752395212651,0.504577169743301,0.508138296765396
21,0.488954998355439,0.488553337484667,0.524344872582132,0.528613506271211,0.620407226019336,0.481430752737201,0.524344872583186,0.528613506271211,0.487637822664475,0.491800359854872
22,0.475752178325246,0.479075363625885,0.523244148293939,0.528865203817023,0.599883905941986,0.484310949521608,0.52324414829494,0.528865203817023,0.482647529225981,0.489069207427066
23,0.498370222627758,0.504166968298301,0.527637021269665,0.531375772498219,0.598375300737057,0.488695195340957,0.527637021270424,0.531375772498215,0.492495683991383,0.49499452031415
24,0.490295837452131,0.488050984326374,0.531065896229735,0.523237984181809,0.642119740019561,0.485207156505077,0.531065896230555,0.523237984181825,0.495288255395164,0.486501479902772
25,0.506408780268413,0.512751968919644,0.531842109581154,0.53264271653578,0.596037602193403,0.487593161086587,0.531842109582274,0.532642716535774,0.496475285457817,0.496160127764355
26,0.511363442203541,0.502743138832006,0.517232671833847,0.505354695481279,0.664631401485829,0.463073112130079,0.517232671834994,0.505354695481275,0.508222974264784,0.495269612774873
27,0.518080178971653,0.512997836067747,0.543157377756046,0.544367658016914,0.594465700882324,0.510890698778534,0.543157377757035,0.544367658016915,0.511811862774777,0.51309613740438
28,0.51623562473674,0.5156705374501,0.549319493198412,0.546408567134657,0.647710978581211,0.509553237325668,0.549319493199339,0.546408567134662,0.526458959897237,0.523451503018474
29,0.50814121362843,0.504240143337412,0.521910824366499,0.5232069311012,0.655817261647495,0.479195744370987,0.521910824367444,0.523206931101209,0.500993243346726,0.50236476646414
30,0.476648389002135,0.469321621870429,0.496625584655542,0.496276333313258,0.636111506091389,0.457721668500548,0.496625584656473,0.496276333313251,0.473394182280634,0.473737769254508
31,0.517640117817586,0.515209975389575,0.537771208742658,0.540221466766525,0.650159326780067,0.493652402278399,0.537771208743561,0.540221466766529,0.519065667386925,0.520220475627505
32,0.484580444908056,0.480835471886036,0.521440674421959,0.518520052405439,0.575017311928681,0.481972178287166,0.521440674423082,0.518520052405438,0.48657972533596,0.484129067150713
33,0.495431469057098,0.502529599551991,0.517941191193732,0.522926374400974,0.647634096583547,0.47040701742357,0.517941191194799,0.522926374400965,0.496027387582262,0.500017464773727
34,0.519292022017714,0.523931839689405,0.554495424814085,0.557687172011882,0.634007242896331,0.522810757577796,0.554495424814697,0.557687172011874,0.526812176750544,0.531076937958783
35,0.487609960499129,0.490638732236934,0.521348656252026,0.531884959005543,0.620369450094219,0.490412406888259,0.52134865625299,0.531884959005545,0.501733241426763,0.514664916135655
36,0.501061763235837,0.503400631032067,0.541612141627404,0.541285428068149,0.627422219349929,0.499321485821554,0.541612141628477,0.541285428068151,0.512407537022961,0.512682152309893
37,0.492874662731523,0.482319259916465,0.527101021083124,0.521433083678866,0.64133961422284,0.48447305490485,0.527101021083918,0.521433083678863,0.499836030695945,0.495346510375907
38,0.490353387007078,0.495295384680975,0.545308507103679,0.553041262551969,0.581688449435666,0.515942440753361,0.54530850710476,0.553041262551977,0.502966525971597,0.510590641089805
39,0.509485535034067,0.514303055996805,0.550223002631035,0.555666435100477,0.624456432921772,0.518782432026942,0.550223002631384,0.555666435100479,0.513479863300889,0.51738802823305
40,0.488912054522186,0.494645552334817,0.497536703884443,0.499995543706104,0.642830827926374,0.460391947199302,0.497536703885258,0.499995543706102,0.483490243168057,0.486346831946521
41,0.52118439491809,0.518613574944757,0.536129028478879,0.532009895754982,0.640040618998733,0.488307545841411,0.536129028479265,0.53200989575499,0.513704765958022,0.508504475613733
42,0.496154597361782,0.495707799363346,0.539427831461245,0.541553174737628,0.620464216336236,0.512302626584918,0.539427831462334,0.541553174737636,0.495092677316709,0.49851685705576
43,0.505883783959029,0.501141176709172,0.538531404677729,0.533274198333622,0.633618454488797,0.503149221921723,0.538531404678483,0.533274198333616,0.513078417717039,0.506715075646227
44,0.501792345788659,0.489687115297346,0.519485194726,0.511315193065792,0.639350213467528,0.466868033885279,0.519485194727027,0.511315193065794,0.493267975869254,0.4838898328949
45,0.524249791077603,0.519266720947114,0.553799048495588,0.54893354808119,0.620069684214712,0.51836776099501,0.553799048496625,0.548933548081196,0.530776893069821,0.525796746463577
46,0.500017293099814,0.491635788089882,0.515210165564745,0.504043088644903,0.618941396225132,0.454389500494433,0.515210165565704,0.504043088644896,0.489735308306323,0.476869566202582
47,0.519317001339684,0.525070931335918,0.54022695826808,0.548147100697872,0.600331382583279,0.517736621318941,0.540226958269115,0.548147100697874,0.49310731945849,0.503691248883341
48,0.497706876644271,0.5011161632536,0.529060644519823,0.531866883903118,0.614235158706747,0.489677352908592,0.529060644520532,0.531866883903113,0.497432031931667,0.501656007640692
49,0.482758338605413,0.485561030982429,0.510677125149416,0.506213116883313,0.640959611171317,0.466637423752429,0.510677125150251,0.506213116883309,0.496563355262566,0.492560669454302
50,0.482758291328684,0.49069648486295,0.503539575437491,0.510142413566014,0.611682844653336,0.46589781025958,0.503539575438567,0.510142413566008,0.480903861369321,0.487531474510699
