"r","gs_nonparam_delta","gs_nonparam_delta.s","gs_nonparam_R.s","gs_nonparam_var_R.s","gs_nonparam_normci_lb_R.s","gs_nonparam_normci_ub_R.s","gs_nonparam_quantci_lb_R.s","gs_nonparam_quantci_ub_R.s","gs_param_delta","gs_param_delta.s","gs_param_R.s","gs_param_var_R.s","gs_param_normci_lb_R.s","gs_param_normci_ub_R.s","gs_param_quantci_lb_R.s","gs_param_quantci_ub_R.s","cc_nonparam_delta","cc_nonparam_delta.s","cc_nonparam_R.s","cc_nonparam_var_R.s","cc_nonparam_normci_lb_R.s","cc_nonparam_normci_ub_R.s","cc_nonparam_quantci_lb_R.s","cc_nonparam_quantci_ub_R.s","cc_param_delta","cc_param_delta.s","cc_param_R.s","cc_param_var_R.s","cc_param_normci_lb_R.s","cc_param_normci_ub_R.s","cc_param_quantci_lb_R.s","cc_param_quantci_ub_R.s","ipw_nonparam_delta","ipw_nonparam_delta.s","ipw_nonparam_R.s","ipw_nonparam_var_R.s","ipw_nonparam_normci_lb_R.s","ipw_nonparam_normci_ub_R.s","ipw_nonparam_quantci_lb_R.s","ipw_nonparam_quantci_ub_R.s","ipw_param_delta","ipw_param_delta.s","ipw_param_R.s","ipw_param_var_R.s","ipw_param_normci_lb_R.s","ipw_param_normci_ub_R.s","ipw_param_quantci_lb_R.s","ipw_param_quantci_ub_R.s"
1,11.5299804100066,7.06030655555939,0.387656673776138,0.000190088748287357,0.360633629250757,0.414679718301519,0.361271725258786,0.411960900973553,11.5299804100066,6.05880462222844,0.474517353301818,0.000422982552970119,0.434206935597582,0.514827771006055,0.430914453392969,0.515695268310661,11.1635410334768,6.71678732511364,0.398328245045941,0.000275599170690221,0.365789932641584,0.430866557450299,0.365971446390688,0.430688470728315,11.1635410334768,5.88412695656386,0.472915722805268,0.000621896011074731,0.424037550620287,0.521793894990249,0.426163696768098,0.521143769397435,10.5155234705792,6.83683084448716,0.349834474373477,0.0112830401397186,0.141640029200838,0.558028919546117,0.187469435877333,0.594100213976739,11.2370802676519,5.85788153379569,0.478700748391134,0.000593821140657876,0.430938595027291,0.526462901754977,0.433567934226374,0.530195492151702
2,11.4958621769498,7.18998930990386,0.374558497724473,0.00015428907366262,0.350212719745893,0.398904275703054,0.352696253834112,0.400160693814275,11.4958621769498,5.6493882477322,0.508572026980305,0.00041442475000654,0.468671474106628,0.548472579853983,0.470840600160484,0.550203157144232,11.6057955675841,8.26384640270602,0.287955198367652,0.00023219037323203,0.258089121661661,0.317821275073644,0.256916998907933,0.315506056350604,11.6057955675841,5.86495425190669,0.494652975941783,0.000661112782382453,0.444257233415252,0.545048718468314,0.440551443491519,0.543353877514095,12.7336206908948,8.27267990392696,0.350327757929655,0.00637875856903768,0.19378818172346,0.50686733413585,0.232969977107209,0.528691896453765,11.7638919920927,5.81181253769303,0.505961756398347,0.000645887546406839,0.456149693619573,0.555773819177121,0.458652871133953,0.555223722634996
3,12.2795648392075,7.1329538017746,0.41911998550635,0.000207949842758104,0.390855871935612,0.447384099077087,0.387622557152633,0.447711791415397,12.2795648392075,5.96603416935248,0.514149381718848,0.000344168966113041,0.477787870471103,0.550510892966593,0.478183509551227,0.5488575199191,12.0928451394976,7.23049662503969,0.402084741710331,0.000239010152741825,0.371783233451286,0.432386249969377,0.372251277513171,0.429482684001005,12.0928451394976,6.02143656619616,0.502066180726242,0.000575945418233251,0.455028409534519,0.549103951917965,0.453810418867935,0.545488373190725,12.9790342434308,7.20362356572343,0.444980001545997,0.00532023583764249,0.302017705838746,0.587942297253248,0.348728788233914,0.615410885280411,12.197050098605,6.00218936619794,0.507898277233081,0.000620019345608305,0.459093909415345,0.556702645050817,0.462829004227652,0.561232431747969
4,12.1783818377042,6.75747411759468,0.445125451997771,0.000138900208292531,0.422025689224604,0.468225214770938,0.419933160000086,0.466388049592952,12.1783818377042,6.2685303813195,0.485273949785992,0.000378142285348694,0.447160023152863,0.523387876419121,0.449979965799069,0.523742364552596,11.8077095638055,6.50024845764361,0.449491163166057,0.000256387585526814,0.418107432531223,0.480874893800891,0.41533407088421,0.48254398266676,11.8077095638055,6.10300481893638,0.483133897733725,0.000575183156841275,0.436127263996332,0.530140531471118,0.438508655142389,0.530279340818783,11.0642333431512,6.63377881781532,0.400430322456851,0.00571442582634291,0.252266432610239,0.548594212303463,0.186009868955074,0.50248137704978,11.9610431941555,6.07211777335414,0.492342124780458,0.000595836567159069,0.444498987797205,0.54018526176371,0.449871897953102,0.541043470953821
5,11.8636846274536,7.17275339974165,0.395402556205575,0.000374923634639486,0.357451184229966,0.433353928181184,0.368154498825111,0.441785011915342,11.8636846274536,5.69810365913742,0.519702028663884,0.00038806372734924,0.481091335650357,0.558312721677411,0.482585025099391,0.558115225786957,11.7383872148779,7.07397193087562,0.397364237404805,0.00047902784093594,0.354466296268434,0.440262178541175,0.359950450051744,0.449901642667785,11.7383872148779,5.58330938822043,0.524354642080316,0.000593314164001753,0.476612881613937,0.572096402546695,0.477476915135493,0.57285045831558,12.5698513031835,7.12593187450363,0.433093383316407,0.00613506740284918,0.279573107994919,0.586613658637895,0.197174665643611,0.530975593588818,11.9501101189458,5.53703563760321,0.536654007160591,0.000578728914672654,0.489502708147664,0.583805306173518,0.494049730886039,0.587449758313645
6,12.6956885616369,7.40203994428016,0.416964278200143,0.000154427946119504,0.392607546116124,0.441321010284162,0.392637846479614,0.442280927324508,12.6956885616369,6.09465961397061,0.519942570709627,0.000365188544083593,0.482487153064759,0.557397988354496,0.476735488388641,0.552700440213294,12.7744972136517,7.28307537359153,0.429873814070088,0.000276709628143103,0.397270015097046,0.462477613043131,0.397414591068204,0.461924914927901,12.7744972136517,6.07191003866637,0.524685008175702,0.000607452046839905,0.476377785287813,0.572992231063591,0.473547244348865,0.570272027033502,12.3738535039887,7.33386025173398,0.407309917692985,0.0163234952631225,0.156893585552265,0.657726249833705,0.116040160885611,0.627025027916168,12.784250729214,6.06871497252432,0.525297563301354,0.000556292262857929,0.479069299684871,0.571525826917837,0.478668072535879,0.569764407415872
7,12.0404207916663,6.43639395640244,0.465434467136118,0.000156032774475807,0.440951503540461,0.489917430731775,0.440278990900845,0.48838383194622,12.0404207916663,6.20343039853253,0.484782923631189,0.000353675299682614,0.44792266005019,0.521643187212188,0.450076750159893,0.524294454311356,11.8456680878544,7.48382256244763,0.368222838345359,0.000185360715761405,0.341537978861581,0.394907697829138,0.340969592596651,0.393592441443265,11.8456680878544,6.02334836788855,0.49151467665514,0.000558834202112679,0.445180914981431,0.537848438328849,0.445323475946623,0.540525038590804,11.7590755599726,7.57117974749756,0.356141585375168,0.00488758502013264,0.219115505327093,0.493167665423244,0.16773057049362,0.447689347903435,11.9404652365754,6.01299557064748,0.496418652748236,0.000546456731451754,0.450600881310233,0.542236424186238,0.454647755348271,0.544631348594915
8,12.1753297872048,8.12001095649664,0.333076713451324,0.00014579001230312,0.309410980602674,0.356742446299974,0.310881673365048,0.355099756531993,12.1753297872048,5.78922718080304,0.524511673853222,0.000440857528186587,0.483358323074924,0.565665024631519,0.481854021682107,0.564943368727672,12.1836076861056,6.67436476456765,0.452184858826405,0.000220882472688528,0.423055112739626,0.481314604913185,0.424778881808233,0.482763632363453,12.1836076861056,5.74248089456077,0.528671552588681,0.000706758156625917,0.476565102560934,0.580778002616428,0.478216499690964,0.585611843366442,12.1374407779558,6.73064968292149,0.445463849747814,0.00545605285723645,0.300688255615517,0.590239443880111,0.258380284830316,0.576094644011594,12.2758979868587,5.68967974015781,0.536516208732869,0.000635362089858116,0.48711168460401,0.585920732861727,0.488074914748146,0.581963831495938
9,12.0965239692055,5.83365422581334,0.517741275041968,0.000188852613849398,0.490806238354341,0.544676311729596,0.490096657808133,0.545850020510837,12.0965239692055,6.02261189723432,0.50212045108444,0.000388180040688258,0.463503972162767,0.540736930006113,0.46555457394341,0.541796363935799,11.8825257122488,6.50092461251419,0.452900438009332,0.000239172779220553,0.422588622678447,0.483212253340217,0.421629650012898,0.482186661866495,11.8825257122488,6.11633718309144,0.485266236218909,0.000543391314759521,0.439577155742496,0.530955316695322,0.438507531623733,0.531897084151198,10.6357314843975,6.71556518947769,0.368584549231114,0.00882063575986,0.184504799298977,0.552664299163251,0.161378047454497,0.526439312045625,12.0804876273024,6.07826897437736,0.496852348853849,0.000562390070394112,0.450371409809698,0.543333287897999,0.457183032172391,0.550354582394204
10,12.3461889055517,7.2828335180008,0.410114848094869,0.000122670306411353,0.388406549011111,0.431823147178626,0.387277342822612,0.431618224830722,12.3461889055517,6.01746663312726,0.512605332774279,0.000382241949583807,0.47428535530141,0.550925310247147,0.47663236585527,0.554763809943041,12.1897199199674,7.81712789598628,0.358711443141412,0.00018394727394608,0.332128519156431,0.385294367126393,0.330948560354501,0.384737167116594,12.1897199199674,5.86678366965313,0.518710543952447,0.000625716207109037,0.469682476672265,0.567738611232629,0.470821451323287,0.568014945318776,12.6279918750762,7.83964336186814,0.379185270356309,0.00420412013994603,0.252100464302962,0.506270076409655,0.285259377238673,0.53327303385872,12.2708779029994,5.82689366426631,0.525144516119584,0.000584608388075344,0.477754310553135,0.572534721686032,0.47718952775535,0.57187985209846
