"r","gs_nonparam_delta","gs_nonparam_delta.s","gs_nonparam_R.s","gs_nonparam_var_R.s","gs_nonparam_normci_lb_R.s","gs_nonparam_normci_ub_R.s","gs_nonparam_quantci_lb_R.s","gs_nonparam_quantci_ub_R.s","gs_param_delta","gs_param_delta.s","gs_param_R.s","gs_param_var_R.s","gs_param_normci_lb_R.s","gs_param_normci_ub_R.s","gs_param_quantci_lb_R.s","gs_param_quantci_ub_R.s","cc_nonparam_delta","cc_nonparam_delta.s","cc_nonparam_R.s","cc_nonparam_var_R.s","cc_nonparam_normci_lb_R.s","cc_nonparam_normci_ub_R.s","cc_nonparam_quantci_lb_R.s","cc_nonparam_quantci_ub_R.s","cc_param_delta","cc_param_delta.s","cc_param_R.s","cc_param_var_R.s","cc_param_normci_lb_R.s","cc_param_normci_ub_R.s","cc_param_quantci_lb_R.s","cc_param_quantci_ub_R.s","ipw_nonparam_delta","ipw_nonparam_delta.s","ipw_nonparam_R.s","ipw_nonparam_var_R.s","ipw_nonparam_normci_lb_R.s","ipw_nonparam_normci_ub_R.s","ipw_nonparam_quantci_lb_R.s","ipw_nonparam_quantci_ub_R.s","ipw_param_delta","ipw_param_delta.s","ipw_param_R.s","ipw_param_var_R.s","ipw_param_normci_lb_R.s","ipw_param_normci_ub_R.s","ipw_param_quantci_lb_R.s","ipw_param_quantci_ub_R.s","smle_param_delta","smle_param_delta.s","smle_param_R.s","smle_param_var_R.s","smle_param_normci_lb_R.s","smle_param_normci_ub_R.s","smle_param_quantci_lb_R.s","smle_param_quantci_ub_R.s"
1,12.1074885584846,5.92909537421278,0.510295190817435,0.000349444234155326,0.473656072788598,0.546934308846273,0.471284093429222,0.54496076570327,12.1074885584846,5.99642241037693,0.504734414456679,0.000338299942998565,0.468684267979539,0.54078456093382,0.466836650148753,0.537141962930484,11.97123339503,5.9913848702759,0.499518163870792,0.000587778272335834,0.451999651572895,0.547036676168688,0.453373382441923,0.544952051910202,11.97123339503,6.04844275484039,0.494751914422496,0.000565648432556512,0.44813651977106,0.541367309073931,0.447807291642967,0.539746549490488,12.9226105624801,5.90442053678845,0.54309382703743,0.00572512475970169,0.394791300838885,0.691396353235975,0.386484886024766,0.681041836281151,11.97123339503,6.0484427548404,0.494751914422495,0.0100462700801854,0.298298990952163,0.691204837892827,0.302749086888487,0.660291096347232,NA,NA,NA,NA,NA,NA,NA,NA
2,11.1133912744939,6.1408071005641,0.447440754231542,0.000541962110550198,0.401811798031672,0.493069710431411,0.400134311657369,0.49054199776538,11.1133912744939,5.98778432557955,0.461209978332896,0.000545167764602222,0.415446275636372,0.506973681029421,0.413198590248083,0.50271372110353,11.1614154725298,6.01750301907621,0.460865601331093,0.000872829500569395,0.40295997285348,0.518771229808707,0.398462999176309,0.509043239133608,11.1614154725298,5.90822373306725,0.47065641023682,0.000769660569260036,0.416280606400285,0.525032214073355,0.414031750476263,0.520851733196672,10.9141333526156,6.04017635373773,0.446572974821665,0.0120202852065373,0.231684334709085,0.661461614934244,0.219093716467483,0.632262514745475,11.1614154725298,5.90822373306727,0.470656410236818,0.0153114987193604,0.228126714157564,0.713186106316071,0.147686112913503,0.64101558934381,NA,NA,NA,NA,NA,NA,NA,NA
3,12.6913343951361,5.89531647285898,0.535484899435137,0.000349558489281176,0.498839792088827,0.572130006781446,0.499932008892188,0.571408938724641,12.6913343951361,5.92342759616937,0.533269913805165,0.000340075790669474,0.497125271637399,0.569414555972931,0.49495713132078,0.561776563989664,12.8508581512466,5.85604099939783,0.544307397181115,0.000502663966024952,0.500363866464052,0.588250927898178,0.495713578479753,0.58769520396948,12.8508581512466,5.96925324736157,0.53549769384214,0.000503805386070116,0.491504299211503,0.579491088472777,0.493869242882683,0.57584838270267,11.9741963477346,5.93327350288107,0.504495054985163,0.0105277786624609,0.303389325306196,0.70560078466413,0.304538805269057,0.666642628755428,12.8508581512466,5.96925324736158,0.535497693842138,0.00740288784252398,0.366859222739486,0.704136164944791,0.335622673306309,0.677091521368067,NA,NA,NA,NA,NA,NA,NA,NA
4,11.1836807193271,5.8312511222566,0.478592847149214,0.000513231698936055,0.434189796638773,0.522995897659655,0.430935520218456,0.520032706874547,11.1836807193271,5.83034845945662,0.478673559646525,0.000473770742736088,0.436011659954939,0.521335459338111,0.434659965887553,0.518077093418947,11.2242384965166,5.94015441321841,0.470774394622682,0.000836503144261673,0.414086561016204,0.527462228229159,0.407573189176628,0.51988204961673,11.2242384965166,5.8956362041867,0.474740651134919,0.000746053204810906,0.421205261049466,0.528276041220372,0.416452975704244,0.519715057141698,11.0246800813772,5.95823707505497,0.459554650921836,0.0115769107477339,0.248666385889154,0.670442915954517,0.232124568754932,0.630740636531912,11.2242384965166,5.89563620418671,0.474740651134918,0.0121486912016603,0.258707292321289,0.690774009948546,0.202128280837491,0.631531623838814,NA,NA,NA,NA,NA,NA,NA,NA
5,11.288801838911,6.17951812004818,0.452597520248056,0.000505242959209229,0.408541404303749,0.496653636192362,0.408794710997166,0.494807410126599,11.288801838911,6.15562338063677,0.454714196557231,0.000539636118440559,0.409183260781637,0.500245132332825,0.404100648474568,0.497331203161581,11.3245045987377,6.1283614692568,0.458840656929052,0.000828998957973945,0.402407666604662,0.515273647253442,0.395056795625635,0.507697739390072,11.3245045987377,6.13398509659874,0.458344067670519,0.000797239125055029,0.403002638137019,0.51368549720402,0.401204844735953,0.51143270061643,13.8110494616322,5.89394327097937,0.573244358630889,0.00496927610951048,0.435077897062622,0.711410820199157,0.421759427126099,0.700881885997182,11.3245045987377,6.13398509659875,0.458344067670518,0.0142614944228752,0.224277929634881,0.692410205706154,0.172883417094126,0.63957530949028,NA,NA,NA,NA,NA,NA,NA,NA
6,11.9514836084376,5.95542680748714,0.501699788695466,0.000433055717150134,0.460912206724921,0.542487370666012,0.459980434176088,0.54016464499903,11.9514836084376,5.91411926900039,0.505156057376418,0.000393151363911651,0.466293089404286,0.544019025348551,0.463422035720153,0.539762832484471,11.8110258260202,5.67530219636796,0.519491170371921,0.00060810100317694,0.471158150460017,0.567824190283825,0.471564092773568,0.566737791494617,11.8110258260202,5.66394416690965,0.520452816686611,0.000618484225821926,0.471708904226515,0.569196729146708,0.464696767254191,0.568341021505563,13.6907646108607,5.51436079079978,0.597220392904477,0.00442590436261103,0.466826550260714,0.72761423554824,0.474677863079512,0.720691886571262,11.8110258260202,5.66394416690968,0.520452816686609,0.00861999426510628,0.338478725209739,0.70242690816348,0.341188926734577,0.659890257493694,NA,NA,NA,NA,NA,NA,NA,NA
7,12.2907955701935,6.1921876313573,0.496193098649038,0.000374016395963594,0.458287671771957,0.534098525526119,0.45775030984063,0.534057225755096,12.2907955701935,6.09497488416902,0.504102492848388,0.000359670472401118,0.466931131738306,0.54127385395847,0.464564891512627,0.537760898322775,12.2317515545447,6.10354465264672,0.501008124189788,0.000615459325455788,0.452383556894326,0.549632691485251,0.449147770452403,0.543816695901555,12.2317515545447,5.97017913221987,0.511911347643285,0.000576486754492676,0.464851476032123,0.558971219254447,0.464377444627092,0.555804388477107,11.8224849588648,6.14139609235317,0.480532551851699,0.00821014969342135,0.302937194192082,0.658127909511316,0.334673410360165,0.660155965583265,12.2317515545447,5.9701791322199,0.511911347643282,0.00968277034599887,0.319045252745321,0.704777442541243,0.300813850985164,0.665399419653363,NA,NA,NA,NA,NA,NA,NA,NA
8,11.8738656843171,6.07938927201943,0.488002523049506,0.00042471998780801,0.447609401046332,0.528395645052679,0.447194890169833,0.522953245354406,11.8738656843171,5.95528624839857,0.498454302353761,0.000371972071500873,0.460652610462025,0.536255994245497,0.457238960286092,0.532487610470755,11.9098797180142,5.80696927737443,0.512424187744638,0.00066665985016465,0.461817464076804,0.563030911412473,0.46165470148312,0.563299791848529,11.9098797180142,5.77933409993789,0.51474454513622,0.000542630040837027,0.469087480350149,0.560401609922291,0.470440565594333,0.557099718381003,12.0136086923151,5.79788168852101,0.517390499639811,0.00722759045237925,0.350760635924269,0.684020363355353,0.3479379147242,0.680285818249159,11.9098797180142,5.77933409993788,0.514744545136221,0.0092589409997152,0.326146698529994,0.703342391742448,0.301532864698524,0.676448541921747,NA,NA,NA,NA,NA,NA,NA,NA
9,11.9141496461602,6.13120139584221,0.485384892927021,0.000460473965238456,0.443325924978912,0.52744386087513,0.439523167562036,0.523934564460048,11.9141496461602,6.19890476775145,0.479702290817766,0.000438775663981299,0.438646224387206,0.520758357248326,0.435519031895622,0.517207958925372,12.3192269209675,6.22132435994562,0.494990684086122,0.000585471150100082,0.44756552230227,0.542415845869973,0.446141903720551,0.540268253367989,12.3192269209675,6.33252244657973,0.485964298960863,0.000634295928647257,0.436601243550047,0.535327354371679,0.432285130930714,0.530522675452526,14.5928251792877,6.00550164459335,0.588462030428677,0.00398592237111017,0.464719073534732,0.712204987322622,0.472214106486278,0.710012779385796,12.3192269209675,6.33252244657978,0.485964298960859,0.00788581207033582,0.311912192827661,0.660016405094057,0.295315751116312,0.646243285597755,NA,NA,NA,NA,NA,NA,NA,NA
10,11.9093576999394,5.74160023190681,0.517891696885045,0.000393915175587844,0.478990995881872,0.556792397888218,0.478515597539678,0.554912606057154,11.9093576999394,5.76536425678209,0.515896289116296,0.000408272067184388,0.476293032011665,0.555499546220928,0.476804012857133,0.551704269196048,12.3190638421843,5.79521814211816,0.52957317078969,0.000596380877735905,0.481708185885166,0.577438155694213,0.477421071648605,0.569398416968315,12.3190638421843,5.84621023565255,0.525433887627622,0.000484641973034128,0.482285300123418,0.568582475131825,0.478956421610308,0.565780972758205,12.3684992259495,5.79084439257717,0.531807029552318,0.00698493028583522,0.36799827463957,0.695615784465065,0.35808015100006,0.675493186387988,12.3190638421843,5.84621023565256,0.525433887627621,0.00791425508462618,0.351068173299661,0.699799601955582,0.319971722720019,0.677038697136218,NA,NA,NA,NA,NA,NA,NA,NA
11,12.3834233435759,5.74247517840304,0.536277245873046,0.000349911471517048,0.499613641181473,0.572940850564618,0.498645865639226,0.572291597758769,12.3834233435759,5.81723420746135,0.530240221458703,0.000353475146791887,0.493390389384245,0.56709005353316,0.490062102151872,0.567598471547165,12.4185410519077,5.78672886525985,0.534025064532767,0.000553180157252163,0.487926291315903,0.580123837749632,0.481765971312923,0.57214750723685,12.4185410519077,5.71708836904037,0.5396328485654,0.000512647721730273,0.495255067099908,0.584010630030893,0.493269860335292,0.581467807694324,11.8608236735807,5.83528265436589,0.508020453304299,0.00887369149361009,0.323387917596606,0.692652989011992,0.282864885242219,0.668324638876255,12.4185410519077,5.71708836904043,0.539632848565396,0.00855131195800229,0.358385172668954,0.720880524461837,0.30157826282177,0.679304778288241,NA,NA,NA,NA,NA,NA,NA,NA
12,12.5721245390441,5.85733231014365,0.534101631593527,0.000353417614623805,0.497254798509273,0.57094846467778,0.495130321356166,0.567827829579817,12.5721245390441,5.85367851548655,0.534392258260941,0.000344962625426972,0.497988846032961,0.570795670488921,0.497249269681893,0.571941375503589,12.6066671707121,5.90442410815926,0.531642738861509,0.000533828531869148,0.486357468761525,0.576928008961493,0.477118982710642,0.57251884063221,12.6066671707121,5.87124641005389,0.534274496934923,0.000499861304248906,0.490453643606826,0.57809535026302,0.493439424926733,0.576146992391658,11.5424193014157,5.99857210077256,0.480302010858603,0.0102133232013182,0.282222475292245,0.678381546424961,0.290113354287008,0.655343513667778,12.6066671707121,5.871246410054,0.534274496934915,0.00909398596385666,0.347364207012846,0.721184786856983,0.337787719700303,0.684347981747434,NA,NA,NA,NA,NA,NA,NA,NA
13,11.6596378838893,5.92143765794451,0.492142233154046,0.000401021607773455,0.45289220629517,0.531392260012923,0.454439627362821,0.52972298462919,11.6596378838893,5.96834062746936,0.488119555092179,0.000446113484933423,0.446721613552529,0.529517496631828,0.441619148661977,0.523543942246004,11.6989563210091,5.96439617952556,0.490177070854207,0.000701643314406243,0.438259511622065,0.54209463008635,0.430446840262944,0.534670372640002,11.6989563210091,6.0041202842351,0.486781545337268,0.000704479249203147,0.434759170499716,0.538803920174821,0.434440834655904,0.536830512586739,11.6468020736403,5.96911111721692,0.48748926276282,0.0136694376310994,0.258333177084015,0.716645348441624,0.242991137959571,0.659379540306165,11.6989563210091,6.00412028423507,0.486781545337271,0.0106889015333182,0.284142743203042,0.6894203474715,0.238343782584047,0.646953531093952,NA,NA,NA,NA,NA,NA,NA,NA
14,11.6307959526966,5.91536341591671,0.491405107614736,0.000479435780790974,0.448488904433576,0.534321310795896,0.446968009675543,0.530483181344632,11.6307959526966,5.98957831617591,0.485024211538403,0.000403577111192417,0.44564932321657,0.524399099860235,0.441980242703514,0.524019946030618,11.5542132700799,5.87656122773422,0.491392352696848,0.000744904795827187,0.437898182326146,0.54488652306755,0.437064818727083,0.540964059954358,11.5542132700799,5.9436102604367,0.485589358487272,0.000568227785569618,0.43886780178114,0.532310915193403,0.440899966881735,0.536225761110635,11.5039316572255,5.88107125170035,0.488777278331057,0.0100431284073405,0.292355074673631,0.685199481988483,0.262376309165247,0.656936271255216,11.5542132700799,5.94361026043666,0.485589358487275,0.00907643746103797,0.298859494377853,0.672319222596698,0.281458711280785,0.651393905083305,NA,NA,NA,NA,NA,NA,NA,NA
15,11.7201623694253,5.92282379871152,0.494646608807864,0.000461573004722551,0.452537478504067,0.536755739111661,0.451962439433553,0.534859232174919,11.7201623694253,5.90708575521837,0.495989426679927,0.000352503439135856,0.459190279790572,0.532788573569282,0.455058500732135,0.531297999080255,11.3669380524578,5.73368328723015,0.495582428551162,0.000828851211548966,0.439154467270548,0.552010389831777,0.438286359213878,0.549819110580345,11.3669380524578,5.70488204765198,0.498116201449832,0.000651585131078157,0.4480849168416,0.548147486058063,0.449691250759223,0.541422003541465,12.5180131134421,5.63293866109865,0.55001335994369,0.00732802092298992,0.382229793472602,0.717796926414778,0.395397959277925,0.701291496375533,11.3669380524578,5.70488204765199,0.49811620144983,0.00924211338309392,0.309689815897027,0.686542587002633,0.289340717640084,0.65844835893885,NA,NA,NA,NA,NA,NA,NA,NA
16,13.0289727092034,5.9028748465625,0.546942419919813,0.000317021150237622,0.512044447904911,0.581840391934714,0.508029762974684,0.577154667550569,13.0289727092034,5.93954638356565,0.544127805305014,0.000305424961986684,0.509874038592898,0.578381572017129,0.507560636177754,0.579340014506962,12.7832538131671,5.79717048220301,0.546502747506135,0.000610007891636458,0.498094005356492,0.594911489655778,0.492780289557318,0.592175990421177,12.7832538131671,5.88417701599455,0.539696457412613,0.000414826067327123,0.499776589924808,0.579616324900417,0.501213504296693,0.58093713110625,11.9078909071933,5.87268917813991,0.506823733614123,0.0105620822232909,0.305390630403667,0.708256836824579,0.295511110789237,0.670138060934046,12.7832538131671,5.88417701599456,0.539696457412612,0.00791212692299718,0.365354188334267,0.714038726490957,0.349868962288098,0.686061519236551,NA,NA,NA,NA,NA,NA,NA,NA
17,11.3282014106667,5.82874234070398,0.485466215738751,0.000450137727145335,0.443881974822251,0.527050456655251,0.441035582497311,0.524926699457089,11.3282014106667,5.70781755957898,0.496140883035109,0.000429135742416908,0.455538323164224,0.536743442905994,0.455941035423042,0.534582672807991,11.4202472021231,5.72524229334819,0.498676150172668,0.000653400251649139,0.448575227958249,0.548777072387088,0.442803605007054,0.54685902458068,11.4202472021231,5.56545863279781,0.512667411283083,0.000648866093644995,0.462740625032147,0.562594197534018,0.461768389952038,0.560388994753606,13.2154793335173,5.56881490828418,0.578614232011966,0.00538747240792591,0.434751401502177,0.722477062521754,0.43130631112009,0.716504983372478,11.4202472021231,5.56545863279781,0.512667411283083,0.01488587681522,0.273532335701625,0.75180248686454,0.269924446950915,0.668787831644346,NA,NA,NA,NA,NA,NA,NA,NA
18,11.8463102398973,6.23850816012046,0.473379640260497,0.000458287334599294,0.431420652849018,0.515338627671976,0.42732116855314,0.509813474502601,11.8463102398973,6.25314069027533,0.472144442983154,0.000415956464719577,0.432170221854198,0.512118664112111,0.431648942533403,0.508114107434118,11.7826843883164,6.1045720858513,0.481903114378202,0.000810747370377733,0.426094807666359,0.537711421090045,0.425364740669646,0.536134822557122,11.7826843883164,6.12850940225635,0.479871547070095,0.000650030139816919,0.429899997313051,0.529843096827138,0.427903566050776,0.524102434880024,10.2383339093079,6.24653887854564,0.389887169740895,0.0167362991107678,0.136324225555579,0.643450113926211,0.0922415510474159,0.605403512503138,11.7826843883164,6.12850940225639,0.479871547070091,0.0111770808197545,0.272656987549847,0.687086106590336,0.258281131504922,0.649580533340073,NA,NA,NA,NA,NA,NA,NA,NA
19,11.8522257612958,5.80150632999923,0.510513346029536,0.000382435164986794,0.472183684802057,0.548843007257014,0.466375232774556,0.543472900623355,11.8522257612958,5.7763936233224,0.512632163809639,0.000372200433015821,0.474818870069559,0.550445457549719,0.472733407337119,0.551963721460952,11.7118357963568,5.68659155790328,0.514457711260587,0.000575821078245508,0.467425017799677,0.561490404721497,0.463814100120381,0.557727130845086,11.7118357963568,5.68147308401044,0.51489474555494,0.000575417501688913,0.467878536919108,0.561910954190773,0.462499045441126,0.556092216213224,12.1103173010585,5.65217950611599,0.533275688356905,0.00748191168595526,0.363739521322359,0.702811855391452,0.347635436893772,0.688785635797563,11.7118357963568,5.68147308401042,0.514894745554941,0.00838318758633549,0.335437638056613,0.694351853053269,0.31899147232281,0.667214720515121,NA,NA,NA,NA,NA,NA,NA,NA
20,11.9808069037313,6.14615145973721,0.487000207154405,0.000444645318556261,0.445670442386556,0.528329971922254,0.443823237257392,0.523975140631795,11.9808069037313,6.07238528381214,0.493157236185739,0.0004702087516573,0.450656013375487,0.535658458995991,0.445016693576355,0.530906092031961,12.1616230594392,6.25005540748816,0.486083775418676,0.000673575928577277,0.435215226321788,0.536952324515564,0.435959310794562,0.537149959355568,12.1616230594392,6.13052871416605,0.495911961404866,0.000634055821561393,0.446558249851324,0.545265672958408,0.443084634920564,0.539152683822709,13.0827339480934,6.1632490823843,0.528902054659416,0.00666977051722902,0.368831475167159,0.688972634151673,0.391448917680255,0.684655435332019,12.1616230594392,6.13052871416604,0.495911961404867,0.0085891370728968,0.314263870362764,0.677560052446971,0.306293089595833,0.652773222938738,NA,NA,NA,NA,NA,NA,NA,NA
21,11.7527983216376,5.79273320505838,0.507118811492443,0.000486073719473058,0.46390653545047,0.550331087534417,0.458203221480477,0.546508278430974,11.7527983216376,5.84860214249242,0.502365140417259,0.000363878194057184,0.464976980924044,0.539753299910473,0.46260337597034,0.53630698865597,11.6354037218236,5.70602723892215,0.509597829577689,0.000680777541283803,0.458458070069105,0.560737589086274,0.456398335143515,0.55788212193231,11.6354037218236,5.79802457753552,0.501691156048105,0.000603366296434238,0.453546665559766,0.549835646536444,0.45180021218569,0.549473567552981,11.8845876858205,5.68429827000037,0.52170841595268,0.00830604076277729,0.343078949754392,0.700337882150968,0.307432067110883,0.673972223095558,11.6354037218236,5.79802457753547,0.501691156048109,0.0103540081552877,0.30225204822481,0.701130263871407,0.289081086037389,0.663424256874364,NA,NA,NA,NA,NA,NA,NA,NA
22,11.4804446114628,6.10682897020758,0.468066858307026,0.00049274657019543,0.424558982881274,0.511574733732778,0.424059353643329,0.507353454637411,11.4804446114628,6.07629819240894,0.470726230729602,0.000405737533300964,0.431246092584846,0.510206368874357,0.430815458150772,0.507735654279794,11.0191719206803,6.10674964491743,0.445806845661737,0.000823015642587178,0.389577877215188,0.502035814108285,0.38557860362099,0.496177527296181,11.0191719206803,6.13240717423586,0.443478401246574,0.000761971118336139,0.389374905535113,0.497581896958036,0.383618170719187,0.496139522386354,10.0959578296582,6.19330200208951,0.386556272660341,0.0243096401391331,0.0809619115237294,0.692150633796952,0.0323230859667254,0.598307202972533,11.0191719206803,6.13240717423586,0.443478401246574,0.0145757321329835,0.206847607472667,0.680109195020482,0.150180849542924,0.612560162912358,NA,NA,NA,NA,NA,NA,NA,NA
23,12.7240990221427,5.95647383460959,0.531874608626981,0.000329347878444288,0.496304638008051,0.567444579245912,0.496655639938755,0.564997322092255,12.7240990221427,5.94824799203777,0.532521086036305,0.000298402118188317,0.498663419589366,0.566378752483245,0.497943419007,0.565682336825717,12.9878899761566,6.13261158366446,0.527820793452763,0.000496913645381779,0.484129335934175,0.571512250971352,0.484074879137575,0.570887290776153,12.9878899761566,6.08827057353245,0.531234820689937,0.000419818735356932,0.491075442535548,0.571394198844325,0.489427679865665,0.568957732065775,13.237061925724,6.10960853946507,0.538446781185477,0.00578695334898194,0.389345607529972,0.687547954840982,0.39412235187335,0.689422421752727,12.9878899761566,6.08827057353245,0.531234820689936,0.00693237248379737,0.368043515364695,0.694426126015177,0.365517250370463,0.688803757665767,NA,NA,NA,NA,NA,NA,NA,NA
