"r","gs_nonparam_delta","gs_nonparam_delta.s","gs_nonparam_R.s","gs_nonparam_var_R.s","gs_nonparam_normci_lb_R.s","gs_nonparam_normci_ub_R.s","gs_nonparam_quantci_lb_R.s","gs_nonparam_quantci_ub_R.s","gs_param_delta","gs_param_delta.s","gs_param_R.s","gs_param_var_R.s","gs_param_normci_lb_R.s","gs_param_normci_ub_R.s","gs_param_quantci_lb_R.s","gs_param_quantci_ub_R.s","cc_nonparam_delta","cc_nonparam_delta.s","cc_nonparam_R.s","cc_nonparam_var_R.s","cc_nonparam_normci_lb_R.s","cc_nonparam_normci_ub_R.s","cc_nonparam_quantci_lb_R.s","cc_nonparam_quantci_ub_R.s","cc_param_delta","cc_param_delta.s","cc_param_R.s","cc_param_var_R.s","cc_param_normci_lb_R.s","cc_param_normci_ub_R.s","cc_param_quantci_lb_R.s","cc_param_quantci_ub_R.s","ipw_nonparam_delta","ipw_nonparam_delta.s","ipw_nonparam_R.s","ipw_nonparam_var_R.s","ipw_nonparam_normci_lb_R.s","ipw_nonparam_normci_ub_R.s","ipw_nonparam_quantci_lb_R.s","ipw_nonparam_quantci_ub_R.s","ipw_param_delta","ipw_param_delta.s","ipw_param_R.s","ipw_param_var_R.s","ipw_param_normci_lb_R.s","ipw_param_normci_ub_R.s","ipw_param_quantci_lb_R.s","ipw_param_quantci_ub_R.s","smle_param_delta","smle_param_delta.s","smle_param_R.s","smle_param_var_R.s","smle_param_normci_lb_R.s","smle_param_normci_ub_R.s","smle_param_quantci_lb_R.s","smle_param_quantci_ub_R.s"
1,12.4951917678962,6.15485529151638,0.507422102369808,0.000398588599513188,0.468291322108102,0.546552882631513,0.460466037665148,0.540635789347544,12.4951917678962,6.25213529382723,0.499636707466081,0.000384983922932707,0.461179533384536,0.538093881547627,0.456282697157552,0.532285384014099,12.9546197313173,6.1489755003227,0.525344963584087,0.00054218753489528,0.479706518890455,0.570983408277719,0.474450906820258,0.564689214694013,12.9546197313173,6.17151917180145,0.52360476032484,0.000498435865402885,0.479846432882721,0.567363087766959,0.477836989104215,0.563187679230125,12.5763516238028,6.08628286240283,0.516053379830478,0.0132253107522147,0.290650731696726,0.741456027964229,0.306053792838354,0.752240303991945,13.6591732021808,6.19869981692267,0.546187772482964,0.0187574795565713,0.277750194143931,0.814625350821996,0.210753481829646,0.717389129354704,12.4951917678963,6.10422410438964,0.511474155997099,0.00589717547598879,0.360959740379994,0.661988571614204,0.361246318421887,0.654306763282164
2,11.4417188182812,5.92509945970309,0.482149530694971,0.000491611784133061,0.438691783055159,0.525607278334783,0.433971514715443,0.524662647860842,11.4417188182812,5.97993804554105,0.47735666812695,0.000493970006006845,0.433794813539756,0.520918522714145,0.431921106857837,0.514865605054251,12.2947785509836,5.76575913812227,0.531040017173714,0.000664708363157571,0.480507417320687,0.58157261702674,0.475259533840317,0.575535855597749,12.2947785509836,5.84044435241495,0.524965469837787,0.000577406742818029,0.477868062868722,0.572062876806852,0.476023868927953,0.569520249845164,12.4855103706666,5.65344283420113,0.547199700583862,0.0143479404858405,0.312425238236687,0.781974162931036,0.336784459903856,0.80322626739288,12.9665586576234,5.87403610197943,0.546985730209465,0.0173315328851329,0.288953141702651,0.805018318716278,0.215212866349669,0.731953591229786,11.4417188182811,5.74772908629962,0.497651604834395,0.00521539299810705,0.356104956193291,0.639198253475499,0.356125470393246,0.642609724434723
3,12.1117875760169,6.09991952757471,0.496365050221536,0.000415040107619921,0.456434885215207,0.536295215227865,0.45558168578805,0.534697124773654,12.1117875760169,6.00800341463052,0.503954030160897,0.00031943937301167,0.468923210938937,0.538984849382857,0.46927477547159,0.537198005947741,12.898947927721,6.38378985092296,0.505092207000572,0.000535163528629427,0.459750347625566,0.550434066375577,0.460222065232364,0.548782189380743,12.898947927721,6.17661657777619,0.521153460546803,0.000471750317348707,0.47858262523521,0.563724295858396,0.47973374326431,0.557680029695239,10.6729724927718,6.51555800935375,0.38952733048208,0.0143452772976428,0.154774657937922,0.624280003026238,0.293707679890049,0.746657995547614,13.5481179517801,6.19948269342053,0.542410044296524,0.0210932441007281,0.257749181975486,0.827070906617562,0.159563563682254,0.734708744954801,12.1566734853618,6.09897176447596,0.498302576620167,0.00631483987088889,0.342549281797853,0.654055871442482,0.35967459309254,0.646576145871705
4,12.2863415970681,6.09056120458068,0.504281957614294,0.000380438741738205,0.466052473308833,0.542511441919755,0.461603545040477,0.539659771877639,12.2863415970681,6.12635174546845,0.501368922793879,0.000368851872751896,0.463726110008917,0.539011735578841,0.463510804245611,0.538242476642015,12.4914594421624,5.88009287128297,0.529270947201262,0.000605060925217515,0.481058894244397,0.577483000158128,0.480450442172382,0.579091400136819,12.4914594421624,6.04968701141464,0.515694139709959,0.000552077186971174,0.469641346944824,0.561746932475094,0.466199363384969,0.559275919405148,12.5435739087169,5.82226289842387,0.535836999822051,0.0141265497521551,0.302880880503672,0.768793119140431,0.327534888237187,0.770208223171187,12.8567634590332,6.06987887602885,0.527884378104186,0.0249475040266253,0.218306711809145,0.837462044399227,0.14223508046409,0.710815885317196,12.2863415970682,5.98482337354215,0.512888085826112,0.00509551312181929,0.372977674459478,0.652798497192747,0.366698052518763,0.646302739446965
5,12.3704882742038,5.85227242587418,0.526916618313446,0.000407803583745436,0.487336089674778,0.566497146952115,0.483114260192876,0.5635902908356,12.3704882742038,5.87996787155853,0.524677786258442,0.000399940907424502,0.485480681901589,0.563874890615294,0.481744956120095,0.562290964227284,12.7460999637233,5.87162750756168,0.539339286191625,0.000552518798870936,0.493268078070472,0.585410494312778,0.492070622583782,0.58170101089391,12.7460999637233,5.88070600619069,0.538627029214601,0.000510216870247359,0.494354587123134,0.582899471306067,0.490854306972424,0.576548986109896,11.9380011142078,5.88499451284784,0.50703686014538,0.0152181584104482,0.265247535836845,0.748826184453915,0.304280529395777,0.791351410885747,13.2024034490771,5.89719919054945,0.553323816129731,0.0202687065770083,0.274282128946194,0.832365503313269,0.192512922497568,0.718875473463895,12.3704882742039,5.76459874775154,0.534003943904749,0.00436806054120414,0.404464986926202,0.663542900883296,0.408204351667807,0.666906901203282
6,12.0312388032709,5.62617670998083,0.532369292807049,0.000335065014994058,0.496491921643582,0.568246663970516,0.49488635984108,0.565432758787772,12.0312388032709,5.74688625224043,0.522336282554873,0.000340140856503313,0.486188182821372,0.558484382288373,0.48722599996028,0.556427574842768,12.8472644771787,5.68812769409063,0.557249895166806,0.000420629793757497,0.517051743272735,0.597448047060877,0.51637749791291,0.598526500556719,12.8472644771787,5.77176262328151,0.550739954522286,0.000437633502029909,0.50973735873375,0.591742550310822,0.50793285736777,0.591335987816566,10.5249921229066,5.82095747997911,0.446939492970226,0.0138681613262463,0.216123703755303,0.677755282185149,0.339196443472951,0.812488996597379,13.3585312179871,5.78697718907445,0.566795398787379,0.012331290571771,0.349144564053129,0.784446233521628,0.299970981788249,0.73822848676778,12.0312388032706,5.66136198869276,0.529444799387263,0.00472653950747954,0.394695127135589,0.664194471638936,0.386740606273031,0.664630343619636
7,12.0648116953463,6.04096423489554,0.499290632341514,0.000411322466204712,0.459539702966567,0.539041561716461,0.455859135059698,0.536175379766436,12.0648116953463,6.09582393401412,0.494743549427676,0.00035118942563037,0.458013053957268,0.531474044898083,0.457953520962102,0.527964847985725,12.800870598043,6.00303154877775,0.531045056443621,0.000589850381107883,0.483442858762589,0.578647254124653,0.480778277320531,0.576370236685957,12.800870598043,6.02169546882871,0.52958703685753,0.000523922627525863,0.48472389869374,0.574450175021321,0.482069437258311,0.571841263207051,10.9620985373611,6.1148504091439,0.442182499244716,0.0142755717633227,0.208000867842976,0.676364130646456,0.323746601031103,0.784584297103326,13.1888247742833,6.03342696541123,0.542534905977692,0.0145481130083691,0.306128410861863,0.778941401093522,0.255372182074629,0.728750320848172,12.1113351318016,6.00587740493002,0.504111038166225,0.00494267755388493,0.366314847758057,0.641907228574394,0.379866371834817,0.649241875586262
8,12.0731523494011,5.87609450710753,0.513292441190885,0.000368847135056626,0.4756498701571,0.55093501222467,0.475698683691091,0.549718548650891,12.0731523494011,5.91679513054249,0.509921273308871,0.000312585916406932,0.47526827839546,0.544574268222282,0.47692269918606,0.543214101213267,12.4921311373774,5.94634656580649,0.523992623803429,0.000546106566164695,0.478189534556324,0.569795713050534,0.479864458495275,0.568408805630187,12.4921311373774,5.95918252704234,0.522965100069112,0.000512241899420489,0.478604887256122,0.567325312882102,0.476256816168727,0.564019601887331,12.638888415424,5.82528008611195,0.539098701195669,0.0132622701504145,0.313381318148123,0.764816084243214,0.304078359260624,0.762907072637612,13.1940099579216,6.00436756626521,0.544917156693502,0.0175134015503841,0.285534267134542,0.804300046252462,0.238917965318386,0.717761861630388,12.073152349401,5.90833362287102,0.510622126526535,0.00508261870514548,0.370888851972165,0.650355401080905,0.377908988469177,0.648936981522451
9,12.5604886020085,6.07028953536017,0.516715493504807,0.00041093875590512,0.476983109676435,0.556447877333179,0.472416595429218,0.55133173454633,12.5604886020085,6.008907132707,0.521602437364886,0.000358214820730452,0.48450637213799,0.558698502591781,0.480534139857102,0.556570509694822,13.1518525478901,6.29789497344532,0.521140086500159,0.000505015227498346,0.477093900536359,0.565186272463959,0.47950514084236,0.565244108953727,13.1518525478901,6.15774258475737,0.53179656156157,0.000429718187479974,0.491166457094278,0.572426666028862,0.487150399566883,0.571345043497729,11.3730658879769,6.36303912865485,0.440516814785924,0.0161780264967633,0.191218787136354,0.689814842435495,0.300450374377256,0.775073491384143,13.7695828333087,6.18939794100386,0.550502145494803,0.0146501403765728,0.313268127549142,0.787736163440464,0.255127154523694,0.734090689179146,12.5604886020083,6.06556619036313,0.51709154137576,0.0053993009338445,0.373070867625576,0.661112215125945,0.377643784059512,0.656553745686693
10,12.0920534734372,6.02035789809226,0.502122785735501,0.000453190991808942,0.460397751114387,0.543847820356616,0.458253560359199,0.541772503913085,12.0920534734372,6.03548534128072,0.500871762224756,0.000342024309041384,0.464623719717423,0.537119804732088,0.461619581986882,0.534825865519282,12.651782641766,6.05697129963677,0.521255504371257,0.00061131091501039,0.472795087419853,0.569715921322661,0.471887945720128,0.571758254382962,12.651782641766,6.05790828443319,0.521181444863363,0.000503865101893157,0.477185443051463,0.565177446675264,0.471322015465939,0.562589433130552,11.6873339605508,6.05734754939728,0.481716910816177,0.0165405798771081,0.229640946757922,0.733792874874431,0.298105188704126,0.791638978367335,13.3214187941245,6.0849527977897,0.543220366251567,0.0187655887034997,0.274724769335409,0.811715963167726,0.209551275469317,0.721100096933968,12.0920534734372,5.99499425192195,0.504220332378512,0.00651038048326558,0.346073951880845,0.66236671287618,0.3522523096937,0.64436480399806
