"r","ipw_nonparam_delta","ipw_nonparam_delta.s","ipw_nonparam_R.s","ipw_nonparam_var_R.s","ipw_nonparam_normci_lb_R.s","ipw_nonparam_normci_ub_R.s","ipw_nonparam_quantci_lb_R.s","ipw_nonparam_quantci_ub_R.s","ipw_param_delta","ipw_param_delta.s","ipw_param_R.s","ipw_param_var_R.s","ipw_param_normci_lb_R.s","ipw_param_normci_ub_R.s","ipw_param_quantci_lb_R.s","ipw_param_quantci_ub_R.s"
1,10.9939576473635,6.18251465051513,0.437644308917476,0.00714731984813855,0.27194233569866,0.603346282136291,0.362834878451214,0.691729580252959,11.3517912945798,5.98239802158826,0.472999646809514,0.0106409707209064,0.270815688194015,0.675183605425014,0.262941616728427,0.652748052782802
2,14.0015648298619,5.90949624402131,0.577940300542851,0.00279827651713496,0.474258773411806,0.681621827673896,0.54244635474318,0.747692367867136,11.7729624465472,6.18469493944725,0.474669611193644,0.00970520787355429,0.281580184846559,0.667759037540728,0.250518743686948,0.64677048606007
3,12.1902874447477,6.2555405386887,0.486842244939518,0.00299898057091125,0.37950686511901,0.594177624760025,0.514092604130367,0.725717678988475,12.459716959226,6.11223088865862,0.50944063106243,0.00606093829637053,0.356850655771335,0.662030606353525,0.382205806062464,0.677649145767686
4,12.0202250849496,6.3347329940977,0.472993812567673,0.00371654065456812,0.353505475987951,0.592482149147395,0.473050568269979,0.716401886229045,12.1569168103369,6.20570318665151,0.489533137104725,0.00773911862285696,0.317107506464825,0.661958767744625,0.302554298967542,0.654335502544183
5,13.347183997501,6.02357201174757,0.548700908530567,0.00191366420796702,0.462959830736279,0.634441986324854,0.601665656443882,0.765364027262253,12.5745078697063,5.88167703092156,0.532253898771551,0.00702663787795712,0.367956813977084,0.696550983566017,0.364387421542931,0.684942324843155
6,11.4633441121351,5.53644344386747,0.517030685835681,0.00421229807475971,0.389822335936797,0.644239035734565,0.461918809077103,0.719488892666385,11.3652340558475,5.40142272452887,0.524741620103303,0.0109468695188063,0.319672134456496,0.72981110575011,0.309597737596745,0.682518159805097
7,13.5811815876609,5.99216899110776,0.558788832000311,0.0028838536665511,0.453533845204327,0.664043818796294,0.540223936227272,0.747969464513098,11.7238612178223,5.99874013094891,0.488330677112609,0.0086183368724491,0.306374080834264,0.670287273390953,0.301049684994384,0.655524386220425
8,12.1872412872521,6.05633079034022,0.503059745220998,0.00263963001413439,0.402360178874868,0.603759311567128,0.533551804870581,0.736595925840575,12.7710546430182,5.94595555990997,0.534419378343154,0.00531455500525248,0.391533429040299,0.677305327646008,0.407487032253086,0.695598744846556
9,14.1532004303241,5.74021054311151,0.594423143276289,0.00229245275339153,0.500579195696123,0.688267090856455,0.558825927809859,0.743786292145888,12.9223827070437,5.93679473460561,0.540580489744388,0.00562193887671543,0.393620493865272,0.687540485623505,0.397924940916737,0.690353550317836
10,10.9596220685946,6.34462924302361,0.421090508111181,0.00617287786593253,0.267097886178289,0.575083130044072,0.393121168285629,0.701530840301742,11.7444801062012,6.20675319938377,0.471517415563881,0.0100253040999046,0.275269592059534,0.667765239068228,0.27798983096006,0.655002336910858
