"r","smle_param_delta","smle_param_delta.s","smle_param_R.s","smle_param_var_R.s","smle_param_normci_lb_R.s","smle_param_normci_ub_R.s","smle_param_quantci_lb_R.s","smle_param_quantci_ub_R.s"
1,11.9250657602241,5.68712207265106,0.523095118551014,0.00469608370359078,0.388780282603103,0.657409954498925,0.39520138706921,0.662793491602901
2,12.5064404631636,5.91753324666399,0.526841129249091,0.00422343399362367,0.399464741994998,0.654217516503184,0.410374692385905,0.655673018027056
3,12.2587481166935,5.98354986028444,0.511895521196306,0.00544624181243151,0.367250152979287,0.656540889413324,0.370849128880862,0.657034257293912
4,11.8677812166505,5.78789896634221,0.512301511067478,0.00553117006646877,0.36653271149999,0.658070310634965,0.376476773594004,0.656213768420418
5,12.4677925620361,6.14866588319926,0.506836045546531,0.00468160657023203,0.372728402959677,0.640943688133385,0.380983164011521,0.655706074424471
6,11.7605486020518,5.88846636908887,0.499303428067844,0.00565666633887988,0.351890235281577,0.64671662085411,0.370274954949638,0.655215467947753
7,12.4896912022549,6.11880219301037,0.510091795391571,0.00541341750302094,0.365882972223204,0.654300618559938,0.368963000682274,0.654846962321075
8,12.2906952640296,6.02772527223427,0.509570033041563,0.00448752228132517,0.378271649213205,0.640868416869921,0.394119253145546,0.656795217818978
9,11.5482849585019,5.77248775005387,0.500143287873741,0.0058042647176521,0.350819266566611,0.649467309180871,0.356999900482767,0.64409408814987
10,11.4166719060066,5.90044731887404,0.483172734799391,0.00528736282644525,0.340652795723933,0.625692673874848,0.344867199790254,0.636534611123718
11,11.6184354042503,6.11822536551558,0.473403676774122,0.00705389048875555,0.308788289578382,0.638019063969862,0.313626968313221,0.627043207072648
12,12.2072581612224,6.35649701833425,0.479285443595655,0.00429165143603895,0.350884477257051,0.607686409934258,0.369957948479273,0.631522833754678
13,11.7424697680911,5.82575365026805,0.503873225537363,0.00601688895078791,0.351838753810236,0.655907697264491,0.340499622743202,0.647348613817148
14,12.5554588947848,5.71997584794568,0.544423195051707,0.00426681477638727,0.416394309072919,0.672452081030494,0.427558722848125,0.67189853842053
15,11.7175853021961,6.33264179054652,0.459560854286278,0.00720354427687302,0.293208410078099,0.625913298494457,0.284642663901664,0.610627033061069
16,11.7091606634298,5.95969023340857,0.491023276158304,0.0053893099653051,0.347135913395912,0.634910638920695,0.364948617184675,0.633509993510075
17,12.2123603482997,5.95538477690755,0.512347768403617,0.0045012536523927,0.380848658022475,0.643846878784759,0.401001789202021,0.655332007851668
18,11.7929750299119,6.09125699590552,0.483484279373479,0.00596522800881327,0.332103897822047,0.634864660924911,0.34138883743777,0.63212068397203
19,12.2723768431782,6.132128041404,0.500330855239943,0.00617379639163095,0.346326776663792,0.654334933816095,0.340031016343157,0.644159497364981
20,11.6573305623994,6.00220545171916,0.485113215277674,0.00600374078096399,0.333244948071679,0.636981482483668,0.349610451665542,0.636731549472156
21,12.6359769090689,5.84601152052719,0.537351835746749,0.00365269920850145,0.418894209232543,0.655809462260955,0.434810431190908,0.671285658094551
22,12.5613600348021,5.93814757377482,0.52726873862999,0.0051451351067706,0.386678728223241,0.66785874903674,0.387453574110621,0.667692208014538
23,11.9173137423994,6.12918736353529,0.485690525900238,0.0067440729015889,0.324730809018206,0.64665024278227,0.297531705991326,0.622290526469173
24,11.642486998482,5.89049234544784,0.494052057243795,0.00611497421743295,0.34078338805896,0.64732072642863,0.334528703070456,0.639686662753699
25,12.3511121569826,6.36037543521232,0.485036217437592,0.00539554876986624,0.341065594898415,0.629006839976769,0.372655521834947,0.637356249958747
26,12.1376607707944,6.32008519276861,0.479299569157841,0.00653886273307918,0.320807629061831,0.63779150925385,0.310951214566098,0.619847810004866
27,12.0177870820936,5.95396051925995,0.50457097645445,0.00550612724383428,0.359132541300898,0.650009411608001,0.374109670320889,0.64789743688545
28,12.4013152547223,6.03875969888266,0.513054899835469,0.005384249696835,0.369235104134872,0.656874695536065,0.359311538124483,0.641684400546855
29,11.7671184217631,6.0719477099998,0.48399026062576,0.00597905911445711,0.332434483784036,0.635546037467484,0.360787601384565,0.640622915748222
30,11.390892171882,5.57463760472348,0.510605708437458,0.00638168382777831,0.354030242310759,0.667181174564157,0.349471848265855,0.65821723368053
31,12.5900029004872,5.73594443197192,0.544404836336458,0.00405365268732948,0.419614964296918,0.669194708375999,0.428422292843169,0.677073766306499
32,11.9869603250815,6.0578025013289,0.494633974164948,0.00759573836513699,0.323813048914233,0.665454899415663,0.298355912950301,0.638482918059387
33,12.5580728572966,6.14344464741556,0.510797180648141,0.00483198955990283,0.374552653810096,0.647041707486186,0.386264755413392,0.653301831359711
34,11.9668716082843,5.90130502693173,0.506863178606641,0.00663969912082553,0.347153854700479,0.666572502512803,0.33420724602165,0.648355776870994
35,11.7438472886036,6.0685918566927,0.483253510748412,0.00585459111896071,0.333283522942186,0.633223498554637,0.322908805308395,0.622445618339575
36,11.8670937202551,6.03342604723522,0.491583517459106,0.00594452654540631,0.340466036085067,0.642700998833144,0.330275715790397,0.634339484769287
37,13.232741092756,5.98885934805168,0.547421104510981,0.00348956592063755,0.431638910540054,0.663203298481907,0.456355575465164,0.666421505768524
38,12.3428200998402,5.5902343950737,0.547086131868189,0.0052205319279293,0.405469764684402,0.688702499051976,0.393430218478157,0.676957136138897
39,12.2045216405327,6.32045847578215,0.482121572484157,0.00578171325998625,0.333087919708808,0.631155225259506,0.343592765310984,0.640715805535801
40,12.2902284089042,5.64779718642238,0.540464424377127,0.00489087022784131,0.403392300780551,0.677536547973704,0.400924629317667,0.66920982353723
41,12.0969887070921,6.23577423675877,0.484518470856889,0.00514086142233315,0.343986861458737,0.625050080255042,0.368687832963179,0.64452326640834
42,11.9994564457103,5.960132171271,0.503299820434643,0.00555183532644581,0.357258967964951,0.649340672904334,0.373127978873459,0.649520798045794
43,11.9538629107499,5.97611832313933,0.500068022549838,0.00503560419351107,0.360982519819352,0.639153525280325,0.364661945850171,0.634967481620393
44,12.2446710685864,5.90492496313064,0.517755525644157,0.00470458044171493,0.383319235064225,0.65219181622409,0.396858705689297,0.659018127883339
45,11.304357671038,5.90645585964196,0.477506282840427,0.00696573282507951,0.313922789722003,0.641089775958851,0.310070370318106,0.635419462989434
46,12.4809847934163,5.87670881040236,0.529147025841876,0.00453861298873979,0.397103337399214,0.661190714284538,0.428725433999425,0.674885394753402
47,12.2540401714819,5.89818796663314,0.518674014113349,0.00548883383669022,0.373464151958504,0.663883876268194,0.376185602776259,0.655592513206048
48,12.2748797764948,5.8253421295487,0.525425728347772,0.00469373482075927,0.391144487336867,0.659706969358677,0.405492968128137,0.659018775651925
49,12.0421076291186,5.70456304350085,0.526282008167171,0.00496951106400558,0.388112280283369,0.664451736050972,0.397472937968115,0.665045573743751
50,12.1508055861755,5.86539433917107,0.517283500458243,0.00527735211739277,0.374898543759243,0.659668457157242,0.367399340573615,0.654421576565952
