"r","smle_param_delta","smle_param_delta.s","smle_param_R.s","smle_param_var_R.s","smle_param_normci_lb_R.s","smle_param_normci_ub_R.s","smle_param_quantci_lb_R.s","smle_param_quantci_ub_R.s"
1,11.8347484879089,6.40004711957313,0.459215620330941,0.000558421962072594,0.412898951522637,0.505532289139244,0.409826748238411,0.506286813142206
2,12.3943334027927,6.79621397533655,0.451667648878541,0.000574443606130133,0.404691244617365,0.498644053139718,0.404358748977595,0.496291248969542
3,12.4969871424727,6.65032497028984,0.46784573797889,0.000485311064980967,0.424667375489897,0.511024100467883,0.426455218888358,0.511638932416117
4,11.0367995783362,6.1675180289178,0.441186008213485,0.000641637955912571,0.391538084073258,0.490833932353712,0.395494110989706,0.491908918815207
5,11.8911845421377,6.61553614699505,0.443660459262729,0.000559913582698843,0.397281972662842,0.490038945862616,0.397853495234159,0.489867220240472
6,12.3069310730489,6.45965868903879,0.475120267538926,0.000523748477949017,0.430264586149731,0.519975948928121,0.429407025091328,0.513887256932873
7,11.8719301069367,6.53489337921386,0.449550888494908,0.000552849454243173,0.403465896757678,0.495635880232138,0.403488163052248,0.49404716145258
8,11.8142960456484,6.33750902189372,0.463572861437813,0.000581939464368294,0.416290955318059,0.510854767557567,0.413555730900247,0.507010027192953
9,11.7520719294005,6.30611837841619,0.463403694574059,0.000628494187412013,0.414266913336762,0.512540475811356,0.416971201364354,0.511854889334738
10,12.2032643531307,6.75744831259376,0.446258958500712,0.00054943170066252,0.400316637909941,0.492201279091482,0.399078990570148,0.490548560800228
11,11.698700285246,6.40214770940002,0.452747095549224,0.000622702555899824,0.403837238273366,0.501656952825081,0.400460340407542,0.496763622986885
12,12.1991345006657,6.25631154811017,0.487151195212354,0.000536501817003618,0.441752677833467,0.532549712591241,0.440471329413462,0.529389228750146
13,12.1528213690136,6.48092606318862,0.466714282519346,0.000539412655707691,0.421192774875523,0.512235790163169,0.422981952962127,0.513246672010983
14,11.4628768560882,5.74288468910891,0.499001449530645,0.000630381451603359,0.449790948776442,0.548211950284849,0.450392020290919,0.550621160689839
15,11.592675236254,6.13225404630487,0.471023390086235,0.000681451415912595,0.419858326230418,0.522188453942052,0.419741020660157,0.517822141774805
16,12.0503288921504,6.6826247141121,0.445440471050946,0.000527370655060417,0.400429948853574,0.490450993248317,0.397005294932905,0.488947655626419
17,11.7708148464479,6.23050752357132,0.470681715340082,0.000580517852734301,0.423457596681666,0.517905833998497,0.421214546521526,0.516771462142118
18,11.8902048873292,6.90994105515816,0.418854332567326,0.00063019052445854,0.369651284706853,0.468057380427798,0.368728047606587,0.468558714530825
19,11.8807579150267,6.44088711941183,0.457872370981869,0.000644347499480146,0.408119729303231,0.507625012660507,0.406934616336949,0.500726428369798
20,11.8392083545321,6.46888499351321,0.453604937104017,0.000576981330817267,0.406524883148359,0.500684991059674,0.401867956511765,0.500410496888918
21,11.8813006886756,6.39938764982968,0.461389975936798,0.000549132550687911,0.415460164194067,0.507319787679529,0.411517247336448,0.506081895064258
22,12.0781252068052,6.10608101840348,0.494451256809037,0.000582292656495644,0.447155004640459,0.541747508977614,0.448761350215084,0.538425540445804
23,11.0196418167771,5.97214054497058,0.458045856274733,0.000653397830773362,0.407945026873426,0.508146685676041,0.406476396919702,0.507979256477223
24,11.3717352981664,5.99820342216733,0.472534027138804,0.000560958752015503,0.426112274244899,0.518955780032708,0.426161299054921,0.518980738266826
25,11.9703583724303,6.75103510421507,0.436020635792844,0.000518447976115926,0.391392508506939,0.480648763078749,0.388947998575742,0.480715507338736
26,11.2888158652485,6.21944570349083,0.449061285281766,0.000679525562314816,0.39796857151367,0.500153999049862,0.392211959814402,0.496595466071679
27,11.9696546482339,6.35546715003999,0.469035044300319,0.000543139703550643,0.423356542954936,0.514713545645702,0.421185051243701,0.512351531980691
28,11.670016442118,6.21258440700298,0.467645616626446,0.000671833866237806,0.416842890513184,0.518448342739709,0.41844824954378,0.513038300947834
29,11.4818328091572,6.11202485288052,0.467678640294609,0.000598781313796234,0.41971742372247,0.515639856866748,0.418261976332909,0.512566060395264
30,12.3161507019657,6.62631653055957,0.461981532143646,0.000509910859838075,0.417722368582255,0.506240695705037,0.414171829958876,0.501658856711307
31,11.63042878089,6.27531501284671,0.460439926070682,0.000618411496029563,0.411698879681143,0.509180972460221,0.413496543198193,0.508521698383879
32,11.5642095655083,6.03504975020482,0.478126912521103,0.000600008679260097,0.430116566321085,0.526137258721121,0.423369711442878,0.521153683116411
33,12.3476047825961,6.46522137294641,0.476398743984816,0.000508958696937409,0.432180922575855,0.520616565393777,0.432978233882255,0.520610005056753
34,11.5749064497254,6.31196283214116,0.454685628816386,0.000586064322054614,0.407236448637957,0.502134808994815,0.408006250935539,0.502782735510312
35,12.3997592182649,6.78336848602626,0.452943531674845,0.000546289819393322,0.407132758158331,0.49875430519136,0.40496356512864,0.496633974451316
36,12.0255072565945,6.36661573833718,0.470574038791927,0.000563064867589431,0.424065222473604,0.517082855110251,0.423059603749999,0.512211628603897
37,11.6368456551538,6.13618543759601,0.472693406835866,0.000663592111537719,0.422203254769515,0.523183558902218,0.422248974350987,0.521247115752388
38,12.5219665071163,6.06182865217433,0.515904418948144,0.000491734960815723,0.472441227331908,0.55936761056438,0.471620285865093,0.554189998609112
39,12.3087780869002,6.27613876393004,0.490108707816457,0.000623829348865195,0.441154618849339,0.539062796783576,0.439250698623818,0.540816933550897
40,11.1347361579455,6.72061437670548,0.396428053491882,0.000650432083416739,0.346441056266066,0.446415050717698,0.34640478307588,0.445066358428727
41,12.2245972079257,6.447595543542,0.472571943772366,0.000541825346519408,0.426948745164761,0.518195142379971,0.427048677533755,0.514790802411398
42,12.2111934031992,6.28564473786869,0.485255492209147,0.000537680251841983,0.43980714289395,0.530703841524344,0.438829932065874,0.525932391503011
43,12.4812440764036,6.56216750249316,0.474237707209069,0.000560474288012145,0.42783600438657,0.520639410031567,0.420468284565819,0.514865820247766
44,13.0500534785432,6.50777419299123,0.501322028780091,0.000497222158723725,0.457617010247283,0.545027047312898,0.454019246273245,0.542184142579931
45,11.9026626955293,5.96417145689326,0.498921240611695,0.00056775001070702,0.452219330146147,0.545623151077243,0.455248064442681,0.545908494928189
46,12.1998579724519,6.46615915645868,0.469980784115711,0.000487347592804074,0.426711921032471,0.51324964719895,0.422436222562375,0.51227279863042
47,11.6535010789025,6.30135737957337,0.459273454654639,0.000616205566639454,0.410619417773799,0.507927491535479,0.409241459895361,0.504962819625676
48,12.4700468978493,6.57478756072355,0.472753581876466,0.000603895977823777,0.424587963553768,0.520919200199163,0.42477764755151,0.517405491603952
49,12.0353278505837,6.07244246254566,0.495448521391866,0.000623986593798272,0.446488263031279,0.544408779752453,0.441461925876724,0.543291668243363
50,12.6547085599365,6.84846449672189,0.458820844092497,0.000591194272740241,0.411164449787441,0.506477238397552,0.408972417639776,0.505259460025389
