"r","smle_param_delta","smle_param_delta.s","smle_param_R.s","smle_param_var_R.s","smle_param_normci_lb_R.s","smle_param_normci_ub_R.s","smle_param_quantci_lb_R.s","smle_param_quantci_ub_R.s"
1,12.1119992352098,6.26864212204032,0.482443649449939,0.000520217194837594,0.437739439629295,0.527147859270582,0.438307136505759,0.525301781037009
2,12.1773019977145,7.1960916200686,0.409056979828604,0.000547459180174067,0.363197202391762,0.454916757265447,0.360896458487238,0.452869818647985
3,12.0166168166619,6.80007195581081,0.43411094324136,0.000575136268180746,0.387106225522357,0.481115660960363,0.387883841736602,0.481503055260101
4,12.3080253091422,6.64967522744282,0.45972850555454,0.000512466987381778,0.415358547489134,0.504098463619945,0.411264993891617,0.500588006451703
5,11.8727713958762,6.48418595434779,0.453860793057977,0.000571514686280749,0.407004301311196,0.500717284804757,0.4087350043695,0.497882014349103
6,12.3655860437965,6.37827157059931,0.484191727912552,0.00050771185082296,0.440028102086297,0.528355353738808,0.440369738006527,0.52148131429641
7,12.1123088542488,6.43189397061104,0.468978701913233,0.000506260548305338,0.424878242478328,0.513079161348139,0.421969063303024,0.508772819109179
8,12.9983273461648,6.78643967282644,0.477899002533677,0.000434511111198568,0.437042939522412,0.518755065544941,0.440045340615822,0.516842674432863
9,11.4529816976663,6.61085939658331,0.422782680432434,0.000702609458453948,0.370829388952522,0.474735971912346,0.369365291752139,0.473775977607581
10,12.4956047251153,6.40977504611358,0.487037627460288,0.000446174613902337,0.445636849728859,0.528438405191717,0.446303384259203,0.528703676777759
11,11.3438605654286,6.79115015309192,0.401336951038648,0.00077225547094591,0.346869560636814,0.455804341440482,0.338778016237073,0.452528899272713
12,12.6918540790905,6.74304592090574,0.468710727456699,0.000497861550408135,0.424977617207737,0.512443837705661,0.425386180606247,0.512076369148225
13,12.5003513221046,6.49503887203772,0.480411493671188,0.000526625880847934,0.435432765544823,0.525390221797552,0.4305522903614,0.521388166126672
14,11.8865180735237,6.72820766861631,0.433963114597631,0.000574761125628998,0.386973729198199,0.480952499997063,0.387555049661703,0.480873505808631
15,12.6814954224425,6.92648232177352,0.453811865947946,0.000492603212078898,0.410310320003896,0.497313411891996,0.4079121205916,0.498804317499564
16,11.7935040440954,6.90279379699136,0.414695261799875,0.00058818501403663,0.367160310975001,0.462230212624748,0.361978950256982,0.462641884282356
17,11.6876693619049,6.46645535155234,0.446728415108209,0.000609102571141261,0.398355608312487,0.495101221903931,0.399112019999841,0.49089639029941
18,11.1686086775687,6.32254643277352,0.433900263201821,0.000691571041302767,0.382356696073917,0.485443830329724,0.380680374892574,0.485651345220178
19,12.8090072497717,7.12575440933648,0.443691905985651,0.0004568184904864,0.401800213336004,0.485583598635299,0.399238792783418,0.483080908733792
20,11.7878707867178,6.91274624862505,0.41357125695557,0.00057746309160233,0.366471551938453,0.460670961972688,0.368161688885533,0.459522014758414
21,12.8503834944458,6.94835769460518,0.459287911710309,0.000594683652348169,0.411491084212443,0.507084739208175,0.407748374749746,0.50225477740055
22,11.2777257751823,6.43578973531799,0.429336209834032,0.000697736692891287,0.37756338608053,0.481109033587533,0.374409520366434,0.48234347168765
23,11.7986599427234,6.4875085444356,0.450148696891915,0.000605294232567143,0.401927349712166,0.498370044071665,0.402517689368605,0.495211766230404
24,10.923483054802,6.85735029156196,0.372237750801707,0.000758987824246677,0.318240272845546,0.426235228757867,0.314509465687586,0.422369912738898
25,11.622156477766,6.55161012565948,0.436282746821282,0.000664926291283396,0.385741863958056,0.486823629684508,0.384837882636425,0.491761001816288
26,11.826092895791,6.80929918884992,0.424213960700967,0.000652813168925903,0.374135551483563,0.47429236991837,0.371880429152933,0.472780410843519
27,11.2280845610269,6.92714942056348,0.383051545175579,0.00067086185180546,0.332285583253284,0.433817507097873,0.334920765534073,0.431737523447182
28,12.2880249882979,7.01607004547253,0.429031919111977,0.000522525398725482,0.384228642761426,0.473835195462527,0.378658533940424,0.470305855530623
29,11.2254881243266,6.33597061802732,0.435572818940787,0.000613146677909176,0.387039693368082,0.484105944513491,0.385654966051279,0.481905186136858
30,12.0156903151284,6.76514899893732,0.436973755022662,0.00063255073325327,0.387678654892266,0.486268855153058,0.387159859793378,0.482655091889375
31,12.05551840796,6.16449431344872,0.488657882237694,0.00052293748529881,0.443836942449199,0.533478822026189,0.440832322969498,0.529685507081168
32,12.0698416066265,7.0598338843435,0.415084794446052,0.00058341805510656,0.3677428595416,0.462426729350504,0.365487395537893,0.45677159372241
33,12.1997122971439,7.02387026629005,0.424259351760745,0.000556179219786926,0.378035785360764,0.470482918160726,0.376644349005789,0.472945198887641
34,11.9058825326126,6.80416701594862,0.428503767166303,0.000623220213528465,0.379573584535427,0.47743394979718,0.378936095241578,0.473271191593383
35,12.4435160290426,6.47965340993259,0.47927471666293,0.000480009307135832,0.43633285184207,0.52221658148379,0.435854060446373,0.519784973709704
36,12.5588777825244,7.05314874486688,0.438393392546481,0.000638896908663701,0.388851628707045,0.487935156385918,0.387618612592079,0.482670091123493
37,11.7936115742736,6.75610169751449,0.427138866244148,0.000644904289150749,0.377364733231091,0.476912999257206,0.375859781930348,0.475612744872476
38,12.1483162115417,6.76607924626907,0.443043864808124,0.000525619773110138,0.398108122682507,0.48797960693374,0.39331665075881,0.483146173308015
39,12.0785443579062,6.39652633155372,0.47042241664106,0.000535344362563372,0.425072897313691,0.51577193596843,0.423510635515522,0.514100130708587
40,12.1502489556765,6.59879131104902,0.456900732230171,0.000554569817685054,0.4107440922786,0.503057372181741,0.406344750153744,0.496378109614435
41,11.6952723210385,6.8052995294014,0.418115342456847,0.000687028732300234,0.366741325892005,0.469489359021688,0.362339041446967,0.464434558722699
42,11.6731104007757,6.85828988751292,0.412471085079672,0.000604345430724775,0.364287546327601,0.460654623831742,0.363770945710279,0.457602651241833
43,11.5534308734515,6.38720856166185,0.447159148514147,0.000639642407256586,0.397588489130628,0.496729807897667,0.398121183027494,0.497942547398098
44,12.4949603806144,6.73079185928684,0.461319471670395,0.000443109372526305,0.420061151715541,0.502577791625248,0.419801980375328,0.498856035048445
45,11.9253504353384,6.82485775827266,0.427701701909863,0.000553528686119814,0.38158840880909,0.473814995010637,0.377760101135996,0.472881357542579
