"r","smle_param_delta","smle_param_delta.s","smle_param_R.s","smle_param_var_R.s","smle_param_normci_lb_R.s","smle_param_normci_ub_R.s","smle_param_quantci_lb_R.s","smle_param_quantci_ub_R.s"
1,11.7579604021036,6.94063537819372,0.409707539332077,0.000422166171503068,0.369436041167169,0.449979037496985,0.371129893835296,0.451819363201501
2,11.4682672756486,7.19620204354101,0.372511830202872,0.000384228955475906,0.334092382583779,0.410931277821965,0.330870790522278,0.40886017578593
3,11.966498647649,7.34406765878224,0.386280993711968,0.000404910631895394,0.346841106751058,0.425720880672877,0.348913382106247,0.426003202366607
4,11.8039586831034,7.6078958411269,0.355479289162787,0.000346364688841197,0.319001973079331,0.391956605246243,0.317859127449738,0.389190662244828
5,12.1446411460741,7.67202965263236,0.368278604501009,0.000383659519700403,0.32988763667157,0.406669572330449,0.332654915736581,0.40979069051492
6,12.0457249716698,7.08418369966355,0.411892292383833,0.000397933860185611,0.372793664309577,0.45099092045809,0.373400570096403,0.45014052688876
7,11.3115383621485,6.97753545903815,0.383148848932266,0.000436516411655874,0.342198617589608,0.424099080274924,0.342677315767614,0.422786029150245
8,12.4739004800314,7.50124836598096,0.398644523580319,0.000375787263463799,0.360649466647574,0.436639580513064,0.363375011041258,0.437730419521462
9,11.8297034311413,6.76234645039789,0.428358750516412,0.000454882748473386,0.386555908908031,0.470161592124793,0.385695898882864,0.468640744512637
10,12.3150234499579,7.44035713741871,0.395830859141066,0.000397752989446884,0.356741117721365,0.434920600560768,0.357508774721091,0.43647925816183
11,11.6541420717415,7.32929197537571,0.371099826116973,0.000431299139073018,0.330395050320233,0.411804601913713,0.330232590531102,0.412897329908376
12,11.9142421455688,6.67153269848692,0.440037174251301,0.000574966597928509,0.393039390446081,0.487034958056521,0.396412777268153,0.486441669817199
13,11.9939213812543,6.95164541923199,0.420402619105297,0.000527055314313268,0.375405555918175,0.465399682292419,0.374067676019023,0.462349092240985
14,11.7981467331685,7.0622435139307,0.401410774619679,0.000386019313829886,0.362901921144031,0.439919628095326,0.361817269286569,0.438725653062126
15,12.120228440139,7.60998908129561,0.372124946416575,0.000355654463197723,0.335161691881559,0.409088200951591,0.33315440477249,0.409663289172725
16,11.7021631665873,7.18003742157975,0.386435027492985,0.000404529794702835,0.347013692415005,0.425856362570966,0.344648967727818,0.426005372380066
17,11.7113346057957,7.1571879265471,0.388866583744847,0.000420313982994059,0.348683525162031,0.429049642327662,0.348967748141558,0.427742867292109
18,11.6640398125163,7.322687543057,0.37219971289885,0.000420237528941062,0.332020309080725,0.412379116716976,0.335130221406795,0.41165304949337
19,12.3753940109869,7.71147277718308,0.376870524660725,0.000478173400286601,0.334010859070091,0.41973019025136,0.335028734554352,0.419318493921005
20,11.8235705297004,7.06628135819387,0.402356391375717,0.000485667567852646,0.359162172680818,0.445550610070615,0.361108025573558,0.448411623172829
21,11.7918467798137,6.67938237065358,0.433559263839153,0.000500657458035698,0.389703526577194,0.477415001101111,0.390686640052207,0.475342132933071
22,11.9434380793393,7.70541453623745,0.354841170101021,0.000362998156170796,0.317498249530372,0.392184090671669,0.317090251621682,0.391496056253268
23,12.1401886480025,7.40593803604863,0.389965160280506,0.000384964836490959,0.351508939511122,0.428421381049891,0.352562365931973,0.432359901698662
24,11.7130635125907,7.21403940862622,0.38410310839076,0.000440157671239816,0.342982435854493,0.425223780927026,0.343082027124899,0.426583463930075
25,12.4498603834219,7.48682912974028,0.398641518927422,0.000398037484012941,0.359537800452268,0.437745237402576,0.36012036401582,0.435814301842436
26,12.3944155901461,7.49896091138666,0.394972610298097,0.000417255603102009,0.354936012979185,0.435009207617008,0.3541925327546,0.4376141900141
27,11.8272280359358,7.21366520287263,0.390079807292575,0.000423945734214511,0.34972351989447,0.430436094690681,0.347792545732844,0.428960718054659
28,11.8005072538661,7.04947059465243,0.402612917987667,0.000405895718820707,0.363125084501622,0.442100751473712,0.367222784258936,0.445827094426791
29,11.9697739983816,7.48660021086627,0.374541222592965,0.000395390724906593,0.335567731489381,0.413514713696549,0.33566636026071,0.411915654086568
30,11.9035875023404,7.86002106144431,0.339693091691985,0.000287808115484886,0.306441871316686,0.372944312067285,0.307102473195814,0.37198133659739
31,11.7658719387564,6.9403536606071,0.41012840385031,0.000441906313628466,0.368926130922289,0.451330676778331,0.370372003064845,0.45315533114679
32,12.04318272203,7.61459140626522,0.367725992205018,0.000409902379337394,0.328043742010976,0.40740824239906,0.330539144819519,0.411028343152608
33,11.7580149255048,7.5273041417546,0.359815054714141,0.000372779192972089,0.321972373153216,0.397657736275066,0.322289736964346,0.397758359895151
34,12.0190369732818,7.41005043450445,0.38347386309095,0.000423266521659631,0.343149916488371,0.423797809693529,0.344289548403976,0.421092666494658
35,11.6939756401451,7.27673340548674,0.377736568861501,0.000490740886041595,0.334317331329994,0.421155806393007,0.333376950751669,0.419326129131858
36,11.6625610385286,6.78552280360253,0.41817901049471,0.000427792499357061,0.377640045713526,0.458717975275894,0.382197840949692,0.459457741254064
37,11.8801272489176,7.15556295293499,0.397686337611666,0.000369554875687851,0.360007669768409,0.435365005454922,0.360269884520614,0.437129453554112
38,11.9365133334052,7.50407307465278,0.371334587827078,0.000442815990544984,0.330089928666435,0.412579246987721,0.335321906324858,0.415627772112382
39,12.045822975311,7.12838006732834,0.408228056983855,0.000441961806728392,0.367023197116021,0.449432916851688,0.368934733212853,0.449720711179114
40,12.2171339090325,7.12639499324326,0.416688476503108,0.000441984671707202,0.375482550778397,0.457894402227819,0.373189003159421,0.45606719262302
41,11.9705590216811,7.23519815848117,0.395583936775486,0.000420304041681539,0.35540135340254,0.435766520148433,0.356253569503733,0.435200440875473
42,12.1919479345175,7.37871777493839,0.394787624211554,0.000410299072490814,0.355086176922057,0.434489071501051,0.358485978624515,0.436062331055116
43,12.2671779741507,7.39546390692426,0.397134049696847,0.000367309594683694,0.359570017179865,0.434698082213829,0.359349998621261,0.434312694341621
44,12.1323619654005,7.09658622229546,0.415069691908817,0.000475768655836244,0.372317933251886,0.457821450565749,0.375982824464126,0.456498886197667
45,12.4147407953421,7.22489314944565,0.41803914648332,0.00055709261070525,0.371777640095338,0.464300652871302,0.373461970084151,0.467884684914582
46,11.9681070279422,7.43879449500455,0.378448531782257,0.000347343192637412,0.341919726589151,0.414977336975363,0.344295910901423,0.417764859388473
