"r","gs_nonparam_delta","gs_nonparam_delta.s","gs_nonparam_R.s","gs_nonparam_var_R.s","gs_nonparam_normci_lb_R.s","gs_nonparam_normci_ub_R.s","gs_nonparam_quantci_lb_R.s","gs_nonparam_quantci_ub_R.s","gs_param_delta","gs_param_delta.s","gs_param_R.s","gs_param_var_R.s","gs_param_normci_lb_R.s","gs_param_normci_ub_R.s","gs_param_quantci_lb_R.s","gs_param_quantci_ub_R.s","cc_nonparam_delta","cc_nonparam_delta.s","cc_nonparam_R.s","cc_nonparam_var_R.s","cc_nonparam_normci_lb_R.s","cc_nonparam_normci_ub_R.s","cc_nonparam_quantci_lb_R.s","cc_nonparam_quantci_ub_R.s","cc_param_delta","cc_param_delta.s","cc_param_R.s","cc_param_var_R.s","cc_param_normci_lb_R.s","cc_param_normci_ub_R.s","cc_param_quantci_lb_R.s","cc_param_quantci_ub_R.s","ipw_nonparam_delta","ipw_nonparam_delta.s","ipw_nonparam_R.s","ipw_nonparam_var_R.s","ipw_nonparam_normci_lb_R.s","ipw_nonparam_normci_ub_R.s","ipw_nonparam_quantci_lb_R.s","ipw_nonparam_quantci_ub_R.s","ipw_param_delta","ipw_param_delta.s","ipw_param_R.s","ipw_param_var_R.s","ipw_param_normci_lb_R.s","ipw_param_normci_ub_R.s","ipw_param_quantci_lb_R.s","ipw_param_quantci_ub_R.s","smle_param_delta","smle_param_delta.s","smle_param_R.s","smle_param_var_R.s","smle_param_normci_lb_R.s","smle_param_normci_ub_R.s","smle_param_quantci_lb_R.s","smle_param_quantci_ub_R.s"
1,11.8093522245182,6.11357276116921,0.482310913847044,0.000420899275710429,0.442099887280079,0.522521940414009,0.441065453205035,0.520771517514756,11.8093522245182,6.07303026279958,0.485743997863749,0.000400285089080311,0.446530030986998,0.5249579647405,0.448259337340773,0.52337545184253,12.0860050693282,6.21529346492232,0.485744592256092,0.000597326555085459,0.437841672783305,0.533647511728879,0.436598324219483,0.530246774935705,12.0860050693282,6.21067752346165,0.486126516757546,0.000566876594593867,0.43946054279587,0.532792490719222,0.44129999831475,0.532744323166436,12.234124014362,6.2013265133161,0.493112338403944,0.0116472840798268,0.281584074285262,0.704640602522625,0.291765099956062,0.71493484524675,12.0860050693281,6.21067752346151,0.486126516757551,0.0266631042126259,0.1660812369248,0.806171796590301,0.101931702775772,0.706650996036019,11.809352224518,6.1953313682735,0.475387705397503,0.00634871814595973,0.319217171590646,0.631558239204361,0.322632056695023,0.616367024636642
2,12.1158644007124,6.21331628416111,0.487175154931927,0.000388445888058546,0.448545454912827,0.525804854951028,0.446242403976435,0.522968104938495,12.1158644007124,6.20603744973945,0.487775923823104,0.000343158452822835,0.451467832268132,0.524084015378075,0.449882668320885,0.524119499287685,11.9750337464948,6.07440677120212,0.492744079073669,0.000553139301680618,0.446647008219478,0.538841149927859,0.449781405030331,0.537597545222432,11.9750337464948,6.08109984427193,0.492185160141873,0.000528513522491035,0.447125893081682,0.537244427202063,0.444243834420097,0.533997592654909,12.0249304903107,6.06980145901803,0.495231888125352,0.0131359824202263,0.270591753542189,0.719872022708515,0.287988135683509,0.737405031204202,11.9750337464948,6.08109984427201,0.492185160141865,0.0194305426551084,0.218973936609844,0.765396383673887,0.135439561401336,0.682488554689363,12.1158644007124,6.06435639116934,0.49946977032751,0.00555103039274274,0.353439505119367,0.645500035535653,0.345187125309651,0.63893440639346
3,11.1310417620717,6.30931474217244,0.433178414290833,0.000556547718237439,0.386939537635134,0.479417290946532,0.384260199153893,0.476496776511062,11.1310417620717,6.19854337071158,0.443129987003309,0.000603817107409678,0.394967514061972,0.491292459944646,0.385921913076496,0.483451357610736,11.5498571914337,6.34662081308253,0.450502226314134,0.000854467865546973,0.393208912984521,0.507795539643748,0.391667216725569,0.505761674425355,11.5498571914337,6.25872099105327,0.458112694614509,0.000744689189425508,0.404626266521982,0.511599122707035,0.399033382971478,0.507584641333504,12.0522041905408,6.29757428438803,0.477475307850268,0.0180636734056062,0.214049022610968,0.740901593089568,0.215683433316679,0.742032325517434,11.5498571914338,6.25872099105331,0.458112694614509,0.0312252495852621,0.111767608310772,0.804457780918245,0.0334001444513276,0.687335651978218,11.1310417620719,6.26454136886727,0.437200802694569,0.00946766821704216,0.246488993352334,0.627912612036805,0.22471825649461,0.593659954473289
4,11.6313449637905,5.81501008856813,0.500056948988201,0.000423375208151795,0.45972782552096,0.540386072455442,0.458367505761257,0.53725324625377,11.6313449637905,5.77636744646977,0.50337923391902,0.000433327535402524,0.462578853283512,0.544179614554528,0.459538081008765,0.538533925247797,11.0700460279267,5.81225149352244,0.474956881040989,0.000808294739380129,0.419233052468262,0.530680709613717,0.417703781604264,0.528318692722747,11.0700460279267,5.77001019997215,0.478772700184264,0.000741057470391321,0.425416853473193,0.532128546895335,0.418904139890862,0.528528598111313,10.5727935535463,5.85655219088171,0.446073342752699,0.0135023490065661,0.218322110168495,0.673824575336903,0.260509974554353,0.709584511257916,11.0700460279268,5.77001019997222,0.478772700184261,0.0359563267022112,0.10711449072399,0.850430909644531,-0.0153690676560787,0.685401834379473,11.6313449637905,5.78598463668675,0.502552400027764,0.00680516753185386,0.340865258948549,0.664239541106978,0.327956854068916,0.63425748072804
5,12.3297864394231,6.02144101388741,0.51163460588137,0.000370958287171009,0.473884462093616,0.549384749669125,0.471435322014352,0.546817110552,12.3297864394231,6.01670724478586,0.512018535410466,0.000362156025284717,0.474718956502203,0.54931811431873,0.472840585323553,0.545488518013602,12.4524266924258,5.88281123597135,0.527577123618035,0.000621365027688234,0.478719822317543,0.576434424918528,0.476700149633979,0.572541290120764,12.4524266924258,5.92071471083628,0.524533261100219,0.000510527400382858,0.480247348426878,0.56881917377356,0.474292300190199,0.567906519586342,12.5551471783826,5.87364797859449,0.532172112748488,0.015647106091367,0.286998862248774,0.777345363248202,0.305408434072186,0.776954114895629,12.452426692426,5.92071471083638,0.52453326110022,0.0158711933346213,0.277610649105528,0.771455873094912,0.261582132970009,0.723450988871095,12.329786439423,5.90329563526321,0.521216716585767,0.00414800984621965,0.394982828008898,0.647450605162636,0.40767582302428,0.64949311759614
6,12.1504613862513,5.82428745891684,0.520652979852497,0.000365640714559657,0.483174381038609,0.558131578666386,0.48262162726612,0.55484903370269,12.1504613862513,5.79166841409099,0.523337572954679,0.000352891062221849,0.486518198915575,0.560156946993783,0.486049286984108,0.560186942756559,12.5239874628721,5.8134988109776,0.535810872678373,0.00055616881625423,0.489587738594645,0.5820340067621,0.490889497487845,0.581158238208047,12.5239874628721,5.7694663214859,0.539326724927685,0.000499212197613989,0.495534333141509,0.58311911671386,0.497520890846191,0.582785302302655,13.0380304947885,5.76829275490472,0.557579439838678,0.0145542768273503,0.321122869069437,0.794036010607919,0.323459275285127,0.787747863543501,12.5239874628721,5.76946632148596,0.539326724927681,0.015911549520866,0.292090383263761,0.786563066591601,0.264713429258208,0.71625780135428,12.1504613862516,5.79238394883692,0.523278683442337,0.00497295090938311,0.385061143985558,0.661496222899115,0.374151035949021,0.660179050810201
7,12.1653600235231,6.15122595925489,0.494365481386427,0.000410197270327047,0.454668959703937,0.534062003068917,0.458571060992425,0.536067574209772,12.1653600235231,6.16602275078554,0.49314917611457,0.000423066554720085,0.452834755907743,0.533463596321398,0.451318594541128,0.530907899995372,11.9844235592948,6.09851114996837,0.491130205821327,0.000637312189813979,0.441649921784254,0.5406104898584,0.435347167552776,0.534073883732351,11.9844235592948,6.03343119383029,0.496560584330239,0.000642154941222004,0.446892662869819,0.546228505790659,0.441800166542051,0.54083289495955,11.2741128180192,6.16428861999898,0.453235148565596,0.013926473793436,0.221934604413914,0.684535692717277,0.262114238564522,0.741358846312738,11.9844235592947,6.0334311938302,0.496560584330243,0.0219021655792148,0.206492731424907,0.786628437235579,0.124927451824294,0.685980197222125,12.1653600235231,6.01191808294972,0.505816673627002,0.0053680717637955,0.36221310651324,0.649420240740764,0.354816238119185,0.643503608248461
8,12.0137371106254,5.97223781033625,0.502882595536889,0.000460831366794442,0.460807308506644,0.544957882567134,0.459296114064675,0.545156538439368,12.0137371106254,5.9618078298857,0.503750766727461,0.000371721046695413,0.465961832196502,0.54153970125842,0.463768266635926,0.542258126956952,11.8935467544369,5.86759860322688,0.506656952347881,0.00066199672968898,0.456227530015544,0.557086374680217,0.447474727882137,0.553058932255497,11.8935467544369,5.82488548829799,0.510248237253114,0.000557352154084337,0.463975955754031,0.556520518752197,0.464017951615311,0.55551100186019,12.6567237192734,5.80005142053442,0.541741484670141,0.0133747840650672,0.315068657749131,0.768414311591151,0.301804554474691,0.734735715514059,11.8935467544372,5.82488548829827,0.510248237253101,0.0241392036437286,0.20572703155841,0.814769442947791,0.110563580190797,0.688851401630134,12.0137371106252,5.7711057522048,0.519624435006098,0.00630598361340794,0.363980396735216,0.675268473276981,0.341689672677624,0.651331402200369
9,11.6835688633311,6.01232053473738,0.485403766172245,0.000464492600305648,0.443161669002074,0.527645863342416,0.445490890721224,0.52494304831404,11.6835688633311,5.98274517575191,0.487935129605065,0.000456137709353957,0.446074663479446,0.529795595730685,0.444212446898483,0.530571950408035,11.8747926875153,6.07256244855668,0.488617392458469,0.000707363888443905,0.436488618121774,0.540746166795165,0.433814427624427,0.538291252288096,11.8747926875153,6.0003536641207,0.494698238359206,0.000637592113171331,0.445207089029665,0.544189387688748,0.445320662794855,0.540807950103904,9.88469366246547,6.25516070259973,0.367187197075003,0.0147827388291317,0.128881994685311,0.605492399464695,0.275767626206661,0.747268982894923,11.874792687515,6.0003536641207,0.494698238359194,0.0523627519575552,0.0461932239834972,0.943203252734891,0.0519433097300719,0.696680605534413,11.6835688633311,5.99405955889191,0.486966728316699,0.00707855885457457,0.322063751703984,0.651869704929414,0.3116363546959,0.639699988595204
10,12.4093044954972,6.00926129713737,0.515745519878422,0.000418384429750406,0.475654802432494,0.555836237324349,0.476568007594368,0.553760537443507,12.4093044954972,6.0219995302365,0.514719013267696,0.000334383863394897,0.478878128099807,0.550559898435586,0.477589558710203,0.549616761064911,12.3982372110442,6.24009446050123,0.496695025729737,0.000609486509031923,0.448306975830024,0.545083075629449,0.447066188644043,0.543425712547949,12.3982372110442,6.21699543377597,0.498558115323205,0.000562428912566516,0.452075571174724,0.545040659471687,0.448118747322451,0.542461731571481,10.3504148810186,6.43479319561832,0.378305771354252,0.0136702537061314,0.149142845387868,0.607468697320636,0.30194978868441,0.750292150365026,12.3982372110444,6.21699543377619,0.498558115323194,0.031900782174784,0.148486630048186,0.848629600598203,0.159528713490612,0.69993395326838,12.4093044954973,6.23743822909519,0.497357951740289,0.00538035801581124,0.35359014117916,0.641125762301417,0.348489381760926,0.626412222222801
