"r","gs_nonparam_delta","gs_nonparam_delta.s","gs_nonparam_R.s","gs_nonparam_var_R.s","gs_nonparam_normci_lb_R.s","gs_nonparam_normci_ub_R.s","gs_nonparam_quantci_lb_R.s","gs_nonparam_quantci_ub_R.s","gs_param_delta","gs_param_delta.s","gs_param_R.s","gs_param_var_R.s","gs_param_normci_lb_R.s","gs_param_normci_ub_R.s","gs_param_quantci_lb_R.s","gs_param_quantci_ub_R.s","cc_nonparam_delta","cc_nonparam_delta.s","cc_nonparam_R.s","cc_nonparam_var_R.s","cc_nonparam_normci_lb_R.s","cc_nonparam_normci_ub_R.s","cc_nonparam_quantci_lb_R.s","cc_nonparam_quantci_ub_R.s","cc_param_delta","cc_param_delta.s","cc_param_R.s","cc_param_var_R.s","cc_param_normci_lb_R.s","cc_param_normci_ub_R.s","cc_param_quantci_lb_R.s","cc_param_quantci_ub_R.s","ipw_nonparam_delta","ipw_nonparam_delta.s","ipw_nonparam_R.s","ipw_nonparam_var_R.s","ipw_nonparam_normci_lb_R.s","ipw_nonparam_normci_ub_R.s","ipw_nonparam_quantci_lb_R.s","ipw_nonparam_quantci_ub_R.s","ipw_param_delta","ipw_param_delta.s","ipw_param_R.s","ipw_param_var_R.s","ipw_param_normci_lb_R.s","ipw_param_normci_ub_R.s","ipw_param_quantci_lb_R.s","ipw_param_quantci_ub_R.s"
1,11.5842217254954,6.03973430103523,0.478624076424353,0.000434604671261293,0.437763615032962,0.519484537815744,0.436232590619854,0.517201189368292,11.5842217254954,6.05458308184884,0.477342265598777,0.000407418910912946,0.437780409118537,0.516904122079018,0.436865542573675,0.515216109445084,11.4946251427612,6.19205323037471,0.461308815775156,0.000701509179068515,0.409396219400966,0.513221412149347,0.407784468688326,0.507390202793776,11.4946251427612,6.10208165107101,0.46913608966937,0.000652470963064702,0.419070807769541,0.519201371569199,0.416519814699604,0.517693697265753,11.5842217254954,6.26195632760567,0.45944091230368,0.000656540438857208,0.409219743958909,0.509662080648452,0.404437693594011,0.505651975249715,11.4946251427609,6.10208165107081,0.469136089669372,0.000637704333449124,0.419640585152515,0.518631594186228,0.420205767151448,0.520350200652614
2,12.2053304761265,5.98014701926855,0.510038091064748,0.000446136276680823,0.468639092037029,0.551437090092467,0.465148865718109,0.54575334082172,12.2053304761265,5.95157644212354,0.512378918885911,0.000348222768089644,0.475803892079453,0.54895394569237,0.474021226124216,0.546483058116492,11.8210392027444,6.02557385872488,0.490266992996186,0.000711097897721898,0.438000811923829,0.542533174068544,0.434297465457525,0.53898836295818,11.8210392027444,5.89190186874709,0.501574965813564,0.000559881835760119,0.455197794055725,0.547952137571402,0.454581386132548,0.544584735615943,12.2053304761265,5.97703876112331,0.510292755053676,0.000635038730640358,0.460900804417687,0.559684705689665,0.459824227586755,0.558184521869961,11.8210392027447,5.89190186874735,0.501574965813555,0.000665914100262132,0.450996555324819,0.55215337630229,0.445396309347399,0.547950373536432
3,11.5747947555765,5.92825467638137,0.487830687146718,0.000481197198884832,0.444835720473443,0.530825653819992,0.444218002118712,0.52837462716253,11.5747947555765,6.0233797606407,0.47961239159435,0.000441619766220988,0.438423479325214,0.520801303863486,0.438317287130344,0.518176956285968,11.3577387135717,5.78511854232471,0.490645216603557,0.000716048318121484,0.438197421426873,0.543093011780242,0.434600827638537,0.541266553632102,11.3577387135717,5.90286654904756,0.480278011502937,0.00070235159943016,0.428334254376879,0.532221768628995,0.426429906318063,0.531496427172399,11.5747947555765,5.76123610699544,0.502260193061323,0.000699143168099565,0.450435214580177,0.55408517154247,0.447820888612943,0.550853681266601,11.357738713572,5.90286654904772,0.480278011502936,0.000681027568099643,0.429128861895034,0.531427161110839,0.427491188096285,0.527642923817627
4,12.5618644223882,5.94584313906205,0.526675106565776,0.000343570345907918,0.490345231244769,0.563004981886782,0.486439259361248,0.561091934399974,12.5618644223882,6.06295174902666,0.517352556502595,0.000349741317282022,0.480697867246367,0.554007245758822,0.480764474422641,0.552183436792474,12.2798824656964,5.6582277264711,0.539227859690251,0.000607092196807447,0.49093494734014,0.587520772040362,0.489862920242773,0.58600171676488,12.2798824656964,5.76154353588626,0.530814439634826,0.000521428090091897,0.486058231675515,0.575570647594136,0.486745238712635,0.573494681226968,12.5618644223882,5.72551052020614,0.544214908895056,0.000520090088469727,0.499516160770916,0.588913657019196,0.502165553186548,0.591429134414873,12.2798824656963,5.76154353588608,0.530814439634834,0.000518116889463493,0.486200564634303,0.575428314635364,0.486390861458141,0.575389124290003
5,12.0553842791992,5.90451591490552,0.510217527856545,0.000411934553485324,0.470437032878865,0.549998022834225,0.467343693051708,0.545964424506005,12.0553842791992,5.91031281515502,0.509736672156283,0.00032388669692776,0.474462841418501,0.545010502894065,0.473089467035376,0.543286540905013,12.427444072113,6.20601311342613,0.500620314409435,0.000506096275210472,0.456527010486407,0.544713618332463,0.453090330639614,0.543974229375627,12.427444072113,6.16135281359305,0.504213997838942,0.000480727598181565,0.461240015696553,0.54718797998133,0.457517458609969,0.544262231619833,12.0553842791992,6.12413469539828,0.492000043004427,0.000619928403945701,0.443199254521066,0.540800831487789,0.443068099953426,0.539064549582462,12.4274440721129,6.1613528135929,0.50421399783895,0.000508873228638736,0.459999889285926,0.548428106391974,0.456726703987316,0.544123212455026
6,11.7675479106346,6.03197707155196,0.487405777536652,0.000444424369483242,0.446086282648563,0.528725272424741,0.443642716137335,0.525221408387922,11.7675479106346,5.98962149488555,0.491005132048574,0.000404052493143011,0.451607060298066,0.530403203799082,0.452101899023497,0.52963829472554,11.9238378557535,6.1236005792248,0.486440468806776,0.000679599067829149,0.435344991717581,0.537535945895971,0.432306309858705,0.535586452506694,11.9238378557535,6.0486738440202,0.492724245566492,0.000576121088262107,0.445679301388954,0.53976918974403,0.445141373425828,0.540362355324508,11.7675479106346,6.11440840827564,0.480400806122923,0.000690900940505031,0.428882216729927,0.531919395515919,0.427576955896487,0.533043876823315,11.9238378557538,6.04867384402024,0.492724245566501,0.000569342049221978,0.445956902085273,0.539491589047729,0.445462254025671,0.538951795448479
7,12.8713474820469,6.05787940610889,0.529351576083351,0.000346778142801655,0.492852495089622,0.565850657077081,0.493217084141543,0.564367606110783,12.8713474820469,6.03197440844175,0.53136418569577,0.000336762267859381,0.495396061916393,0.567332309475147,0.494718791257195,0.566445975498371,12.868437762259,6.05633133596015,0.529365456176635,0.000569206006674547,0.482603700486317,0.576127211866952,0.480068754531289,0.570742904508796,12.868437762259,5.97898595944114,0.535375927528942,0.000497026443328306,0.491679511375097,0.579072343682787,0.489712710732511,0.574618377491451,12.8713474820469,6.21589467858076,0.51707506247883,0.000585472909517255,0.469649829435634,0.564500295522027,0.462379882235211,0.558912263861727,12.8684377622588,5.97898595944109,0.535375927528938,0.0005238600223657,0.490515469863862,0.580236385194014,0.488971691660589,0.579430388719394
8,11.9973833179967,5.79025745241386,0.517373305583381,0.000473085251996059,0.474742280448298,0.560004330718463,0.470221668820936,0.555923532695079,11.9973833179967,5.61877450960706,0.53166666758254,0.000399847342476339,0.49247414851503,0.570859186650049,0.490692797650823,0.570481302367827,12.0264981806043,5.69337184877069,0.526597704230091,0.000681361636599729,0.475436010912126,0.577759397548056,0.476367499469356,0.578040193619206,12.0264981806043,5.58552084909137,0.535565485047058,0.000673818692671491,0.484687769986663,0.586443200107454,0.478226262845113,0.580431156534722,11.9973833179967,5.66155772961698,0.528100621647694,0.00065239522899092,0.478038245438694,0.578162997856695,0.474313341994503,0.580618753444235,12.0264981806041,5.58552084909107,0.535565485047076,0.000604781505575609,0.487364565638632,0.583766404455519,0.4889821228887,0.581348026789625
9,11.321644216446,5.95090593989208,0.474377941390553,0.000441205655315075,0.433208345261147,0.515547537519959,0.433753923552598,0.515652826601553,11.321644216446,5.95244981323725,0.474241576626244,0.000485724304101814,0.431044835005636,0.517438318246851,0.427634235496683,0.514925471921957,11.1022616389998,5.90745955444803,0.467904851593802,0.000759509192517965,0.413888830692805,0.5219208724948,0.408730028354301,0.516157070459462,11.1022616389998,5.92104345442452,0.466681326116005,0.000780979051226453,0.411907161373934,0.521455490858076,0.408008475090967,0.519930368406621,11.321644216446,5.94717027564715,0.474707899139933,0.00075556122818858,0.420832450054016,0.52858334822585,0.421587741827833,0.527697502052369,11.1022616389998,5.92104345442454,0.466681326116003,0.000759297175718572,0.412672845020527,0.52068980721148,0.409280305394805,0.510314727630948
10,12.2234606034495,6.05650492287715,0.504517982316071,0.000392273917453059,0.465698406310044,0.543337558322098,0.465400066354846,0.541714705230889,12.2234606034495,5.95040975119025,0.513197616924372,0.000331761383730403,0.477497553454699,0.548897680394046,0.472025265822309,0.545083618075614,12.3103777324009,6.36662988013086,0.482824165226558,0.000645774815509366,0.433016449646933,0.532631880806182,0.434118501750857,0.532082660365375,12.3103777324009,6.23459364975877,0.493549768716739,0.00053552982833559,0.448192394580508,0.538907142852969,0.444463925807454,0.533144065127682,12.2234606034495,6.52144337938897,0.466481417091603,0.0006047191342601,0.418282983235578,0.514679850947628,0.413469737456376,0.513408208971023,12.3103777324009,6.23459364975874,0.493549768716739,0.000539825082873132,0.448010861852768,0.53908867558071,0.447353049206374,0.537306655522984
11,11.6072996315418,6.12114957419766,0.472646544114019,0.000454152523393082,0.430877269115919,0.514415819112118,0.431774154798297,0.511907440140015,11.6072996315418,6.03369866395848,0.480180674619407,0.000387385399138499,0.441603741753632,0.518757607485181,0.441482277134501,0.516740433084047,12.0540206503624,6.28170108020564,0.478870887779938,0.000637519643587529,0.42938255114588,0.528359224413996,0.429402677587601,0.524698714668894,12.0540206503624,6.19440997952579,0.486112546244927,0.000690042971699758,0.434625954979999,0.537599137509855,0.429185329210647,0.531177941047703,11.6072996315418,6.28376238299694,0.45863701442484,0.000718394531622467,0.406103363945543,0.511170664904136,0.40395518581276,0.507416356157456,12.0540206503624,6.19440997952602,0.486112546244911,0.000604093020831635,0.43793907067145,0.534286021818371,0.438812015841677,0.531024823238729
