"r","gs_nonparam_delta","gs_nonparam_delta.s","gs_nonparam_R.s","gs_nonparam_var_R.s","gs_nonparam_normci_lb_R.s","gs_nonparam_normci_ub_R.s","gs_nonparam_quantci_lb_R.s","gs_nonparam_quantci_ub_R.s","gs_param_delta","gs_param_delta.s","gs_param_R.s","gs_param_var_R.s","gs_param_normci_lb_R.s","gs_param_normci_ub_R.s","gs_param_quantci_lb_R.s","gs_param_quantci_ub_R.s","cc_nonparam_delta","cc_nonparam_delta.s","cc_nonparam_R.s","cc_nonparam_var_R.s","cc_nonparam_normci_lb_R.s","cc_nonparam_normci_ub_R.s","cc_nonparam_quantci_lb_R.s","cc_nonparam_quantci_ub_R.s","cc_param_delta","cc_param_delta.s","cc_param_R.s","cc_param_var_R.s","cc_param_normci_lb_R.s","cc_param_normci_ub_R.s","cc_param_quantci_lb_R.s","cc_param_quantci_ub_R.s","ipw_nonparam_delta","ipw_nonparam_delta.s","ipw_nonparam_R.s","ipw_nonparam_var_R.s","ipw_nonparam_normci_lb_R.s","ipw_nonparam_normci_ub_R.s","ipw_nonparam_quantci_lb_R.s","ipw_nonparam_quantci_ub_R.s","ipw_param_delta","ipw_param_delta.s","ipw_param_R.s","ipw_param_var_R.s","ipw_param_normci_lb_R.s","ipw_param_normci_ub_R.s","ipw_param_quantci_lb_R.s","ipw_param_quantci_ub_R.s","smle_param_delta","smle_param_delta.s","smle_param_R.s","smle_param_var_R.s","smle_param_normci_lb_R.s","smle_param_normci_ub_R.s","smle_param_quantci_lb_R.s","smle_param_quantci_ub_R.s"
1,11.8523434165299,6.01373199947919,0.492612406834909,0.000359794926020091,0.455434615241018,0.5297901984288,0.454346346972719,0.527715519664863,11.8523434165299,5.94543784874304,0.498374486816569,0.000357566749546814,0.461311993308185,0.535436980324954,0.450977807513778,0.532312607810517,12.0240821056004,6.12395766479672,0.490692294761991,0.000608084316818636,0.442359937986323,0.53902465153766,0.432922809856469,0.531781825336795,12.0240821056004,6.06674694816097,0.495450305904405,0.000564645393320596,0.448876260095818,0.542024351712993,0.451926694949306,0.540192929037276,12.2828181066,6.10016606547745,0.50335777892863,0.0144453786454373,0.267787478159811,0.738928079697449,0.252508254643581,0.729480988332142,12.0240821056002,6.06674694816081,0.495450305904411,0.0249514887948099,0.185847916775804,0.805052695033019,0.135653808312809,0.708950029392555,NA,NA,NA,NA,NA,NA,NA,NA
2,12.2535465970153,6.00154285045882,0.510219934861908,0.000391271393356942,0.471449995672891,0.548989874050924,0.472727721924895,0.546760758819376,12.2535465970153,5.97264075515622,0.512578606702242,0.000382082408982086,0.474266627082995,0.550890586321488,0.471572602629823,0.549687273631502,12.6991378351552,5.83811171649571,0.540274954703305,0.000517984549971903,0.495666777793998,0.584883131612613,0.496610459701608,0.582650411196144,12.6991378351552,5.74982879637379,0.547226837678976,0.000508936735282482,0.50300997028359,0.591443705074363,0.501442330796648,0.59090109555402,12.2396527587892,5.87831294484204,0.519732049537037,0.0141030439480944,0.286969824012792,0.752494275061281,0.326351670326823,0.787006058986733,12.6991378351549,5.74982879637342,0.547226837678993,0.016267557886033,0.297239937272223,0.797213738085764,0.238872406429132,0.73125587097855,NA,NA,NA,NA,NA,NA,NA,NA
3,11.6045548403605,6.03863815703849,0.4796320720519,0.000435008519713561,0.438752630649997,0.520511513453803,0.436985944177916,0.515123999288519,11.6045548403605,5.99801127720054,0.483133014603927,0.00043347007527793,0.442325924029032,0.523940105178822,0.441219081213737,0.523756019518054,11.6789332039709,6.0815348423031,0.479273086326467,0.000630749696207366,0.430048214229627,0.528497958423306,0.424982015012337,0.522888492941408,11.6789332039709,6.06750904495538,0.480474034829447,0.000627621132128931,0.431371393951522,0.529576675707372,0.4269149148637,0.523437244705242,11.3329181262349,6.11361528231559,0.460543593960763,0.014753537385569,0.222473878918295,0.69861330900323,0.272076024234744,0.746542441729162,11.6789332039708,6.06750904495519,0.480474034829462,0.0263164271820615,0.162516196960024,0.798431872698899,0.132967032159657,0.686934448269288,NA,NA,NA,NA,NA,NA,NA,NA
4,12.2745697268407,6.2455059857484,0.491183306239125,0.000415491385011928,0.451231438890254,0.531135173587997,0.450226711638509,0.532892740063261,12.2745697268407,6.20008118886269,0.494884030410856,0.000397901983531343,0.455786968373741,0.533981092447971,0.452318687689299,0.530585033951371,12.3252453772549,6.23488972497877,0.494136665507309,0.00053643889326459,0.448740810494266,0.539532520520352,0.44622899255468,0.535621018590868,12.3252453772549,6.19533618545563,0.497345813748376,0.000513456247094909,0.452933050730975,0.541758576765777,0.45556386241468,0.542336360005946,12.6212673546592,6.20705539584991,0.508206646651969,0.0116994193849743,0.296205492152005,0.720207801151932,0.29728480379242,0.714956472708172,12.3252453772549,6.19533618545564,0.497345813748375,0.0167092746564871,0.243987668980221,0.750703958516529,0.218567809994629,0.705099247630556,NA,NA,NA,NA,NA,NA,NA,NA
5,12.0854178848042,6.0332465414719,0.500782960177329,0.000437089737624805,0.459805845392861,0.541760074961797,0.454242494450288,0.538375230407764,12.0854178848042,6.00776085724531,0.502891756453099,0.000383628043728825,0.464502363480708,0.541281149425489,0.466059279433347,0.541437170723746,11.9470203925894,5.97468606463169,0.4999015764351,0.00064727964744062,0.45003586182468,0.54976729104552,0.447627916757371,0.548294637579697,11.9470203925894,5.95932402326572,0.501187423521751,0.000596475533179717,0.453318640288174,0.549056206755329,0.453859573019693,0.54268315356265,11.7933829616045,5.98863474805107,0.492203825861661,0.0134653527791417,0.264764824728718,0.719642826994604,0.291058656361731,0.740381266059977,11.9470203925892,5.95932402326545,0.501187423521764,0.0292733600559425,0.165842019511349,0.83653282753218,0.106310611649732,0.677149789149074,NA,NA,NA,NA,NA,NA,NA,NA
6,12.1917678095722,5.95083584910524,0.511897212770653,0.000443285746546236,0.47063068245937,0.553163743081935,0.465716165750189,0.549275435788755,12.1917678095722,6.00885404907113,0.507138411514584,0.000377647170051923,0.469049445022023,0.545227378007145,0.466801088953931,0.541834689136522,12.2347593585676,5.95627072958892,0.513168133918551,0.000655073774985453,0.463003092166509,0.563333175670593,0.459320156336536,0.55781668933993,12.2347593585676,5.95514770085179,0.513259923932905,0.000569249849240229,0.466496367386795,0.560023480479015,0.462731880331582,0.558953110340011,11.4418309751777,6.02689844575007,0.473257518064633,0.0141766896097582,0.239888345282864,0.706626690846402,0.290004891816737,0.746491166275686,12.2347593585672,5.95514770085162,0.513259923932905,0.0197793200146683,0.237607541813051,0.788912306052758,0.169142553720609,0.712957700180662,NA,NA,NA,NA,NA,NA,NA,NA
7,11.1865902297114,5.91705113123028,0.47105856121245,0.000550859786977436,0.425056572585299,0.517060549839601,0.421481542798276,0.514365481661579,11.1865902297114,5.94539932986418,0.468524437940588,0.000458726965674593,0.426545329906525,0.51050354597465,0.42518576647916,0.508851228638519,11.767968258495,5.86058352899799,0.501988499606347,0.00064704851456031,0.452131688902744,0.55184531030995,0.446847261104632,0.54674118515718,11.767968258495,5.86466249748948,0.501641883401928,0.00059277096195444,0.453921982653454,0.549361784150401,0.45446785195406,0.546736189234486,11.9693526271386,5.84263380915436,0.51186718353446,0.0152363053366199,0.269933741073193,0.753800625995727,0.302694023114492,0.789640348103567,11.7679682584949,5.86466249748946,0.501641883401925,0.0211554135918819,0.216561829987847,0.786721936816003,0.173519264058903,0.714569928509883,NA,NA,NA,NA,NA,NA,NA,NA
8,11.9668926735102,6.17041222156892,0.484376404977069,0.000496575422345963,0.440699819230422,0.528052990723716,0.435939299883283,0.523997808180866,11.9668926735102,6.09335466677924,0.490815633345871,0.00037082172098294,0.453072438948364,0.528558827743379,0.45085680355147,0.525908777457369,12.0731267559241,6.16841013784955,0.489079319504137,0.000713230042225049,0.436734840041526,0.541423798966749,0.438890521523254,0.535262050196361,12.0731267559241,6.08718548851702,0.495807042236997,0.000618483353644912,0.447063164145874,0.54455092032812,0.444009526945715,0.541782800166449,11.0650263087102,6.26194548710662,0.434077668466337,0.0148142160554189,0.195518886614783,0.672636450317891,0.256529246677879,0.731113359778645,12.0731267559244,6.08718548851714,0.495807042236999,0.0254175958174319,0.183326265080633,0.808287819393365,0.0843462657717246,0.696492867533531,NA,NA,NA,NA,NA,NA,NA,NA
9,12.2024160729668,6.01017629406794,0.507460140833678,0.000420867715578282,0.467250621859118,0.547669659808239,0.462642951170721,0.544454637281272,12.2024160729668,6.05810297465412,0.5035325022169,0.000396162990224746,0.464520968752457,0.542544035681344,0.462699395407151,0.536983913916495,12.5145576478717,6.1088262115425,0.511862393907193,0.000644445590083157,0.462105965389227,0.561618822425159,0.461290244794284,0.558047533829729,12.5145576478717,6.14371264776089,0.509074725561256,0.000562648777704943,0.462583096804765,0.555566354317746,0.46217041230289,0.556755889936913,13.0677049545551,6.05756985126271,0.536447304838239,0.0141219490721895,0.303529122731897,0.769365486944581,0.313619461897399,0.768741015347468,12.5145576478721,6.14371264776113,0.509074725561253,0.0180610016217265,0.245667922630834,0.772481528491672,0.184856740624001,0.7110275909078,NA,NA,NA,NA,NA,NA,NA,NA
10,11.2418077353927,5.87901739702067,0.47703985556418,0.000524406589324927,0.432156001523438,0.521923709604922,0.428255117454777,0.518447858988154,11.2418077353927,5.85270743249951,0.479380223336022,0.000504610947674468,0.435351671047919,0.523408775624125,0.434865847308805,0.522465479552505,11.1942310968722,5.79513062314182,0.48231097133942,0.000694936993459191,0.430642122367599,0.533979820311241,0.431225493283166,0.534712271437795,11.1942310968722,5.79235474326402,0.482558945483761,0.000727297672376143,0.429700769785008,0.535417121182513,0.430108764862499,0.533973574325483,12.5769213346133,5.6725749906286,0.548969510128289,0.0170900812505451,0.292740596591791,0.805198423664786,0.279329087401222,0.785771202263387,11.1942310968723,5.79235474326403,0.482558945483766,0.0245391288926049,0.175525531090754,0.789592359876778,0.0921527942219711,0.687346748648544,NA,NA,NA,NA,NA,NA,NA,NA
11,12.6872418571514,5.94826340396419,0.53116181823149,0.000347758391751248,0.494611187077547,0.567712449385433,0.490155579637497,0.563262081970443,12.6872418571514,5.91035621115314,0.534149638061667,0.000288133715734101,0.500879614281031,0.567419661842304,0.498463012698937,0.562623858275438,12.5149843186238,5.80438860444134,0.536204883948301,0.000532447945580179,0.490978210096017,0.581431557800584,0.491231816748607,0.582101750998183,12.5149843186238,5.77273667736786,0.538734006340119,0.000521549005302528,0.493972609369401,0.583495403310837,0.49104817976119,0.578893672723906,12.2628816042085,5.82652586075132,0.524864868731039,0.0126283943786642,0.304607655806975,0.745122081655103,0.340293091399905,0.784783342777661,12.5149843186237,5.77273667736787,0.538734006340111,0.0212826618106442,0.252797870792729,0.824670141887493,0.133617227751439,0.713409222423421,NA,NA,NA,NA,NA,NA,NA,NA
12,12.0585962325413,6.11199895361697,0.493141752509869,0.000412618728833128,0.453328235851763,0.532955269167976,0.452549555748523,0.530193005104136,12.0585962325413,6.14928458699699,0.49004971487456,0.000413639629461841,0.450186975373359,0.529912454375761,0.44840049630945,0.530411172786267,12.5857906386827,6.33724666937808,0.496476077561596,0.00061241376468955,0.447971967236476,0.544980187886715,0.444656498342141,0.54317024938081,12.5857906386827,6.19807102007838,0.507534234597193,0.000509900550335374,0.46327551845937,0.551792950735015,0.463326316471299,0.552733208342503,13.3139890631261,6.26727706892754,0.529271277059619,0.0165691521706526,0.276977688201758,0.781564865917479,0.254561097042066,0.76101111873579,12.5857906386828,6.19807102007845,0.507534234597189,0.0182636165531307,0.242654055364188,0.77241441383019,0.264685027815388,0.70868339675539,NA,NA,NA,NA,NA,NA,NA,NA
13,11.7402995404948,6.05411372644719,0.484330556851187,0.000443354027020514,0.443060848465956,0.525600265236418,0.443936661675558,0.524968933677,11.7402995404948,6.05031545288181,0.484654081268285,0.000417390237009906,0.444611025259817,0.524697137276752,0.445660707029371,0.523510937825534,12.3857212285545,6.10105811626737,0.507411962235854,0.000507726799531085,0.463247686253126,0.551576238218583,0.461877598871451,0.551894348192571,12.3857212285545,6.15410560616333,0.503129006974948,0.000523734551028545,0.458273921965205,0.547984091984691,0.454894567352485,0.547411425482724,14.0511543420439,5.94841602541336,0.576659975357719,0.0133862932058443,0.349889642246063,0.803430308469376,0.296027995780469,0.749351842037179,12.3857212285542,6.15410560616314,0.503129006974952,0.013470497308049,0.275646562688363,0.73061145126154,0.248190021381767,0.711032967550229,NA,NA,NA,NA,NA,NA,NA,NA
14,12.4006803439155,5.91228288455212,0.523229151902701,0.00037642229859188,0.485202004990652,0.56125629881475,0.483291128676388,0.558913079962119,12.4006803439155,5.96042100851189,0.519347258117463,0.000320684792032102,0.484248216861746,0.55444629937318,0.479088311832863,0.551390926051482,12.6619570210633,5.90381843042823,0.533735707631359,0.000512661345421185,0.48935733649665,0.578114078766069,0.487379727551874,0.574189519734819,12.6619570210633,5.8892382035335,0.534887206319159,0.000493378162453856,0.491351456080043,0.578422956558276,0.487963919491799,0.576609986635984,13.61855447391,5.81825584448013,0.57276994003831,0.0121342688057892,0.356864851991919,0.788675028084701,0.338377065442342,0.753991992458367,12.6619570210635,5.88923820353358,0.534887206319159,0.0173152928816654,0.276975537071321,0.792798875566996,0.212784106987936,0.728128649932605,NA,NA,NA,NA,NA,NA,NA,NA
