"r","smle_param_delta","smle_param_delta.s","smle_param_R.s","smle_param_var_R.s","smle_param_normci_lb_R.s","smle_param_normci_ub_R.s","smle_param_quantci_lb_R.s","smle_param_quantci_ub_R.s"
1,12.9821370002491,6.17880007847868,0.524053699451785,0.000410395124102659,0.484347605350844,0.563759793552726,0.482465336177651,0.558887267264686
2,11.6366514697507,5.92702432864693,0.490658945655101,0.000467750255579495,0.448268977716517,0.533048913593685,0.43945806463819,0.529893229257129
3,12.9578938161822,5.98155621860268,0.538385149357163,0.000382537306942005,0.500050369869752,0.576719928844573,0.501345457284608,0.579169674383319
4,12.5069399476784,5.75422222054862,0.539917658146526,0.000373616554818344,0.502032498030854,0.577802818262199,0.498719246017851,0.574976921278331
5,12.341979964865,6.06915087347395,0.508251440145622,0.000501219704907529,0.46437108442267,0.552131795868573,0.464003547447775,0.553223737773626
6,11.6038672794035,5.68459289493139,0.510112210174847,0.000479136029528677,0.467209425055028,0.553014995294666,0.463914857559103,0.546380615622308
7,12.4782064467012,6.4987008591969,0.479195917541905,0.000485234155257769,0.436020976536291,0.522370858547519,0.432091202202975,0.517613283419146
8,11.540494144793,6.24131164931457,0.459181593872167,0.000599289128830689,0.411200044112744,0.50716314363159,0.410001207449026,0.501307997623855
9,12.613259618568,5.90801752765855,0.531602638309183,0.000370822025051492,0.493859428437236,0.56934584818113,0.491459281154699,0.569746327235193
10,12.2209226620649,5.95574269679349,0.512660143470117,0.000441634494787051,0.471470544356094,0.55384974258414,0.467265870208515,0.549707773947059
11,11.7433767655867,6.12409014246177,0.478506883947718,0.000577156692024209,0.431419676044931,0.525594091850504,0.430588313147036,0.522479385498182
12,11.7134917117534,6.04071417174597,0.484294323127861,0.000506014156748426,0.440204596608356,0.528384049647367,0.437537858973452,0.524577248839544
13,11.6061555038806,6.16632192233676,0.468702455324243,0.000577764940597024,0.421590442038909,0.515814468609578,0.416851158391133,0.510681264081845
14,11.8664068076599,5.83193771506797,0.508533812332864,0.000423966620947284,0.46817653082096,0.548891093844769,0.468219692550818,0.548163886508724
15,11.2851402774897,5.88250001955779,0.478739308957328,0.000573901175579216,0.431785089167142,0.525693528747514,0.428415943638143,0.523635271512519
16,11.8983365053953,5.89849518831591,0.504258836044749,0.000484041870200353,0.461136970957978,0.54738070113152,0.462472099141784,0.54620639041992
17,12.1592481737035,6.42851935290522,0.471306181017997,0.000469730440015984,0.428826580521224,0.51378578151477,0.424058757980279,0.512213817898988
18,11.7906605770044,6.05686583937018,0.486299703073207,0.000500754144630577,0.442439731322044,0.53015967482437,0.442153654972111,0.527552918642329
19,11.6984101399157,6.21005557732083,0.469153884754671,0.000588998769069327,0.421586062949834,0.516721706559508,0.421409881775174,0.511107982854773
20,12.3476804435923,5.91281434944016,0.521139668583782,0.000436220158061287,0.480203335587186,0.562076001580379,0.478494686796473,0.558686477099765
21,11.6378733798143,6.06299094328927,0.479029308412527,0.000558687522440673,0.43270162785103,0.525356988974024,0.433979417275893,0.524566574850704
22,11.8686849175188,6.24159440727362,0.474112384762972,0.000478426547404728,0.431241375624978,0.516983393900967,0.434373249980838,0.52093246411759
23,12.1138743130794,6.0651010850897,0.499326067916917,0.000479370238923253,0.456412798292621,0.542239337541214,0.455727928821223,0.539045748540536
24,12.1591598484194,6.07543200816378,0.500341135086441,0.000422240962912303,0.46006606980873,0.540616200364152,0.461251912828532,0.542307383033836
25,11.7321327651316,5.99377354068108,0.489114753415095,0.000453723827739783,0.447365197050445,0.530864309779746,0.44179436326411,0.527574757052595
26,12.194507638943,6.05090815041133,0.503800536309653,0.000404794726472716,0.464366294574613,0.543234778044694,0.461607327029505,0.538391653429813
27,12.3157490431984,6.19296493923059,0.497150768702066,0.000444490585832399,0.455828195760225,0.538473341643906,0.452289945090539,0.532863304976114
28,12.5713120678206,6.03941581722289,0.519587471487383,0.000523240518706597,0.474753547092309,0.564421395882458,0.46885693626052,0.558761431456101
29,12.1463848921021,5.97590557464834,0.50800953306411,0.000463058772936006,0.465832684176231,0.550186381951988,0.463163265840895,0.547040376751446
30,12.0599184351916,6.0206088684256,0.500775324412057,0.000419379895539759,0.460636941202147,0.540913707621966,0.461693796926283,0.54138046723794
31,11.1321178295736,6.08271509944063,0.453588688822418,0.000619320270755409,0.404811842346514,0.502365535298323,0.403499685033912,0.497832402100599
32,11.9895515886323,6.08554575678833,0.49242924459675,0.000438622639477998,0.451380338011815,0.533478151181684,0.453951895948814,0.535988184610381
33,11.7164975351201,6.13937260171938,0.476006154286581,0.000645512882436555,0.426208540998711,0.525803767574451,0.420482463065535,0.518684749567511
