"r","gs_nonparam_delta","gs_nonparam_delta.s","gs_nonparam_R.s","gs_nonparam_var_R.s","gs_nonparam_normci_lb_R.s","gs_nonparam_normci_ub_R.s","gs_nonparam_quantci_lb_R.s","gs_nonparam_quantci_ub_R.s","gs_param_delta","gs_param_delta.s","gs_param_R.s","gs_param_var_R.s","gs_param_normci_lb_R.s","gs_param_normci_ub_R.s","gs_param_quantci_lb_R.s","gs_param_quantci_ub_R.s","cc_nonparam_delta","cc_nonparam_delta.s","cc_nonparam_R.s","cc_nonparam_var_R.s","cc_nonparam_normci_lb_R.s","cc_nonparam_normci_ub_R.s","cc_nonparam_quantci_lb_R.s","cc_nonparam_quantci_ub_R.s","cc_param_delta","cc_param_delta.s","cc_param_R.s","cc_param_var_R.s","cc_param_normci_lb_R.s","cc_param_normci_ub_R.s","cc_param_quantci_lb_R.s","cc_param_quantci_ub_R.s","ipw_nonparam_delta","ipw_nonparam_delta.s","ipw_nonparam_R.s","ipw_nonparam_var_R.s","ipw_nonparam_normci_lb_R.s","ipw_nonparam_normci_ub_R.s","ipw_nonparam_quantci_lb_R.s","ipw_nonparam_quantci_ub_R.s","ipw_param_delta","ipw_param_delta.s","ipw_param_R.s","ipw_param_var_R.s","ipw_param_normci_lb_R.s","ipw_param_normci_ub_R.s","ipw_param_quantci_lb_R.s","ipw_param_quantci_ub_R.s","smle_param_delta","smle_param_delta.s","smle_param_R.s","smle_param_var_R.s","smle_param_normci_lb_R.s","smle_param_normci_ub_R.s","smle_param_quantci_lb_R.s","smle_param_quantci_ub_R.s"
1,11.9829619828347,6.1329273382638,0.488196044763468,0.000471765894423571,0.445624506618628,0.530767582908308,0.443825205136452,0.52811402432008,11.9829619828347,6.08549222576158,0.492154591287289,0.000400400404358788,0.452934976381164,0.531374206193413,0.452645534876153,0.531318294714158,11.6930856252273,5.87786152730583,0.497321603920814,0.000696863848598396,0.4455811733005,0.549062034541129,0.444233516933133,0.546515142424815,11.6930856252273,5.78658379094475,0.505127733054442,0.000605955068739544,0.456880069980777,0.553375396128106,0.451149110486266,0.54701487628897,13.1651845452299,5.74520939945224,0.563605859096455,0.0123559927170292,0.345737133434099,0.781474584758812,0.304810063066212,0.712144033496591,11.6930856252271,5.78658379094456,0.505127733054452,0.0273303578123577,0.181102575741083,0.82915289036782,0.0334131602204827,0.691563367422376,12.0288133366032,5.75776667644582,0.521335437226783,0.00488267886819515,0.384378147752807,0.658292726700759,0.375469507549418,0.645433506846183
2,11.6285460818104,6.01067908899252,0.483110008189713,0.000524474732566858,0.438223238060544,0.527996778318882,0.440287766562187,0.528369856283363,11.6285460818104,5.97462343151683,0.486210624313347,0.000413355297137818,0.446361587819542,0.526059660807153,0.446125648025011,0.523452119252385,11.7669167421738,5.93942343751539,0.495243863141489,0.00078417361374259,0.440357786996864,0.550129939286113,0.435606100611351,0.547128302446222,11.7669167421738,5.96948085753758,0.492689462470456,0.00065448540306162,0.442546954312193,0.54283197062872,0.441008242352438,0.539108120588732,12.0805875117979,5.91122997183098,0.510683568488863,0.0130460513448894,0.286813716015317,0.734553420962408,0.284269892259294,0.719277193654549,11.7669167421739,5.96948085753758,0.492689462470462,0.0358942117427497,0.121352413644268,0.864026511296655,0.00119984888664015,0.704441758812139,11.6285460818104,5.92812578845451,0.490209201842749,0.00690345695207025,0.327358594760451,0.653059808925047,0.307440496557957,0.639575593553956
3,12.1095624944632,6.09083612051329,0.49702261140333,0.000425748237796433,0.456580622946792,0.537464599859868,0.458463283112723,0.536383824293024,12.1095624944632,6.04801904021191,0.500558418772172,0.000356131167956761,0.463570400511894,0.537546437032451,0.463841345862025,0.536788500087604,11.7009204425838,6.06266355728149,0.481864389469966,0.000702683747763442,0.429908351462743,0.533820427477189,0.427635917766277,0.529288484416161,11.7009204425838,6.03503056769237,0.484225997663502,0.000646461566548062,0.434391805043866,0.534060190283139,0.43361049663005,0.528213808223349,10.4836075848175,6.17424632213951,0.411057093449289,0.0132444214046914,0.185491650022636,0.636622536875941,0.246446110201364,0.700695987963182,11.7009204425834,6.03503056769215,0.484225997663506,0.035603415316537,0.114396198593706,0.854055796733306,-0.0601852765703626,0.687738753511361,12.157633915456,5.99357036554148,0.50701177488805,0.00563460686999038,0.359886298672151,0.654137251103949,0.364805695149727,0.645575603537674
4,12.8127225287706,5.96978952294607,0.534073300226312,0.00030311035939971,0.499949573046094,0.56819702740653,0.49880060124495,0.56571206031168,12.8127225287706,6.04714604362696,0.528035822983893,0.000322965830196587,0.492812172785721,0.563259473182065,0.492090465589857,0.559418569285834,12.4998225290673,6.03647023787598,0.517075524565353,0.000582193956502119,0.4697832809804,0.564367768150306,0.466392735289517,0.55856116005308,12.4998225290673,6.15375294358464,0.507692774895434,0.000579025506722112,0.46052939517532,0.554856154615548,0.456117222207267,0.548332548908473,14.0331734049675,5.89499046667581,0.579924633113343,0.0126764898008467,0.359248392391935,0.80060087383475,0.3210909585435,0.753249212126356,12.4998225290673,6.15375294358473,0.507692774895429,0.0240958339875596,0.20344525091765,0.811940298873207,0.137870024884047,0.698111068686322,12.8127225287707,6.17641131846888,0.517947001146722,0.00464038749816306,0.384431037258716,0.651462965034727,0.386187236602883,0.653509862165156
5,11.5694677844625,5.72103558600765,0.505505724844937,0.00049071432718041,0.462087662252321,0.548923787437552,0.459921347076306,0.548310159264855,11.5694677844625,5.73525381386585,0.504276780858654,0.000404880010731294,0.464838385236807,0.543715176480502,0.465062936136935,0.545640187272778,11.9218827987915,5.84635291926745,0.509611609345794,0.000814852929039657,0.453662176710612,0.565561041980975,0.451539140096396,0.563141771367611,11.9218827987915,5.80024931292454,0.513478750729501,0.000587778431674484,0.465960231990796,0.560997269468206,0.46216248761145,0.555795550861856,11.5068572980958,5.88294980765104,0.488744002358959,0.0163355468823644,0.238235246217999,0.739252758499919,0.275703063054659,0.763949990960265,11.9218827987917,5.80024931292458,0.513478750729505,0.0225736006066004,0.218998286028845,0.807959215430164,0.153487904957133,0.709076984959271,11.5694677844624,5.79802311872251,0.49885135368896,0.00557155151249077,0.352551414213974,0.645151293163946,0.349913716363838,0.642441924564346
6,11.9265247094836,6.07313399080976,0.490787623490974,0.000417857876073285,0.450722141879952,0.530853105101996,0.452704025149515,0.529521333746895,11.9265247094836,6.1255486008568,0.486392830261278,0.000367230402928474,0.448832847355398,0.523952813167159,0.444102253057571,0.519026875243191,11.5006123125915,6.05598063230014,0.473421025968353,0.00076232756870327,0.419304876919012,0.527537175017694,0.418045874086893,0.522792967003483,11.5006123125915,6.07318472382505,0.47192509765973,0.000730644969494235,0.418945425003049,0.524904770316411,0.419594762470663,0.522285722832705,10.3884470174353,6.15894166314306,0.407135479171594,0.0183305171083716,0.141770608618765,0.672500349724424,0.232126254107407,0.758113563804673,11.5006123125916,6.07318472382519,0.471925097659723,0.0354665448480818,0.102806852799908,0.841043342519539,-0.0645834725762351,0.6753369025797,11.9265247094837,6.0467422644331,0.493000483231726,0.0061805620420165,0.338912043884024,0.647088922579429,0.33465417489162,0.627391313165746
7,12.5254159089434,6.11947706035606,0.511435220607193,0.000367836242157367,0.473844268133603,0.549026173080784,0.471149880520927,0.547256172189721,12.5254159089434,6.25845176785608,0.500339804015015,0.000332379233778731,0.464606513311746,0.536073094718285,0.459623493993367,0.533569619536031,12.0202698149223,6.1015364213918,0.492396051391692,0.000636708128066068,0.442939222290155,0.541852880493229,0.43890839632144,0.537110259895592,12.0202698149223,6.15945278938698,0.487577826103331,0.000662547014824846,0.437127448382732,0.53802820382393,0.431839898196039,0.533224164372824,12.5870404857421,6.04873004795733,0.519447795944646,0.011085353724404,0.313085263328693,0.725810328560599,0.29644792163895,0.709161227476903,12.0202698149222,6.15945278938694,0.487577826103331,0.026205521222427,0.170290684340423,0.804864967866239,0.053607667219114,0.678536407350083,12.5254159089436,6.14320202141301,0.509541075037154,0.00458653600458683,0.376802095399593,0.642280054674714,0.382470298451623,0.6514370995603
8,11.7077660415965,5.81224573804479,0.50355638151681,0.000417797773338305,0.463493781425747,0.543618981607873,0.459293919211114,0.541249620734892,11.7077660415965,5.88627001992423,0.497233716576595,0.000381808779533014,0.458935458033235,0.535531975119955,0.459086181264433,0.534063933429481,11.549958651251,5.79802947660856,0.498004308787673,0.000697171955712878,0.446252441332802,0.549756176242545,0.44429538670134,0.544547111277968,11.549958651251,5.93507231283575,0.486139085684701,0.000645416814395567,0.43634517808365,0.535932993285752,0.431163397822955,0.530213038325795,11.6014606192928,5.79351739141275,0.500621725011216,0.0147511699769716,0.262571111520022,0.738672338502411,0.266259655476901,0.73003799979305,11.5499586512508,5.9350723128356,0.486139085684706,0.0337660352906718,0.125978564288142,0.84629960708127,0.0432121143680797,0.695446897495883,11.7493700721561,5.90510017841002,0.497411338467918,0.00639969570339682,0.340615066145617,0.654207610790219,0.324230660476641,0.641023466071673
9,12.592709990377,5.71944792588218,0.54581278134311,0.000293341210302016,0.512243456156323,0.579382106529897,0.51124003117097,0.576244526244272,12.592709990377,5.76317858313834,0.542340085053783,0.000299430891570078,0.508424104851884,0.576256065255682,0.510582127711133,0.577923042130802,12.6897677275043,5.70470164130041,0.550448695058789,0.00051248567743954,0.506077927897834,0.594819462219745,0.501680307677893,0.592344715577969,12.6897677275043,5.74331899146725,0.547405506956683,0.000458353601494665,0.505443486086593,0.589367527826774,0.503715112415652,0.588055155536633,13.8325816582994,5.6068581381317,0.594662928682757,0.0161578406055672,0.345520478525529,0.843805378839985,0.322080646982324,0.810182625469785,12.6897677275043,5.74331899146722,0.547405506956685,0.013227211263068,0.321986663937292,0.772824349976079,0.267236892804969,0.730276793761124,12.546776534859,5.75863343146809,0.54102685933166,0.00472556858556348,0.406291027875062,0.675762690788257,0.408419629050434,0.682516656833451
10,12.1168586357965,6.03414787422783,0.502003938842589,0.000393728609132325,0.463112451022723,0.540895426662454,0.459078348728064,0.537719703912399,12.1168586357965,6.02547529330171,0.502719683837789,0.000348708713754971,0.466119145661949,0.539320222013628,0.467010803609559,0.539990319239043,11.6941705573252,5.95582425064021,0.490701437827969,0.000642649752478505,0.441014384291646,0.540388491364292,0.436704955359856,0.537181266535983,11.6941705573252,5.93418081011601,0.492552226681963,0.000589127037063555,0.444979225666856,0.54012522769707,0.443610179800396,0.536957445145339,11.5898817464148,5.96521829519959,0.48530809669004,0.0126403445114187,0.264946694727114,0.705669498652965,0.271700475926307,0.708126500144287,11.6941705573253,5.93418081011598,0.49255222668197,0.0949450601821662,-0.111385637005851,1.09649009036979,0.00609723173393706,0.687423547474959,12.1168586357963,5.87858912562982,0.51484214660531,0.00577336997837522,0.365916063903433,0.663768229307187,0.355322816834654,0.654031570251726
