"r","gs_nonparam_delta","gs_nonparam_delta.s","gs_nonparam_R.s","gs_nonparam_var_R.s","gs_nonparam_normci_lb_R.s","gs_nonparam_normci_ub_R.s","gs_nonparam_quantci_lb_R.s","gs_nonparam_quantci_ub_R.s","gs_param_delta","gs_param_delta.s","gs_param_R.s","gs_param_var_R.s","gs_param_normci_lb_R.s","gs_param_normci_ub_R.s","gs_param_quantci_lb_R.s","gs_param_quantci_ub_R.s","cc_nonparam_delta","cc_nonparam_delta.s","cc_nonparam_R.s","cc_nonparam_var_R.s","cc_nonparam_normci_lb_R.s","cc_nonparam_normci_ub_R.s","cc_nonparam_quantci_lb_R.s","cc_nonparam_quantci_ub_R.s","cc_param_delta","cc_param_delta.s","cc_param_R.s","cc_param_var_R.s","cc_param_normci_lb_R.s","cc_param_normci_ub_R.s","cc_param_quantci_lb_R.s","cc_param_quantci_ub_R.s","ipw_nonparam_delta","ipw_nonparam_delta.s","ipw_nonparam_R.s","ipw_nonparam_var_R.s","ipw_nonparam_normci_lb_R.s","ipw_nonparam_normci_ub_R.s","ipw_nonparam_quantci_lb_R.s","ipw_nonparam_quantci_ub_R.s","ipw_param_delta","ipw_param_delta.s","ipw_param_R.s","ipw_param_var_R.s","ipw_param_normci_lb_R.s","ipw_param_normci_ub_R.s","ipw_param_quantci_lb_R.s","ipw_param_quantci_ub_R.s"
1,12.4949040073064,5.95863112217305,0.523115094066451,0.000350835774248482,0.486403097248613,0.559827090884289,0.485356998234817,0.557177759485163,12.4949040073064,5.98197234437935,0.521247034720605,0.00033261971800159,0.485500819414997,0.556993250026213,0.484282137679228,0.554565085190365,12.9899024501628,5.85161070125404,0.549526201316414,0.000503059981144821,0.505565363931693,0.593487038701136,0.503880507999935,0.589637718912581,12.9899024501628,5.9469137169885,0.542189501437405,0.000498467636767196,0.498429779392985,0.585949223481824,0.494974811741142,0.579422465865182,6.34591528574569,2.17218459562289,0.657703499367208,0.00271469569154033,0.55558212565621,0.759824873078206,0.39448482348592,0.588964040961406,13.4701791127705,5.96979694377323,0.556813840870644,0.000538972223045541,0.511310921271438,0.602316760469849,0.481966017205404,0.572018788552012
2,11.8347911876316,6.17595499752439,0.47815260112246,0.000420244860561511,0.437972846813442,0.518332355431479,0.438436382950414,0.51724116007173,11.8347911876316,6.09144958263818,0.485293024096254,0.000415382504179558,0.445346391847011,0.525239656345496,0.442908318868138,0.521649107041776,12.9778483964781,6.16286399372201,0.525124365345919,0.000488401274907715,0.481808752252192,0.568439978439646,0.479346311555849,0.566722404494819,12.9778483964781,6.03950346222069,0.534629834028601,0.000440721629207929,0.49348282671622,0.575776841340983,0.490871848977854,0.569546696694759,7.51507464334059,2.1482741880794,0.714138010594071,0.00263140968887057,0.613595365608148,0.814680655579993,0.378802174738971,0.589774454152217,13.6702531749301,6.08403865889258,0.554943234698087,0.000494606838136741,0.511353308919462,0.598533160476713,0.462779206900871,0.549605810749505
3,11.526831235332,5.92035865660326,0.486384546131275,0.000434444703558486,0.445531605316809,0.527237486945741,0.440698811935744,0.527872787071195,11.526831235332,5.97649699315708,0.481514314633329,0.000405311350053264,0.442054916736698,0.52097371252996,0.43951257607681,0.519901212299022,11.9984972958955,5.91818993236097,0.506755738955287,0.000573939935012592,0.459799933623631,0.553711544286943,0.459202498566998,0.548686367820723,11.9984972958955,5.96615727460344,0.50275795981182,0.000512956121674077,0.458366831902933,0.547149087720707,0.457540850304811,0.542010472756842,7.40440010903401,2.16490737086373,0.707618802470931,0.00191050944669699,0.621948427834006,0.793289177107856,0.44515396460995,0.608868612356924,12.6047228879179,5.99080181019405,0.524717690070247,0.0007078472890774,0.472571106809982,0.576864273330512,0.42180555344782,0.525646835483339
4,11.6414726491792,6.30873492480713,0.458081025062415,0.000517059820025982,0.413512684229355,0.502649365895475,0.407223034997425,0.5018162476809,11.6414726491792,6.2891996569966,0.459759100371204,0.000504445583675017,0.41573776288305,0.503780437859358,0.413395791131758,0.498602556223797,12.3159487277423,6.02691752072032,0.51064123000574,0.000657863157765989,0.460369497323508,0.560912962687972,0.455364333487563,0.553383985497123,12.3159487277423,6.12113397327327,0.502991275086659,0.000547874580398861,0.457114102243726,0.548868447929591,0.456680789798885,0.54727856318157,6.82407866920645,2.19447333269225,0.678422034816981,0.00319118637658789,0.567700485043236,0.789143584590727,0.351255078941616,0.573068017218086,13.0157160014343,6.13772765549264,0.528437186642958,0.000693892064272494,0.4768071977401,0.580067175545816,0.419570578260314,0.524271059933093
5,12.4503388708397,6.04413262049999,0.514540713855096,0.000410124093432132,0.474847733149071,0.554233694561121,0.472234417680603,0.551401962911443,12.4503388708397,6.26645273283599,0.496684162748949,0.000366045058956381,0.459184846775363,0.534183478722535,0.459904321526608,0.531809166488409,13.3854869609678,5.78256343086307,0.567997529882544,0.00051594160156536,0.523477407953539,0.61251765181155,0.520904967629928,0.610922179041651,13.3854869609678,6.13957420637818,0.541326047809747,0.000468341404564147,0.498909301826897,0.583742793792597,0.494779675720793,0.579455410938034,7.23738478449838,2.18276788279894,0.698403781504865,0.00172173079288372,0.617076043223624,0.779731519786107,0.463388718865531,0.627038930097479,13.9376010008507,6.16643251945633,0.557568585936709,0.000480743166892833,0.514593907928194,0.600543263945224,0.477520166174221,0.566292534013924
6,12.506260688612,5.87186119302695,0.530486262902405,0.000363598996312592,0.493112449821125,0.567860075983685,0.487686720673356,0.565307126319359,12.506260688612,5.86137780660816,0.531324513973594,0.000286298440593642,0.498160616594297,0.564488411352891,0.498025884014589,0.562909142728078,13.9046536219579,5.91195535415691,0.574821817580492,0.000416487791538275,0.534822073831645,0.614821561329339,0.533419410359152,0.612078041493742,13.9046536219579,5.92144721911522,0.574139178140749,0.000392022240789864,0.535332057141913,0.612946299139586,0.533412159492295,0.610254059336186,7.34895086418764,2.11907937046499,0.711648722433085,0.00283005349225206,0.607380158158729,0.81591728670744,0.37767574083024,0.580203828435538,14.6258665408909,5.96205858682802,0.592362027223527,0.000474107395464206,0.549684972845146,0.635039081601908,0.510714231300261,0.59565354892992
7,12.3673181389268,5.84047649465005,0.527749150701731,0.00036366533272016,0.490371928464414,0.565126372939048,0.488530843479849,0.560963756545813,12.3673181389268,6.01425924885416,0.513697377127869,0.000376269972195894,0.475677925196157,0.551716829059581,0.473818296642864,0.55108702931674,12.4004630881891,5.95134243650217,0.520070952658971,0.000587016768938915,0.472583231935022,0.56755867338292,0.473902911376082,0.569956878710894,12.4004630881891,6.06311157470721,0.511057649090373,0.00057221785272705,0.464172341124697,0.557942957056048,0.462974497604268,0.556220813736764,6.53718938011818,2.18076269625383,0.666406681916502,0.00230545232626657,0.572297034926485,0.760516328906519,0.429422809608106,0.611578709636542,12.8226061333651,6.06784189715419,0.52678559771361,0.000577944682409712,0.479666256759547,0.573904938667672,0.443811876373342,0.535015908356242
8,11.450499578428,5.87853762549837,0.486613000137288,0.000464215261023025,0.444383515807663,0.528842484466914,0.445882137159658,0.528763232329985,11.450499578428,5.86655637946542,0.487659351517059,0.000406420211210541,0.44814601347297,0.527172689561147,0.444481903464211,0.521046333524225,11.9360908371716,5.75600086920818,0.517764991258049,0.000751801509487145,0.464023753099203,0.571506229416895,0.461165200921418,0.564613599158909,11.9360908371716,5.75157975569768,0.518135390040264,0.000605097791070787,0.469921868345852,0.566348911734676,0.47300015491656,0.566207280503927,6.15944184329032,1.92337962788511,0.687734753112361,0.00220744340914977,0.595647215407252,0.779822290817469,0.461921451494358,0.63760245416458,12.4237171001662,5.77162449038225,0.535434971365774,0.000642568252598979,0.485751068548219,0.585118874183329,0.453623389162721,0.550521645712529
9,11.8407537083192,6.11144218237658,0.483863752855298,0.0004497269318888,0.442298491139004,0.525429014571592,0.439267046346811,0.52594539268575,11.8407537083192,6.11394984691371,0.483651970345594,0.000408804197422964,0.444022912763814,0.523281027927375,0.445819081305051,0.520487198542308,13.2998960019346,6.35093976488951,0.5224819980573,0.000440505315388407,0.481345089816693,0.563618906297906,0.480117892414777,0.560008880334399,13.2998960019346,6.26554025776804,0.528903063839246,0.000473340498748247,0.486260539758333,0.571545587920159,0.482706263606966,0.568255611615179,7.20850180550018,2.34662175364645,0.674464706125765,0.00499131521733866,0.535992194272589,0.812937217978942,0.24116039724661,0.512203001699537,14.0021955969465,6.29857443946255,0.550172371478936,0.000427631275756844,0.509641046445729,0.590703696512143,0.461325406198421,0.54433957012336
10,11.7736138045835,6.0337806456109,0.487516683852672,0.000464637242043111,0.445268010157125,0.529765357548219,0.444191697673087,0.527137361793901,11.7736138045835,5.97954407402067,0.492123304427327,0.000362106862318695,0.454826257328615,0.529420351526038,0.455088760980731,0.52775207254519,12.7258938468867,6.14476326900049,0.51714485890484,0.000666090596107211,0.466559746134327,0.567729971675352,0.46368242882638,0.565922034968001,12.7258938468867,6.00660406960072,0.528001400776244,0.000513522067639878,0.483585791188562,0.572417010363926,0.482262449618335,0.569978384815418,5.92260859600735,2.21496425254193,0.626015426034548,0.00352804134053768,0.50959668349792,0.742434168571175,0.319381841036355,0.544941736430502,13.171762233347,6.02791372171691,0.542360876629246,0.000604782430872604,0.494159920347859,0.590561832910634,0.457206716993519,0.556659767182284
