"r","gs_nonparam_delta","gs_nonparam_delta.s","gs_nonparam_R.s","gs_nonparam_var_R.s","gs_nonparam_normci_lb_R.s","gs_nonparam_normci_ub_R.s","gs_nonparam_quantci_lb_R.s","gs_nonparam_quantci_ub_R.s","gs_param_delta","gs_param_delta.s","gs_param_R.s","gs_param_var_R.s","gs_param_normci_lb_R.s","gs_param_normci_ub_R.s","gs_param_quantci_lb_R.s","gs_param_quantci_ub_R.s","cc_nonparam_delta","cc_nonparam_delta.s","cc_nonparam_R.s","cc_nonparam_var_R.s","cc_nonparam_normci_lb_R.s","cc_nonparam_normci_ub_R.s","cc_nonparam_quantci_lb_R.s","cc_nonparam_quantci_ub_R.s","cc_param_delta","cc_param_delta.s","cc_param_R.s","cc_param_var_R.s","cc_param_normci_lb_R.s","cc_param_normci_ub_R.s","cc_param_quantci_lb_R.s","cc_param_quantci_ub_R.s","ipw_nonparam_delta","ipw_nonparam_delta.s","ipw_nonparam_R.s","ipw_nonparam_var_R.s","ipw_nonparam_normci_lb_R.s","ipw_nonparam_normci_ub_R.s","ipw_nonparam_quantci_lb_R.s","ipw_nonparam_quantci_ub_R.s","ipw_param_delta","ipw_param_delta.s","ipw_param_R.s","ipw_param_var_R.s","ipw_param_normci_lb_R.s","ipw_param_normci_ub_R.s","ipw_param_quantci_lb_R.s","ipw_param_quantci_ub_R.s","smle_param_delta","smle_param_delta.s","smle_param_R.s","smle_param_var_R.s","smle_param_normci_lb_R.s","smle_param_normci_ub_R.s","smle_param_quantci_lb_R.s","smle_param_quantci_ub_R.s"
1,11.491316986148,6.04074247362751,0.474321134739454,0.000441386073146804,0.433143121934065,0.515499147544843,0.429167351521047,0.515687525300976,11.491316986148,6.03348697906189,0.47495252403751,0.000430322356919451,0.434293867316687,0.515611180758334,0.430488896141384,0.513553737277256,11.4411965913611,6.27555089219646,0.45149523110765,0.000752413048902735,0.397732139970098,0.505258322245203,0.395867022742909,0.498350237310012,11.4411965913611,6.2036955677414,0.457775634025411,0.000654885246888772,0.407617811460552,0.50793345659027,0.403931500090768,0.501605995173944,13.3105749987347,6.01660395567128,0.547983167050018,0.0134565341037266,0.320618654839172,0.775347679260865,0.206031562032586,0.661490014083856,11.9811511059742,6.24279049833815,0.478949022250017,0.0443740874603256,0.0660719286887653,0.89182611581127,-0.133464695785956,0.694258821556606,11.4913169861479,6.14983761416947,0.464827432609965,0.00720818340009161,0.298421431066175,0.631233434153756,0.300935534813697,0.608109376694375
2,12.3616953381956,6.14680431247763,0.502753939139316,0.000377032376068428,0.46469598890675,0.540811889371882,0.459310866232068,0.535802368100073,12.3616953381956,6.16165400709767,0.501552672305458,0.000318663812024074,0.466564404267847,0.536540940343068,0.46876273297142,0.534045686117578,13.1595231787852,6.01789852958523,0.542696308382445,0.000524903828239506,0.49779118009441,0.58760143667048,0.495592782539685,0.579025087920978,13.1595231787852,6.01190745999597,0.543151573326917,0.00043680974641429,0.502187585217541,0.584115561436294,0.499257225889532,0.579627342493547,12.0383030062127,6.04380289963905,0.497952253193829,0.0140189492070234,0.265885031739137,0.730019474648521,0.320323371043189,0.778724916834389,13.7009931740168,6.04070231867939,0.55910478591178,0.0197291110649785,0.283802491938008,0.834407079885553,0.323796355298983,0.739901804745966,12.3616953381954,5.96712608969693,0.517289018500593,0.00476388898191834,0.382007992806161,0.652570044195024,0.374952322925391,0.651433901141407
3,12.6050328939435,6.12039328003386,0.514448448367431,0.000417387205613634,0.474405537770356,0.554491358964506,0.472072831620978,0.55283544861535,12.6050328939435,6.00281593932851,0.52377625748103,0.000318571402030575,0.488793062972228,0.558759451989832,0.485515121210851,0.555893019517688,12.9075110999494,6.25871775451163,0.515110410826132,0.000572806017149557,0.468201013095168,0.562019808557095,0.467036324473012,0.562000532595977,12.9075110999494,6.2054167600173,0.519239866464913,0.000501498051189152,0.475347328221514,0.563132404708312,0.471671842463659,0.561914085743033,13.0967455636521,6.14227527090474,0.531007513198421,0.0142846446500857,0.296751476162513,0.76526355023433,0.275588795010607,0.736576838633114,13.568439505949,6.24374537142444,0.539833201254507,0.0173561944380644,0.281617096889833,0.798049305619181,0.206613698627264,0.712630408384818,12.6050328939436,6.14973605102796,0.51212058685045,0.00464419495375469,0.378549859015553,0.645691314685346,0.3889252855319,0.659120225584919
4,12.0137576220379,6.19646588771,0.484219169167916,0.000432195830639315,0.443472101752162,0.52496623658367,0.443702646154455,0.523102752627595,12.0137576220379,6.13415223128106,0.489406027300848,0.00039976031093862,0.450217773824815,0.528594280776881,0.447479468093894,0.524891187719007,12.6382839220109,6.22939523045119,0.507101180121294,0.000504986028421059,0.46305626751175,0.551146092730838,0.46145221758598,0.547573506408732,12.6382839220109,6.19632383452244,0.509717943293638,0.000525744090400721,0.464776887479568,0.554658999107709,0.458613380961131,0.548336076936984,13.0251197049097,6.1079577017089,0.531063219372445,0.0149613269139154,0.291322873430221,0.77080356531467,0.269297201365751,0.764720322921514,13.2599454001651,6.22045709066039,0.530883657289952,0.0179016450178663,0.268641480093691,0.793125834486213,0.196323944727554,0.719527253118992,12.0137576220378,6.18951068011451,0.484798106067946,0.00558284691390292,0.338349942185809,0.631246269950084,0.358188677932632,0.641617556215798
5,12.1850962019343,5.77832571567789,0.525787435739684,0.000410093758985956,0.486095922987958,0.56547894849141,0.487122918158899,0.563775260572973,12.1850962019343,5.75734122687985,0.527509579615307,0.000357832142458001,0.490433334410774,0.56458582481984,0.489615775596873,0.562769486450476,12.926141294205,5.58710256031659,0.567767175590029,0.000544187452217025,0.522044637204273,0.613489713975785,0.514132526473497,0.609731705326378,12.926141294205,5.63049957569997,0.564409869306921,0.000519306374629029,0.51974481172524,0.609074926888602,0.51733813425655,0.603116289978483,13.0349910115156,5.48983625846,0.578838508318871,0.017598465784533,0.318826458294527,0.838850558343215,0.346693416527852,0.862088950680287,13.6147779369854,5.66140606671502,0.584171986284444,0.0147616682618171,0.346036678539883,0.822307294029005,0.240673328110599,0.745056661720672,12.185096201934,5.61790683848272,0.538952606907524,0.00517052848040882,0.398016088537236,0.679889125277812,0.396978411804354,0.672533491758585
6,12.5130077861103,5.87706958394094,0.530323189723849,0.000332614883129835,0.494577234217924,0.566069145229774,0.494262262363842,0.56649239690563,12.5130077861103,5.81812942335024,0.535033500913468,0.000312532531662309,0.500383465218914,0.569683536608023,0.501890291430509,0.569134671044729,13.153882944349,5.84756328802329,0.555449648384211,0.000475658212701428,0.512702852130997,0.598196444637425,0.510313560635871,0.595279521385389,13.153882944349,5.75039907215056,0.562836380977455,0.000416233996210338,0.522848826415546,0.602823935539364,0.523351294371355,0.600994325947612,13.8170144017006,5.7129872789749,0.586525199085575,0.0114691120024923,0.376621076522976,0.796429321648174,0.39505538540299,0.795237853013899,13.6956903133714,5.77980705484303,0.577983517252863,0.0135953703577232,0.34944911116435,0.806517923341376,0.28635933939273,0.746958889236734,12.5130077861104,5.71586406367844,0.543206224963505,0.00511308294049816,0.403054808901384,0.683357641025626,0.407950236622678,0.67674051077334
7,11.5410656345395,6.1773492060782,0.46475053502937,0.000548310307027767,0.41885512267173,0.510645947387011,0.416904694307484,0.507479034519861,11.5410656345395,6.15067082294,0.467062139865786,0.000466475655238708,0.424729966791811,0.509394312939762,0.421627136360173,0.505377310202152,12.2380141287145,6.06790557494307,0.504175635758933,0.000584004988014911,0.456809893265459,0.551541378252407,0.454475261041974,0.546228781998497,12.2380141287145,5.98243665362012,0.511159523865616,0.000600618394729259,0.463124790336721,0.559194257394511,0.460075258672254,0.556256492152712,11.3423707657345,6.0652985161257,0.465253019725903,0.0154492658289844,0.221634671466528,0.708871367985279,0.277973867553305,0.771970959962506,12.9063350869537,6.0057741028328,0.534664638538349,0.0236500365171213,0.233244698447828,0.83608457862887,0.155645683011725,0.726923785374642,11.5410656345395,5.97194981562078,0.482547798900977,0.00612064550806672,0.329208072203069,0.635887525598885,0.311411400997756,0.625786924859838
8,12.0110464642856,6.33692462001164,0.472408616613526,0.000396171834993289,0.433396647664109,0.511420585562942,0.436376280888433,0.51181274357587,12.0110464642856,6.35171183207736,0.471177482248199,0.00043017217160631,0.430525921214915,0.511829043281482,0.429409065412993,0.50973545267146,12.6839200537177,6.24230507895882,0.507856794072967,0.000538889473069202,0.462357367705785,0.553356220440149,0.463816601365495,0.551241145607843,12.6839200537177,6.22294435108504,0.509383193466198,0.000548822821653592,0.463466336521668,0.555300050410728,0.464534403459967,0.556359119467044,12.0419168319608,6.21352931330336,0.484008285390923,0.0154782423942567,0.240161579483756,0.72785499129809,0.290086313730658,0.769372836873437,13.3303108276915,6.2448484895901,0.531530166827207,0.0226867417092256,0.236312642025306,0.826747691629108,0.224015763627143,0.718740667086218,12.0110464642855,6.17628362424658,0.485783054573005,0.00677889229666857,0.324408358146081,0.647157750999929,0.314062557252765,0.631822035666464
9,11.6207407359041,5.91522159391427,0.490977233866145,0.000494249741900411,0.447403046455654,0.534551421276636,0.439566002074107,0.528556298177045,11.6207407359041,5.91391078332767,0.491090033094387,0.000406234020317658,0.451585747093342,0.530594319095431,0.449421873602945,0.526847484388455,12.0047502758102,5.99088537824608,0.500957101097067,0.000754090783648993,0.447134102718438,0.554780099475697,0.439484614867396,0.54996406668902,12.0047502758102,6.00150820608687,0.50007221573113,0.00064046475711052,0.450469701571909,0.549674729890352,0.447527998003123,0.545811989459499,12.8688637332797,5.83089792007805,0.546898775142132,0.0171113500682128,0.290510471153736,0.803287079130528,0.256622616539868,0.765209779597188,12.56294123789,6.02783258040959,0.520189383499656,0.0236961908083882,0.218475468325854,0.821903298673457,0.183500542855114,0.70598942049324,11.6207407359038,6.00430819038769,0.483311061932862,0.00623877520664409,0.328498663095288,0.638123460770435,0.322716164487316,0.638293554612883
10,11.5889688594296,6.17531509288113,0.467138520451157,0.000473331330897336,0.424496409331101,0.509780631571213,0.420875204737618,0.506661693964295,11.5889688594296,6.07607734618414,0.475701641803946,0.00042116848130725,0.435477757881704,0.515925525726187,0.435934740944241,0.514574416373627,11.8992397994137,6.00577459366701,0.495280816681843,0.000645123406456967,0.445498228578721,0.545063404784965,0.439755137189592,0.536832418938087,11.8992397994137,5.94765210561445,0.500165371412425,0.00062643507334444,0.451109148792252,0.549221594032599,0.451577891959358,0.544755569559965,12.295426409978,5.90089754340842,0.520073778114788,0.0128302253438849,0.298063432227331,0.742084124002245,0.286460789404246,0.727042942316856,12.4279029075009,5.97157901986841,0.519502279321459,0.0345619833531687,0.155121550893716,0.883883007749203,0.0871408250188028,0.696827171288155,11.6323513301485,5.91362647401314,0.491622432458147,0.00591771494976996,0.340846128779365,0.642398736136929,0.337309661572185,0.638809055959156
