"r","smle_param_delta","smle_param_delta.s","smle_param_R.s","smle_param_var_R.s","smle_param_normci_lb_R.s","smle_param_normci_ub_R.s","smle_param_quantci_lb_R.s","smle_param_quantci_ub_R.s"
1,12.1546917823194,5.9153714429036,0.513326084376051,0.000488789875213738,0.469993242505005,0.556658926247097,0.466900230587872,0.555258682085183
2,12.2429243688886,6.31178213047037,0.484454698870009,0.00048055697385786,0.441488343767762,0.527421053972255,0.43559559256739,0.521521019121423
3,12.0317534317414,5.89429279003959,0.510105254111207,0.000524625399418482,0.465212037091194,0.554998471131221,0.466286703146504,0.552174685854104
4,12.4233866268881,6.18448590238471,0.502190015643596,0.000501152390959502,0.45831260659167,0.546067424695522,0.452879680389319,0.544856204259283
5,11.9313012366901,6.09885132937638,0.488836028159132,0.000497803004849186,0.445105489362673,0.532566566955591,0.446085357909827,0.532040057856291
6,12.4865698020544,5.98951533641084,0.520323400953128,0.000421061949267628,0.480104604547634,0.560542197358621,0.477913926744116,0.556064614166847
7,12.1281234490835,5.78429646249379,0.52306748139747,0.000441522028787648,0.481883127259149,0.564251835535791,0.480883894886074,0.563190407166481
8,12.9476253837645,5.90187595319477,0.544173099061443,0.000403967915113658,0.504779151014813,0.583567047108074,0.505533397277722,0.581959245341612
9,11.6200603975856,6.00181168620615,0.483495654854494,0.000536666563073344,0.438090167645319,0.528901142063669,0.437748502157385,0.523559800483594
10,12.5470737899934,5.9297760830692,0.527397687913627,0.000393217435248367,0.488531454506592,0.566263921320662,0.486799762319184,0.566022886216516
11,11.2519509999742,6.18552631104039,0.450270774281318,0.000677791348670369,0.399243298887643,0.501298249674993,0.389662377222674,0.494309306328835
12,12.8046277971553,6.10394079788053,0.523301973741354,0.000475646272017355,0.480555714038523,0.566048233444185,0.485408926551886,0.568449183951021
13,12.585943361819,6.25800490115241,0.502778240673096,0.000421221729798342,0.462551814070758,0.543004667275434,0.461182583917556,0.538694212377567
14,11.9289831549273,5.8972228656107,0.505639098570206,0.00048484649580886,0.462481407502456,0.548796789637955,0.46178537812985,0.549344801309288
15,12.55045812041,6.27871683885021,0.499722099495353,0.000439265277709015,0.45864313296932,0.540801066021386,0.46022076903078,0.536938864103784
16,11.843639710359,6.24389814142051,0.47280580175372,0.000547337746128449,0.426951110766569,0.51866049274087,0.427486328133574,0.518935470469599
17,11.6752506565633,6.06852868696355,0.48022283499737,0.000517334222385684,0.435642669579139,0.524803000415601,0.433985732570051,0.522920613391563
18,11.3217081605498,6.0535739053512,0.465312670181278,0.000616742685112333,0.416637433159487,0.513987907203069,0.41300532415201,0.50765948464949
19,12.8042248907847,5.88798811892919,0.540152709816364,0.000398682360702061,0.501017327400026,0.579288092232702,0.499323002174404,0.574489576515636
20,11.9484113343159,6.10800691941597,0.488801753763388,0.000490900505223649,0.445375455499926,0.53222805202685,0.440927401518858,0.528665602549989
21,12.9592610285224,6.08975286731501,0.530084867191742,0.000434685050441576,0.489220627448706,0.570949106934778,0.488175834223248,0.569347133636406
22,11.3448209063771,5.88319716391805,0.481420005439574,0.000596622407255005,0.433545329046821,0.529294681832327,0.431009346126119,0.526212097814603
23,11.9562373256332,5.84317191255432,0.51128672395729,0.000529717705665653,0.466176153820291,0.55639729409429,0.468322668398989,0.552624133129819
24,10.9610350672024,5.95922560916742,0.456326380434764,0.000574267222480274,0.409357188810038,0.503295572059489,0.40576272877728,0.501053864172499
25,11.6626232258328,6.0343007399643,0.482594899696469,0.000591953020319887,0.434907933732373,0.530281865660566,0.436037912177826,0.532619085293433
26,11.8217756512045,5.62137873307706,0.52448947612161,0.000471801383234159,0.481916336774924,0.567062615468296,0.479654241986083,0.56610358026431
27,11.2903054681478,6.11374441948131,0.458496102100213,0.000545377194319751,0.412723610036761,0.504268594163664,0.405691578996766,0.502880101531883
28,12.2308541580508,6.15126908593022,0.497069541796374,0.000406549877062906,0.457549901012014,0.536589182580735,0.456166033848609,0.534186159946376
29,11.3720743692388,5.91838201527729,0.479568825957878,0.000453286129382942,0.437839411935662,0.521298239980094,0.436938175052956,0.522256517501579
30,11.9940590108728,5.98437342085033,0.501055196124565,0.000534985434217474,0.455720881923401,0.546389510325729,0.456175596041392,0.542851638921837
31,12.1587914059649,5.94398363257816,0.511136967966886,0.000445514612467087,0.469766822508433,0.552507113425339,0.470260199769184,0.55115391852098
32,12.0388283861775,6.34032805969618,0.473343430414217,0.00052103451435391,0.428604116714274,0.518082744114161,0.426735472138514,0.519063123564402
33,12.2808504373426,5.9930416120257,0.512001091243443,0.000408312365372567,0.472395879682144,0.551606302804742,0.475366606163002,0.551983219148627
34,12.1831315514156,6.00432192758431,0.507161036368629,0.000431224562652517,0.466459779878369,0.547862292858889,0.464014379535814,0.544203239727775
35,12.6298882730321,6.02740904160917,0.522766242162317,0.000436865837166492,0.481799624043918,0.563732860280717,0.476049842054289,0.560453567094764
36,12.6685813621437,6.25093031653144,0.506580086764056,0.000514848725213258,0.462107141473922,0.55105303205419,0.459920450070531,0.549340959397496
37,11.8728850830044,6.3839545468577,0.462308065627951,0.000595022066869632,0.414497640278595,0.510118490977308,0.412102271174612,0.506720833421939
38,12.069274838221,5.90317019889517,0.510892719071986,0.000457037033348219,0.468991007086549,0.552794431057423,0.465878562125035,0.54883850718169
39,12.0383794857402,5.90180059288813,0.509751241861166,0.000467662737557658,0.467365239777914,0.552137243944419,0.468730403451513,0.552374044448052
40,12.1767047184434,5.66743001360656,0.534567837140502,0.000444112307950269,0.49326285145812,0.575872822822883,0.48714292088143,0.567659439061649
41,11.7681475118958,6.03246651735617,0.487390304101961,0.000581617092166076,0.440121495980059,0.534659112223863,0.441392026154526,0.534528269485697
42,11.6891203629196,6.19905939303348,0.469672721251272,0.000525523721960264,0.424741085066035,0.51460435743651,0.42546611427569,0.511962925127166
43,11.4663431366611,5.84504409902743,0.490243399367739,0.000658743770785182,0.439938031166638,0.54054876756884,0.438963002267914,0.541548744007169
44,12.5083408528099,6.18052943787248,0.505887350640586,0.000424818829547009,0.465489528724203,0.546285172556969,0.46207297183988,0.544475001710446
45,12.0572904274113,6.09693884972704,0.494335905199222,0.00046090362330708,0.452257319680024,0.53641449071842,0.450482952976507,0.533251264573637
46,13.0137240258177,5.70252201659627,0.561807058050167,0.000356687145004799,0.524790178977905,0.598823937122428,0.524069361211954,0.596191622196057
47,11.6016366378117,5.64907328537083,0.513079623011157,0.000497334149090627,0.469369682869965,0.556789563152348,0.465488825591805,0.557658403144897
48,11.8427016025704,5.91694347334201,0.5003721556188,0.000470980273079689,0.457836078965412,0.542908232272188,0.458887559203773,0.542047982118882
49,12.0758014451749,5.80716172973981,0.519107551071886,0.000473973452642563,0.476436525590048,0.561778576553724,0.476851425950113,0.557704835054487
50,11.507336660961,6.13643273188317,0.466737359592408,0.000566300066251718,0.420095121926184,0.513379597258633,0.420464421848008,0.512678599286246
