"r","smle_param_delta","smle_param_delta.s","smle_param_R.s","smle_param_var_R.s","smle_param_normci_lb_R.s","smle_param_normci_ub_R.s","smle_param_quantci_lb_R.s","smle_param_quantci_ub_R.s"
1,12.1312919305434,5.91643991473706,0.512299271288573,0.000507763633441039,0.46813339334839,0.556465149228755,0.463332647440099,0.55138330275209
2,12.483096343815,6.16247431969927,0.506334474238629,0.000490848596133408,0.462910472040466,0.549758476436792,0.458585377534953,0.54357583303489
3,11.9053191006584,6.13651571966746,0.484556804585935,0.000513170305570734,0.440156409926873,0.528957199244998,0.439791265744919,0.52998638372226
4,12.0543815651694,5.67294277348469,0.529387489286351,0.00046736265309921,0.487015088266986,0.571759890305717,0.490269898119124,0.575091478537588
5,12.2958412143559,6.45681619831876,0.474878043254154,0.000527192949869908,0.429875105169844,0.519880981338464,0.425119975708422,0.513136317026073
6,11.6139711513407,5.79026453190975,0.501439735258744,0.000585357963185884,0.454019157959697,0.548860312557791,0.449913092819185,0.546158861909564
7,12.7851186048802,5.77722202083282,0.548129180543729,0.00041566222460271,0.508169100438282,0.588089260649176,0.508329705582535,0.585747686449966
8,12.6404544252832,6.24244361339657,0.506153544534716,0.000457152044972058,0.464246560678028,0.548060528391403,0.465683099195056,0.548461114079718
9,12.0301186809133,5.95919560273347,0.504643656409793,0.00049134162557676,0.461197851217397,0.54808946160219,0.459555300100389,0.542994632702179
10,12.5893403808852,5.9194521561599,0.529804423657683,0.000458092661396222,0.487854348949528,0.571754498365837,0.489963257246754,0.57366719500791
11,12.1841538366137,5.86414867806839,0.518706940448627,0.000456811783691825,0.476815555317188,0.560598325580066,0.47606747256378,0.55623717867182
12,11.6690589023358,6.28872256027628,0.461077143160406,0.0005956645607134,0.413240912367872,0.50891337395294,0.411845531740889,0.504325766542757
13,11.8645370270808,5.77483291723296,0.513269426017055,0.000495246869382173,0.46965130623389,0.55688754580022,0.470674392887097,0.557293912032297
14,12.3382331651931,5.86989987471281,0.524251179555258,0.000473071875941392,0.481620757101141,0.566881602009375,0.4802743038291,0.566972522052799
15,11.7189217410808,5.9877336179464,0.489054219301052,0.000472414498594101,0.446453426611254,0.531655011990849,0.443873419752085,0.527904050708593
16,12.1301965888976,5.93013756013719,0.511126013772533,0.0003954261178483,0.472150778374577,0.550101249170488,0.472529457646128,0.550948670270081
17,11.7860158689146,5.88530306255455,0.500653729978684,0.00052994909306629,0.455533308483274,0.545774151474094,0.450875627131706,0.541462338687626
18,12.0587905164003,6.04071573569241,0.499061226125718,0.00052035529551314,0.454351082944967,0.54377136930647,0.451700660906513,0.540366890704198
19,11.817999552473,5.57730625630766,0.528066807623073,0.000410160253647101,0.488372077111194,0.567761538134952,0.483436438380223,0.564665048356597
20,10.9935421916634,5.99053859110908,0.455085677876252,0.000722963002262545,0.402385254068736,0.507786101683768,0.399541607083631,0.504180072016262
