"r","gs_nonparam_delta","gs_nonparam_delta.s","gs_nonparam_R.s","gs_nonparam_var_R.s","gs_nonparam_normci_lb_R.s","gs_nonparam_normci_ub_R.s","gs_nonparam_quantci_lb_R.s","gs_nonparam_quantci_ub_R.s","gs_param_delta","gs_param_delta.s","gs_param_R.s","gs_param_var_R.s","gs_param_normci_lb_R.s","gs_param_normci_ub_R.s","gs_param_quantci_lb_R.s","gs_param_quantci_ub_R.s","cc_nonparam_delta","cc_nonparam_delta.s","cc_nonparam_R.s","cc_nonparam_var_R.s","cc_nonparam_normci_lb_R.s","cc_nonparam_normci_ub_R.s","cc_nonparam_quantci_lb_R.s","cc_nonparam_quantci_ub_R.s","cc_param_delta","cc_param_delta.s","cc_param_R.s","cc_param_var_R.s","cc_param_normci_lb_R.s","cc_param_normci_ub_R.s","cc_param_quantci_lb_R.s","cc_param_quantci_ub_R.s","ipw_nonparam_delta","ipw_nonparam_delta.s","ipw_nonparam_R.s","ipw_nonparam_var_R.s","ipw_nonparam_normci_lb_R.s","ipw_nonparam_normci_ub_R.s","ipw_nonparam_quantci_lb_R.s","ipw_nonparam_quantci_ub_R.s","ipw_param_delta","ipw_param_delta.s","ipw_param_R.s","ipw_param_var_R.s","ipw_param_normci_lb_R.s","ipw_param_normci_ub_R.s","ipw_param_quantci_lb_R.s","ipw_param_quantci_ub_R.s"
1,12.360123015034,6.07334215349792,0.508634166010264,0.000354473445173531,0.47173233425385,0.545535997766677,0.470496027856394,0.544128132669523,12.360123015034,6.20649444417475,0.497861434176213,0.000366795249473601,0.46032371141127,0.535399156941157,0.456324875683763,0.530593059154429,12.2590817097307,6.04696658586617,0.506735763000394,0.00069926286381676,0.454906348401746,0.558565177599041,0.450378669885955,0.551230681385048,12.2590817097307,6.23210175228681,0.491633884180735,0.000691952080267795,0.440076119377005,0.543191648984465,0.436190804273971,0.536710912162574,12.360123015034,6.3030194966021,0.490052041639428,0.000571354412931006,0.443202120479241,0.536901962799616,0.445359058016431,0.537565263039257,16.1839917644214,9.19086914629654,0.432101221992613,0.00512687548195342,0.29176090400996,0.572441539975267,0.275896973123564,0.562702162032139
2,12.1289723090932,5.82561239169771,0.519694476725766,0.000429718170476472,0.479064373062319,0.560324580389212,0.474675638479425,0.559552270917199,12.1289723090932,5.83032924056203,0.519305585668542,0.000380175273175538,0.481089341355016,0.557521829982069,0.482423644783589,0.560196140829246,11.7755464754241,5.80301521546116,0.50719779947604,0.000686371126334937,0.455848375731189,0.558547223220892,0.453293639043687,0.553921525201166,11.7755464754241,5.69976156221202,0.515966280281975,0.000667695248997654,0.465320272852471,0.566612287711479,0.465659608523879,0.563236343536533,12.1289723090932,5.95362175551893,0.509140461054937,0.000637928059181568,0.459636275048581,0.558644647061293,0.460936653420784,0.555939782864377,17.7889923144263,9.04311856416474,0.491645259926777,0.00429526652585274,0.36319022543721,0.620100294416344,0.328285663273234,0.588606031451561
3,11.4852720992017,5.79024106140143,0.495855125469435,0.000504540214604979,0.451829659107038,0.539880591831831,0.448008020248344,0.538793055603715,11.4852720992017,5.78705113830641,0.496132865784812,0.000395589064823579,0.457149600767291,0.535116130802333,0.453935312480402,0.528853583574112,11.2670945940921,5.95859847172889,0.471150399779791,0.000817489893960013,0.415110510623612,0.527190288935969,0.408038389174679,0.523096285624338,11.2670945940921,5.96497856252252,0.470584141039318,0.000766312774501199,0.416326725375431,0.524841556703205,0.408973738492257,0.517159640216901,11.4852720992017,6.03772928614531,0.474306813630912,0.000730965146749137,0.421315534086524,0.5272980931753,0.417050090645591,0.526520230876825,15.4334085524083,9.1106009147937,0.409683163388295,0.0078151870190951,0.236412212411059,0.582954114365531,0.203769332613859,0.536501262161725
4,12.2837810218731,5.98982663937877,0.512379239851884,0.000385273545475401,0.473907602866979,0.550850876836789,0.472856605012275,0.54790225672777,12.2837810218731,6.02858397377985,0.509224076605969,0.000363707836882333,0.471844670161148,0.546603483050791,0.472073384185933,0.544843803061607,12.3116936967399,6.13876660419474,0.501387318804051,0.000729993797374644,0.448431259925067,0.554343377683035,0.446314484626524,0.55318787993745,12.3116936967399,6.15660233042471,0.49993863703294,0.000530356785700044,0.454800863185027,0.545076410880852,0.452254966201755,0.53992472973418,12.2837810218731,5.96651984291421,0.514276603247003,0.000587355703707631,0.466775175148858,0.561778031345148,0.463044315385999,0.561073925377678,16.6562139535614,9.16314085652049,0.449866525365973,0.00562721130458234,0.302837633825285,0.596895416906661,0.258830867209996,0.561897512173745
5,11.6730013564483,5.86355450876124,0.497682358657302,0.000436155645382958,0.456749052813488,0.538615664501115,0.455998001487417,0.534864371279278,11.6730013564483,5.91336387131216,0.493415301622873,0.000433248285706011,0.452618652074556,0.534211951171191,0.451676012221474,0.533937144736544,11.8152305281951,5.9866256416063,0.493312836569698,0.00077206975014995,0.43885199603105,0.547773677108346,0.434808707052678,0.543147108588434,11.8152305281951,5.97880526045675,0.493974726418642,0.000686361453706366,0.442625664493828,0.545323788343456,0.439520349956249,0.541203743466018,11.6730013564483,5.71287009703961,0.510591156242457,0.000723378744254948,0.457875581846176,0.563306730638737,0.456432455500909,0.562761099222413,14.4011602172463,10.2931063198686,0.285258537187722,0.0150662350683271,0.0446791352463138,0.52583793912913,-0.0133610482543372,0.452870701800444
6,12.2189029098187,5.92838557331401,0.514818505632764,0.000444218605849597,0.473508577089715,0.556128434175813,0.471450450483972,0.551084118490711,12.2189029098187,5.94330921053356,0.513597149073203,0.000393691546242793,0.474707491784326,0.55248680636208,0.471991470598705,0.548125977646314,12.7107406480686,6.05328866004749,0.523765858524751,0.000594067324808111,0.475993805659265,0.571537911390238,0.477386293062812,0.569921168284384,12.7107406480686,6.03710971351468,0.525038714842157,0.000481460959999849,0.482031966256204,0.568045463428111,0.479513166462258,0.566156169342102,12.2189029098187,5.88718543584279,0.518190341694913,0.000638184536372963,0.46867620517886,0.567704478210967,0.46750538132082,0.570721475773909,15.4255021452718,9.05251556952325,0.41314613396245,0.00667599001213256,0.25300093974605,0.57329132817885,0.236362020241291,0.54216420373435
7,11.7576509969137,6.05010555080872,0.485432459902338,0.000475673865093539,0.442684960324663,0.528179959480014,0.439121190866099,0.523337271236101,11.7576509969137,6.10882769973977,0.480438082288437,0.000432233365637693,0.439689245526711,0.521186919050162,0.438756956213498,0.521793311355799,11.4957380742015,5.94074502923584,0.483221956616431,0.000728545805733124,0.430318444754699,0.536125468478162,0.42758205068975,0.531578682529985,11.4957380742015,5.9217921696407,0.484870642370473,0.000650416019903453,0.434884262404915,0.534857022336031,0.433999605957946,0.532179700537748,11.7576509969137,5.91306540470805,0.497087861660448,0.000603866524324997,0.448923417930172,0.545252305390724,0.45031656902013,0.543225817978683,14.5841934723112,9.17027556640655,0.371218190171655,0.00840247230031574,0.191554789366446,0.550881590976863,0.139883689489794,0.515958769518773
8,12.0428369608922,6.01614227570372,0.500438119751977,0.000450761994512215,0.458825053557353,0.5420511859466,0.457153075412201,0.537993442931283,12.0428369608922,5.98539067087,0.50299163807441,0.000418099279017965,0.462914584910842,0.543068691237977,0.457728295443117,0.538108666751728,11.7870836649979,5.90246002276109,0.499243392978653,0.000737176777155176,0.446027433839318,0.552459352117987,0.444598043356077,0.548563624246199,11.7870836649979,5.90073920299459,0.499389384965763,0.000672207102112174,0.448572549138706,0.550206220792821,0.44260025276163,0.548124116528306,12.0428369608922,6.0816141968003,0.495001533563091,0.000686151901886479,0.443660310882996,0.546342756243186,0.442346964138866,0.54012005796069,14.9182187009019,9.42570735208792,0.368174743844043,0.00866203521532868,0.185757435226668,0.550592052461419,0.164419802297577,0.509449592372934
9,12.3650948723564,6.1419017475917,0.503287131154761,0.00043342932307256,0.462481958841492,0.54409230346803,0.458466969896385,0.539741485936164,12.3650948723564,6.04748988297473,0.510922484186143,0.000334443671355304,0.475078393907848,0.546766574464437,0.470143539074565,0.545376658710523,12.4928558503519,6.17407665336716,0.505791411721663,0.000535099164436982,0.46045227906453,0.551130544378796,0.455934463807133,0.545031665867886,12.4928558503519,6.07645157958654,0.513605883844774,0.000581578921841001,0.466338626825307,0.560873140864242,0.460295077138117,0.554748453445976,12.3650948723564,6.16117194296324,0.501728696256326,0.000574168783848345,0.454763530441311,0.54869386207134,0.450821907294842,0.548115426937882,14.6932347732495,9.13677333979573,0.378164612435778,0.00834685621759843,0.199096796104852,0.557232428766704,0.144740759349061,0.516739161028578
10,12.3128103431125,5.87717368436804,0.522678127852786,0.000363741923765352,0.485296969840534,0.560059285865039,0.483812204734918,0.560616499394112,12.3128103431125,5.8483466418413,0.525019351482765,0.000403394862583539,0.485653354682215,0.564385348283316,0.480781760375257,0.562240501896605,12.7225495422747,6.04027094848085,0.525231092367914,0.000609610254608264,0.476838130543873,0.573624054191955,0.473873696965636,0.566466925036711,12.7225495422747,5.94371417649894,0.532820512370648,0.000493568997262622,0.489276343301942,0.576364681439355,0.485075849816098,0.571654673120389,12.3128103431125,5.89537014858662,0.521200279683969,0.000618337090439325,0.47246216557774,0.569938393790197,0.473487538742875,0.567862241964121,17.3117735185654,9.19537630322601,0.468836841392087,0.00575622644325206,0.320132034797286,0.617541647986888,0.299940013008885,0.575736161151773
