"r","gs_nonparam","gs_param","cc_nonparam","cc_param","ipw_nonparam_Yonly","ipw_param_Yonly","ipw_nonparam_Zonly","ipw_param_Zonly","ipw_nonparam_YZ_main","ipw_param_YZ_main","ipw_nonparam_YZ","ipw_param_YZ"
1,0.508670163918693,0.514773810419841,0.552051351647611,0.55919566782447,0.555937144666762,0.338392255497798,0.519839761832624,0.0676616291991841,0.544230706873797,-0.00837045846584239,0.51602515129581,-0.108645601929488
2,0.493452531407622,0.505246829218026,0.541222999043312,0.549793266042597,0.536619406978004,0.290255150487313,0.500541670282793,0.0189015327251922,0.526957728631774,-0.0863680176451331,0.498598718945009,-0.1953963140052
3,0.483601504714443,0.478256979275542,0.479466755640376,0.476695342249854,0.475858409517103,0.11506704518776,0.432913131190112,-2.14784001412122,0.4590016125948,-2.72375329174118,0.457033748538353,-2.80516885336741
4,0.478538160406866,0.481241310005724,0.495292994862032,0.504486922394237,0.47018111960565,0.146140951500676,0.42120248976517,-0.154700530029106,0.462588770647851,-0.288413509749115,0.465408559862647,-0.27771799635495
5,0.488623123596275,0.484204768428394,0.514542620325331,0.506002812841848,0.503982021791358,0.105461084046024,0.452055494709035,-0.647895186917537,0.491619543125669,-0.935861363292223,0.478861955712271,-1.0531693047588
6,0.531126906478264,0.528607456063277,0.574036613958852,0.567744679784813,0.555724888548482,0.302617861718676,0.516511867220088,0.274405271694838,0.552429762592594,0.211212557492904,0.548527465749884,0.20435980080866
7,0.522108083682467,0.51976554250078,0.552188897564488,0.557257985133883,0.552424436372887,0.289844756979539,0.513146437956054,-0.0486953639349501,0.541047966109376,-0.145763812476963,0.517983588751795,-0.234947664483851
8,0.476529826576373,0.474218162430776,0.499015508085509,0.494805574543954,0.510088511336178,0.179045503068137,0.466908147227906,-1.30942674773207,0.4900872146275,-1.52483355472168,0.47255992198016,-1.89623492001623
9,0.498817547488022,0.496873579644058,0.508700284791273,0.506298537944376,0.50822888385949,0.272554294973718,0.46777923189772,-0.16652747141396,0.495368327255127,-0.227924313087342,0.498652224463199,-0.21468748959717
10,0.494516939591641,0.49961788354811,0.536782849048454,0.543231416332095,0.531938521829439,0.291442688596286,0.496593249810084,-0.11460482406495,0.521012452749152,-0.210335653008784,0.506253481786018,-0.277965442166713
11,0.487412030749767,0.485995647699185,0.537785437152255,0.535453203703617,0.528063433022872,0.199595480479192,0.475479647743125,-0.109587897168366,0.519010576444168,-0.278774764433532,0.49269910570894,-0.390273318019742
12,0.518329514743657,0.538910469960868,0.543969261918625,0.563985319782028,0.537119318418229,0.311924393529127,0.502560759304064,0.0465215602453513,0.52772399216173,-0.0435750316236341,0.508451365016545,-0.111235868890904
