"r","smle_param"
1,0.473746425441109
2,0.47633930371285
3,0.48863884800186
4,0.519276291743114
5,0.508712632469267
6,0.454932622519501
7,0.522458425816577
8,0.490891594023802
9,0.484181710179193
10,0.521522547452327
11,0.487938114964123
12,0.453155855978636
13,0.534963898412168
14,0.488350449174486
15,0.466213273676147
16,0.523998345130425
17,0.51055333552533
18,0.524743654854263
19,0.463926031041109
20,0.48056712852619
21,0.473449483420484
22,0.488764858701214
23,0.493984234737034
24,0.485508341091108
25,0.522939705416637
26,0.511353171612584
27,0.507606219101889
28,0.463111803279052
29,0.455776591498874
30,0.492063164940783
31,0.489257936069094
32,0.525746356200246
33,0.464892461087776
34,0.486928114138579
35,0.511923519160892
36,0.510273765329569
37,0.518891573717126
38,0.520383035235281
39,0.509660259017139
40,0.538803637691211
41,0.494465310959145
42,0.494516732273948
43,0.476591317067006
44,0.502308330826484
45,0.477155673890847
46,0.525437330042839
47,0.477308583829604
48,0.523164677527139
49,0.533923682722398
50,0.483443848328726
