"r","smle_param_delta","smle_param_delta.s","smle_param_R.s","smle_param_alpha0","smle_param_alpha1","smle_param_beta0","smle_param_beta1","smle_param_beta2","smle_param_beta3"
1,11.917248334456,6.34699918017809,0.467410680548866,5.02518230311453,6.00812318491132,1.90236976081255,3.07133106156288,5.01507124003582,0.65185060382486
2,11.7388553855889,5.89399046248456,0.497907566889335,4.99672339468797,5.97588023106587,0.953286800718967,2.21598264424502,5.23319974458961,0.736083934954183
3,12.2058776176677,5.93462970911702,0.513789184603427,4.93406087902402,5.97832330665466,2.83696711598253,0.218361854385585,4.84690078226654,1.1585320884533
4,11.84212563707,5.89928575230909,0.501838949095231,5.00586604906438,5.95833656601275,1.93874536819255,-0.293567715730787,5.00227581572529,1.2371192931136
5,12.0494471543925,6.41812721489379,0.46735089729373,5.02052915649529,6.01145116552056,1.0688125845942,4.01664260847393,5.20457637237263,0.478332966817443
6,12.0428006739035,5.67509607604459,0.528756123287634,4.9448994896699,6.01142719795449,2.44430969513507,0.760615943850193,4.9766525218902,0.993848336545759
7,12.1225933953498,6.29406481525795,0.480798818372283,4.94484082480597,5.99402190081224,1.81292859458024,3.77324689175698,5.04552486554114,0.509787476040726
8,11.5502758398406,5.91991025377262,0.487465898143061,5.03403944983294,5.9776987594401,1.77307655646056,1.41900399665308,5.07242929218771,0.894094355432377
9,12.2745791997562,6.52382020129538,0.46850966577942,4.98555898997387,5.96797423732114,2.42395943227062,1.52754948173086,4.85154622178278,1.0021485513685
10,11.6651499658721,5.85790593797347,0.497828492980243,5.03600520793688,5.99687702221765,1.75480361935545,0.973963592867291,5.07391911844947,0.969804863864905
11,11.9253496006435,6.13954035837614,0.485168941458553,4.9624967909085,5.96816291173044,1.62488713755379,2.78486299452312,5.07720490317377,0.67600595127818
12,11.67511722092,6.28656720128524,0.461541406194989,5.07424751977857,6.00013133780688,0.808474410142468,3.37227241112494,5.24556825404804,0.574330435951512
13,12.1318264162516,5.78434171583089,0.523209324188624,4.97906003097349,6.02457287437011,1.44153525342567,1.13098115271317,5.13658240302111,0.934586153645533
14,12.1163337916922,5.72315914288778,0.527649267403646,4.97106389941103,5.99555451371908,1.90214922438109,-0.202266062740175,5.04836146092517,1.19198331092264
15,12.0652358737061,5.93108536160412,0.508415299651971,4.9562945030009,6.01719048322637,1.73095129360616,2.40986231018149,5.07159232101432,0.710454766013323
16,12.3800922049301,5.66190324052015,0.542660656576901,4.91462029890609,6.00075255886641,1.6287473354329,0.316015022625132,5.09767235119511,1.08775203225464
17,12.2544070621497,6.24156091816633,0.490668060354819,4.9489145268941,5.99628650693849,2.01598330634284,2.6056721930963,5.00620478915724,0.734684081794375
18,12.2237933634615,6.46588136390017,0.471041339488974,4.97751812009879,5.97156566966706,0.968577609763665,3.54970855332308,5.20652207065577,0.58586884873444
19,12.0281932413281,5.74928959284511,0.522015528226557,4.96931207219293,5.97230666478159,1.06535536123784,0.306113742401494,5.16479900496172,1.09535802367944
20,12.1074915004018,6.08680907240757,0.497269184768326,4.97851808344236,5.97803599331592,2.83232502606208,0.214500321839342,4.84405687868976,1.1795294608045
21,12.0598579800767,5.9335517472681,0.507991573609694,4.99800622924711,5.98794726108262,2.0568464403116,-0.186945627760353,4.9639689434514,1.22458778446749
22,11.7970374484638,6.0970935226476,0.483167401198549,5.05997373101828,5.99044929322092,1.18901117856686,1.12183567357757,5.14258182715756,0.983257643922354
23,12.2518669615823,5.56216668457685,0.546014766401078,4.95565898442178,6.00710198265416,2.01070130531795,-1.20141054492979,4.99758043964108,1.36481893745475
24,12.1206978582819,5.69936129524197,0.529782743379939,4.97231528157194,6.02547001661847,2.64024724817556,-0.185238835506519,4.91376656863197,1.18347284866621
25,11.8654265592662,5.63726251734734,0.524900138297603,5.00533646132928,5.97465791296495,1.17306177319964,-0.629214548242909,5.17332317137072,1.25195920673953
26,11.5480198657723,5.9110241079168,0.488135266770994,4.99390432252321,5.92125995061258,1.81350543136425,0.824603917487871,5.06004387180847,1.01852575899151
27,12.1800036105665,6.0707970345913,0.501576745894826,4.9713614909763,5.96544979444708,2.60572583351143,-0.283751959765228,4.86730600087966,1.27823112559626
28,12.0061839779526,5.61048682476841,0.532700245550863,5.00046383078365,5.99631054276445,1.67472328623437,-1.26585763053695,5.04722978568549,1.37514132448544
29,11.8859198578002,5.79378092389332,0.512550901132726,5.02353926836123,5.97465943711294,0.976467426621789,-0.255254526659985,5.2010870801738,1.20413818374045
30,12.1395189658745,5.85082716688958,0.518034678034864,4.9970865566906,5.98702220682959,2.52687907616511,-1.50385919382394,4.88083198789627,1.47179487032626
31,11.7765686375059,5.19754344807825,0.558653831343948,4.97234803199083,5.98641929021734,2.30171348877572,-2.36503552168341,4.96680748099491,1.52092711956322
32,11.7654650089899,6.08654828706269,0.482676776275993,5.0186402495427,6.01018757108364,2.42060285665888,2.16544080002976,4.9460192443719,0.781308739432005
33,12.4614943156585,6.30344109569299,0.49416651518491,4.89164527526509,5.9795737509945,2.13901348452438,3.06964281380064,4.99926147780772,0.661086015015081
34,12.4145354785669,6.20602973617711,0.500099722064387,4.93849750446551,6.0014553773497,1.85571924429341,2.20256467273822,5.0301179084232,0.810664591774899
35,11.9910660590967,6.46121445961606,0.461164301174502,5.0390650688774,5.98523424643535,1.86164708942527,2.27547650436926,5.01380624645737,0.830657651376451
36,12.2055511336499,5.84987259485731,0.520720323826297,4.97174757659135,5.98995848969253,2.50253169485219,-0.845716019257506,4.89527852627621,1.34672738528398
37,11.3582459531184,6.04982953293851,0.467362341165229,5.05539535363317,5.97374445442509,1.72078988119396,2.53437032047226,5.08500290832618,0.695387594155181
38,11.9412794887682,6.07215180213788,0.491499063576122,5.01960038048096,5.97130086829146,1.27957240712297,0.897351544482269,5.13607153879711,1.03091877149786
39,11.8291499908548,5.83809626649378,0.506465276794422,5.02483887062386,5.99040002975712,1.40766315177458,0.391701606090007,5.1208433090041,1.08389438957822
40,11.5835341515837,5.60769836620228,0.515890548357767,4.99534635117983,5.99591090374611,2.49971276014479,0.397700537228835,4.92949372620854,1.04297028928593
41,12.0068676801402,5.42115370210468,0.548495590480148,5.00143754963299,6.03572606893746,2.50448341774104,-1.84316922544987,4.91493875628383,1.45244699258268
42,11.9739622812559,6.09109129115252,0.491305288251362,4.97758119003102,5.99999525397072,2.49996763701027,2.00919794975055,4.93384704581946,0.820055602423339
43,11.9978340277988,6.0911780441492,0.492310192820137,4.9999432908318,5.99740884092064,1.54165145205592,1.83416930731445,5.0702527408819,0.851411403933452
44,11.8127677946372,6.15250214190083,0.479165065388489,5.01525713344148,5.98188153055532,2.23288691920802,1.63129566025,4.95421281576156,0.901490464268253
45,11.9281529188497,5.86433595800557,0.508361772530737,4.99835157425907,5.99253046837411,1.97162547539758,0.38004854472945,5.00210253909135,1.09721921953621
46,11.9942480034108,5.82162677999708,0.514631781972358,5.01996153051487,6.00848665090604,2.53737356459974,-0.896285230965237,4.90603377067451,1.33823973951316
47,12.0662994813302,5.98173642618448,0.504260901576343,5.0471598859806,6.00232221465233,2.14371595735087,-1.20676686981049,4.94592041993313,1.42426700528397
48,11.9845756027011,6.30461687139661,0.473939079663724,5.00593533131009,5.97764898927049,2.43871195080255,1.65636928860502,4.91675364281018,0.928547269422098
49,12.2762605152259,6.27068939281525,0.489201993959162,5.00090359191296,6.0129875102615,0.931319692786737,2.53242206089994,5.18634838490865,0.747518376071179
50,12.229852502226,6.14022045522383,0.497931765398952,4.97247900880902,6.00323962350153,2.84681194724176,0.739039451557505,4.82168642622918,1.08621494310943
